Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:cleft,acl:crel,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:concess,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:emph,amod,amod:att,appos,appos:trans,case:loc,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,clf,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cleft,csubj:cop,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,discourse:filler,dislocated,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:frac,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:agent,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:attlvc,nmod:bahuv,nmod:cau,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:obj,nmod:poss,nmod:subj,nmod:tmod,nsubj,nsubj:caus,nsubj:cop,nsubj:lvc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:agent,obl,obl:agent,obl:arg,obl:cau,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:goal,obl:grad,obl:lmod,obl:manner,obl:mcl,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rep,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred,xcomp:result
tr_framenet-ud-test,205,0,257,,,,,,,,5.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,87.0,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,79.0,,,,,,,,,31.0,,9.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,2.0,1.0,,,,
tr_framenet-ud-train,2288,0,2992,,15.0,,,,,,89.0,,,,,,,,,,,,,,,31.0,,,,,,5.0,,,,,,,,,912.0,,,,,,,,30.0,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,,,462.0,,,,,,,,,,,,,,,816.0,,,,,,3.0,,,429.0,,119.0,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,29.0,5.0,27.0,,,
tr_framenet-ud-dev,205,0,267,,3.0,,,,,,6.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,108.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,,,,,,,65.0,,,,,,,,,25.0,,11.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,,3.0,,,
bho_bhtb-ud-test,357,0,983,,4.0,,,,,,,,,,,,,,,,,,,,,14.0,,1.0,,,,1.0,,,,,,,,,577.0,,,,,,,,2.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,4.0,,1.0,142.0,,,,,,,,,,,,,,,98.0,,,,,,,,,55.0,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,2.0,,,
ky_ktmu-ud-train,80,0,103,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,1.0,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,48.0,,,,,,,,,,,,,,,17.0,,,,,,,,,13.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
ky_ktmu-ud-test,701,0,1067,,2.0,,,,,,4.0,,,,,,,,,,,,,,,53.0,,,,,,4.0,,,,,,,,,75.0,,,,,,,,7.0,,,,,,,1.0,,,,,,3.0,,,,,,,,,,,,,526.0,,,,,,,,,,,,4.0,,,222.0,,,,,,4.0,,,100.0,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,
la_proiel-ud-test,1260,0,599,,8.0,,,,,,8.0,,,9.0,,,,,,,,,,,,,,27.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.0,,,,2.0,94.0,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,56.0,2.0,8.0,,,
la_proiel-ud-dev,1233,0,508,,5.0,,,,,,5.0,,,5.0,,,,,,,,,,,,,,20.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,319.0,,,,1.0,91.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,38.0,,10.0,,,
la_proiel-ud-train,16196,0,6760,,67.0,,,,,,105.0,,,74.0,,,,,,,,,,,,,,245.0,,,,47.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,28.0,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,4247.0,,,,14.0,1097.0,,,,13.0,,5.0,,1.0,,,,,,,,,,,,,,,,12.0,16.0,,,,,,,,,606.0,16.0,141.0,,,
kpv_ikdp-ud-test,214,0,255,,5.0,,,,,,4.0,,,,,,,,,,,,,,,,,10.0,,,,1.0,,,,,,,,,5.0,,,,3.0,,,,1.0,,,,,,,,,1.0,,,,3.0,,2.0,,,3.0,,,,,,,6.0,42.0,,,,,,,,,,,,1.0,,,68.0,,3.0,,,,,,,33.0,,39.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,1.0,17.0,3.0,1.0,,,
kpv_lattice-ud-test,643,0,1133,,,,,,,2.0,1.0,,,,,,,,,,,,1.0,,,5.0,,29.0,,,,2.0,,,,,,,,,23.0,,,,5.0,,,,5.0,,,,,,,,,6.0,,,,,1.0,,,,36.0,,,,,,,5.0,211.0,,,,,,,,,,,25.0,5.0,12.0,,379.0,,64.0,,,,,,,80.0,,74.0,,,2.0,,,,,,,78.0,,1.0,,,,,21.0,2.0,6.0,,,,,,,,,38.0,9.0,5.0,,,
kpv_lattice-ud-train,20,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,2.0,1.0,,,,
tt_nmctt-ud-test,148,0,456,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,4.0,,32.0,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,,,,204.0,,,,,,,,,,,,,,,115.0,,,,,,,,,29.0,,44.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,3.0,,9.0,,,
tr_gb-ud-test,2880,0,2417,,10.0,,,,,,11.0,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,121.0,,,,,,7.0,,,,,,,,,2.0,,2.0,,,,13.0,1.0,,,,,,,,,,,,344.0,,,,,,,,,,,,,,,755.0,,16.0,,2.0,,,,,400.0,,36.0,1.0,,,,,,,,,,,,,,,,293.0,1.0,,,,,,,,,,392.0,1.0,3.0,,,
sv_lines-ud-dev,1032,0,2864,,1.0,,,,,3.0,4.0,,,,,,,,,,,,,1.0,,,,38.0,,,,13.0,,,,,,,,,4.0,,,,,13.0,,,,,,,,,,,,9.0,,,,15.0,5.0,,,,,,,,,9.0,,,617.0,,,,,,,,,,,,,,,387.0,,,,,80.0,,,,591.0,,933.0,9.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,103.0,8.0,15.0,,,
sv_lines-ud-train,3176,0,8458,,3.0,,1.0,,,14.0,15.0,,,,,,,,,,,,,1.0,,3.0,,104.0,,,,35.0,,,,,,,,,,,,,,36.0,,,2.0,,,,,,,7.0,,45.0,,,,33.0,,,,,,,,,,8.0,,,1813.0,,,,,,,,,,,,2.0,,,1236.0,,,,1.0,194.0,,,,1726.0,,2678.0,37.0,,,,,,,,,,,,,,,,,1.0,31.0,,,,,,,,,346.0,25.0,61.0,,,
sv_lines-ud-test,1035,0,2550,,3.0,,2.0,,,6.0,3.0,,,,,,,,,,,,,2.0,,,,41.0,,,,14.0,,,,,,,,,3.0,,,,,11.0,,,,,,,,,,3.0,,9.0,,,,20.0,1.0,,,,,,,,,2.0,,,540.0,,,,,,,,,,,,1.0,,,358.0,,,,,77.0,,,,532.0,,766.0,8.0,,,,,,,,,,,,,,,,,2.0,12.0,,,,,,,,,97.0,18.0,19.0,,,
grc_proiel-ud-test,1047,0,457,,5.0,,,,,,7.0,,,7.0,,,,,,,,,,,,,,32.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,291.0,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,52.0,1.0,12.0,,,
grc_proiel-ud-train,15016,0,6462,,68.0,,,,,,93.0,,,60.0,,,,,,,,,,,,,,307.0,,,,59.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,26.0,,,,,,,,,,,,,,,,,49.0,,,,,,,,,,,,,,,4143.0,,,,11.0,727.0,,,,5.0,,12.0,,2.0,,,,,,,,,,,,,,,,15.0,19.0,,,,,,,,,602.0,22.0,239.0,,,
grc_proiel-ud-dev,1019,0,441,,5.0,,,,,,11.0,,,5.0,,,,,,,,,,,,,,21.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,306.0,,,,3.0,36.0,,,,3.0,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,,,24.0,,14.0,,,
nds_lsdc-ud-train,500,0,468,,1.0,,,,,1.0,8.0,,,,,,,,,,,,,,,1.0,,7.0,,,,19.0,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,7.0,,,,,2.0,,,,,,,,,,,2.0,12.0,,,,,,,,,,,,,,,293.0,,,,,3.0,,,,8.0,,23.0,,,,,,,,,,,,,,,,,,1.0,12.0,,,,,,,,,35.0,23.0,8.0,,,
nds_lsdc-ud-test,500,0,383,,2.0,,,,,1.0,5.0,,,,,,,,,,,,,,,,,6.0,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,3.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,223.0,,,,,2.0,,,,13.0,,18.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,44.0,22.0,5.0,,,
fo_oft-ud-test,1208,0,1365,,3.0,,,,,1.0,10.0,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,7.0,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,792.0,,,,,3.0,1.0,,,7.0,,16.0,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,359.0,,24.0,,,
ru_taiga-ud-train,16045,0,11813,,32.0,,,,,4.0,38.0,,,,,,,,,,,,,,,,,396.0,,,,68.0,,,,,,,,,37.0,,,,,,,,2.0,,,,,,,1.0,,26.0,,,,3.0,3.0,,,,2.0,,,,,,,68.0,64.0,,,,,,,,,,,,,,,6519.0,,,,1.0,404.0,,,,6.0,,115.0,,,,,,,,,,,,,,,,,,1.0,555.0,,,,,,,,,3355.0,97.0,16.0,,,
ru_taiga-ud-dev,946,0,797,,1.0,,,,,1.0,3.0,,,,,,,,,,,,,1.0,,,,37.0,,,,11.0,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,442.0,,,,,11.0,,,,,,34.0,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,153.0,32.0,4.0,,,
ru_taiga-ud-test,881,0,573,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,25.0,,,,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,6.0,,,,,,,,,,,,,,,278.0,,,,1.0,14.0,,,1.0,2.0,,7.0,,,,,,,,,,,,,,,,,,1.0,48.0,,,,,,,,,162.0,13.0,,,,
fi_pud-ud-test,1000,0,951,,,,,,,4.0,13.0,,,,,,,,,,,,,,,2.0,,16.0,,,,7.0,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,4.0,,,447.0,,185.0,,,,,,,118.0,,8.0,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,55.0,1.0,2.0,,,
en_lines-ud-train,3176,0,242,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,1.0,,,42.0,,,,,,,,,,,,,,,46.0,,,,,4.0,,,,39.0,,54.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,12.0,,1.0,,,
en_lines-ud-dev,1032,0,97,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,20.0,,,,,1.0,,,,13.0,,20.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,1.0,2.0,,,
en_lines-ud-test,1035,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,9.0,,,,,4.0,,,,7.0,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,1.0,,,
ga_idt-ud-train,4005,0,16923,,15.0,,,,,72.0,184.0,,,,,,,,,,,,,5.0,,,,157.0,,,1.0,76.0,,,,,,,,,4.0,,,,,,,,,6.0,17.0,,,,,5.0,,33.0,,,,817.0,,1.0,,,,,,,,,,17.0,2675.0,,,,,,,,,,,,,,,2896.0,,,,5.0,,3.0,,,2928.0,,5442.0,,,,,,,,,,,,,,,,,346.0,4.0,171.0,,,,,,,,,584.0,,56.0,,403.0,
ga_idt-ud-test,454,0,1702,,3.0,,,,,7.0,22.0,,,,,,,,,,,,,1.0,,,,29.0,,,,14.0,,,,,,,,,,,,,,,,,,1.0,5.0,,,,,,,4.0,,,,73.0,,,,,1.0,,,,,,,4.0,303.0,,,,,,,,,,,,,,,291.0,,,,1.0,,,,,254.0,,474.0,,,,,,,,,,,,,,,,,35.0,1.0,22.0,,,,,,,,,86.0,,9.0,,62.0,
ga_idt-ud-dev,451,0,1689,,1.0,,,,,6.0,21.0,,,,,,,,,,,,,1.0,,,,27.0,,,,10.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,89.0,1.0,,,,,,,,,,,,286.0,,,,,,,,,,,,,,,303.0,,,,1.0,,,,,245.0,,494.0,,,,,,,,,,,,,,,,,54.0,,33.0,,,,,,,,,79.0,,10.0,,24.0,
cs_cltt-ud-dev,316,0,467,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,256.0,,,,,91.0,,,,40.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,10.0,,,
cs_cltt-ud-train,467,0,609,,1.0,,,,,,8.0,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,338.0,,,,,106.0,,,,28.0,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,7.0,,,
cs_cltt-ud-test,338,0,562,,,,,,,2.0,5.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,,,,,337.0,,,,,104.0,,,,54.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,9.0,,,
hy_armtdp-ud-train,1974,0,4421,,10.0,,,,,16.0,17.0,,,,,,,,,,,,,,,2.0,,79.0,,,,34.0,,,,,,,,,27.0,,209.0,,,,17.0,,4.0,,,,,,16.0,,,14.0,,,,28.0,30.0,,,,,,,,,1.0,3.0,5.0,237.0,,,,,,,,,,52.0,,23.0,,,1355.0,2.0,,,,117.0,,,,1228.0,,460.0,,,,,,,,,,,,,,,,,,25.0,59.0,,,,,,,,,205.0,17.0,129.0,,,
hy_armtdp-ud-dev,249,0,550,,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,3.0,,,,5.0,,,,,,,,,8.0,,23.0,,,,,,1.0,,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,1.0,29.0,,,,,,,,,,6.0,,4.0,,,182.0,3.0,,,,12.0,,,,165.0,,35.0,,,,,,,,,,,,,,,,,,5.0,13.0,,,,,,,,,32.0,2.0,13.0,,,
hy_armtdp-ud-test,277,0,557,,1.0,,,,,2.0,5.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,4.0,,42.0,,,,2.0,,,,,,,,2.0,,,2.0,,,,3.0,15.0,,,,,,,,,1.0,,,19.0,,,,,,,,,,5.0,,8.0,,,175.0,1.0,,,,13.0,,,,134.0,,65.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,30.0,6.0,9.0,,,
is_gc-ud-test,540,0,480,,,,,,,6.0,14.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,364.0,,,,,,,,,8.0,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,5.0,,,
is_gc-ud-train,3960,0,3812,,,,,,,36.0,67.0,,,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,59.0,,,,,,,,,3.0,,,,,,,,,,,,,,,1.0,,,2812.0,,,,,,,,,69.0,,372.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,291.0,,44.0,,,
is_gc-ud-dev,500,0,518,,,,,,,6.0,12.0,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,378.0,,,,,,,,,11.0,,58.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,4.0,,,
ota_boun-ud-train,114,0,287,,16.0,,,,,,10.0,,,,,,,,,,,,,,,16.0,,,,,,5.0,,,,,,,,,1.0,,,,,,,,5.0,,,,,,1.0,,,,,,,1.0,2.0,,,,,,,,,1.0,,,8.0,,,,,,,,,,,,52.0,,,72.0,,,,,8.0,,,,14.0,,41.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,3.0,,,,
ota_boun-ud-test,400,0,1077,,55.0,,,,,,26.0,,,,,,,,,,,,,,,65.0,,,,,,21.0,,,,,,,,,5.0,,,,,,,,10.0,,,,,,1.0,3.0,,1.0,,,,2.0,7.0,,,,,,,,,4.0,,,46.0,,,,,,,,,,,,239.0,,,215.0,,,,,5.0,,,,102.0,,128.0,2.0,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,117.0,3.0,16.0,,,
et_edt-ud-dev,3128,0,2838,,8.0,,,,,7.0,49.0,,,,,,,,,,,,,,,1.0,,91.0,,,,28.0,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,2.0,52.0,,,,,,,,,,,,,,,1343.0,,562.0,,,,,,,259.0,,23.0,,,,,,,,,,,,,,,,,,1.0,88.0,,,,,,,,,299.0,7.0,4.0,,,
et_edt-ud-train,24615,0,22234,,40.0,,,,,56.0,400.0,,,,,,,,,,,,,,,5.0,,469.0,,,,244.0,,,,,,,,,2.0,,,,,,,,14.0,,3.0,,,,3.0,2.0,,,,,,,42.0,,,,,,,,,,,4.0,396.0,,,,,,,,,,,,,,,10880.0,,4439.0,,,,,,,2170.0,,324.0,,,,,,,,,,,,,,,,,,3.0,470.0,,,,,,,,,2183.0,76.0,9.0,,,
et_edt-ud-test,3214,0,3013,,13.0,,,,,9.0,61.0,,,,,,,,,,,,,,,2.0,,85.0,,,,38.0,,,,,,,,,,,,,,,,,3.0,,1.0,,,,1.0,1.0,,,,,,,6.0,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,1413.0,,624.0,,,,,,,289.0,,45.0,,,,,,,,,,,,,,,,,,1.0,65.0,,,,,,,,,297.0,6.0,2.0,,,
ru_syntagrus-ud-train,69630,0,62039,,237.0,,,,,47.0,514.0,,,,,,,,,,,,,,,1.0,,2221.0,,,,347.0,,,,,,,,,222.0,,,,,,,,2.0,,,,,,1.0,,,4.0,,,,15.0,7.0,8.0,,,1.0,,,,,28.0,,1.0,370.0,,,,,,,,,,,,,,,43604.0,,,,4.0,5430.0,,15.0,17.0,61.0,,896.0,,,,,,,,,,,,,,,,,,3.0,2283.0,,,,,,,,,5586.0,86.0,28.0,,,
ru_syntagrus-ud-dev,8906,0,7713,,25.0,,,,,9.0,67.0,,,,,,,,,,,,,1.0,,2.0,,267.0,,,,46.0,,,,,,,,,23.0,,,,,,,,1.0,,,,,,,,,,,,,3.0,2.0,2.0,,,1.0,,,,,3.0,,,71.0,,,,,,,,,,,,,,,5166.0,,,,,723.0,,1.0,1.0,10.0,,177.0,,,,,,,,,,,,,,,,,,3.0,338.0,,,,,,,,,760.0,7.0,4.0,,,
ru_syntagrus-ud-test,8800,0,7706,,20.0,,,,,4.0,66.0,,,,,,,,,,,,,,,,,284.0,,,,46.0,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,1.0,3.0,1.0,,,,,,,,4.0,,,60.0,,,,,,,,,,,,,,,5185.0,,,,1.0,848.0,,1.0,,14.0,,109.0,,,,,,,,,,,,,,,,,,2.0,323.0,,,,,,,,,698.0,19.0,6.0,,,
grc_ptnk-ud-train,727,0,707,,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,59.0,,,,27.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,432.0,,,,,37.0,,,,11.0,,51.0,,,,,,,,,,,,,,,,,,2.0,30.0,,,,,,,,,30.0,3.0,9.0,,,
grc_ptnk-ud-dev,439,0,444,,,,,,,,4.0,,,,,,,,,,,,,,,,,55.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,244.0,,,,,40.0,,,,3.0,,39.0,,,,,,,,,,,,,,,,,,4.0,18.0,,,,,,,,,8.0,1.0,5.0,,,
grc_ptnk-ud-test,410,0,335,,,,,,,4.0,5.0,,,,,,,,,,,,,,,,,38.0,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,171.0,,,,,17.0,,,,1.0,,38.0,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,4.0,1.0,8.0,,,
sv_pud-ud-test,1000,0,3529,,20.0,,,,,7.0,14.0,,,,,,,,,,,,,,,,,53.0,,,,12.0,,,,,,,,,12.0,,,,,4.0,,,,,,1.0,,,,,,1.0,,,,40.0,1.0,,,,1.0,,,,,6.0,,,787.0,,,,,,,,,,,,4.0,,,613.0,,,,,122.0,,,,691.0,,920.0,25.0,,,,,,,,,,,,,,,,,2.0,26.0,,,,,,,,,105.0,1.0,61.0,,,
akk_riao-ud-test,1874,0,632,,,,,,,3.0,,,,,,,,,,,,,,,,,,349.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,57.0,,,,,,,,,177.0,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,1.0,,,,
orv_birchbark-ud-train,1045,0,294,,,,,,,,2.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,2.0,,,,,,,,,1.0,,,,,,,6.0,4.0,,,,,,,,,,,,,,,141.0,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,,,109.0,1.0,,,,
orv_birchbark-ud-dev,1062,0,398,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,7.0,,,,,,,,,,,,,,1.0,,3.0,5.0,,,,,,,,,,,,,,,233.0,,,,,5.0,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,,1.0,109.0,,,,,
orv_birchbark-ud-test,1007,0,366,,,,,,,,3.0,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,,,,,,,1.0,,,,,,,7.0,8.0,,,,,,,,,,,,,,,208.0,,,,,5.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,102.0,1.0,,,,
is_icepahc-ud-dev,4865,0,4430,,19.0,,,,,33.0,157.0,,,,,,,,,,,,,,,16.0,,234.0,,,,121.0,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,20.0,,,2538.0,,,,,,,,,323.0,,354.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,162.0,142.0,298.0,,,
is_icepahc-ud-train,34007,0,26173,,95.0,,,,,187.0,615.0,,,,,,,,,,,,,,,91.0,,2337.0,,,,590.0,,,,,,,,,,,,,,,,,,,,,,,55.0,8.0,,,,,,,,,,,,,,,,29.0,,,2.0,,,,,,,,,,,,85.0,,,15096.0,,,,,,1.0,,,2027.0,,1711.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1053.0,567.0,1619.0,,,
is_icepahc-ud-test,5157,0,4788,,23.0,,,,,64.0,160.0,,,,,,,,,,,,,,,13.0,,259.0,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,31.0,,,2863.0,,,,,,,,,430.0,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.0,83.0,256.0,,,
de_lit-ud-test,1920,0,1899,,31.0,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,1351.0,,,,1.0,53.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,36.0,,,,,,,,,366.0,,2.0,,,
ltg_cairo-ud-test,20,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
ru_poetry-ud-test,728,0,630,,,,,,,2.0,,,,,,,,,,,,,,,,,,17.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395.0,,,,,17.0,,,,,,36.0,,,,,,,1.0,,,,,,,,,,,,9.0,1.0,,,,,,,,118.0,31.0,,,,
