Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,appos,appos:trans,cc,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:prt,compound:redup,conj:expl,csubj,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:abs,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:obj,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obj:lvc,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:dat,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:path,obl:pmod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
hyw_armtdp-ud-dev,694,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-dev,752,0,2121,,1.0,,,,,4.0,,,,,,,,,,,,38.0,,,4.0,,,,,,,,,,,,,,,,,,,,138.0,1.0,,,,,,,,3.0,,427.0,,,,,,,,421.0,,,110.0,,,328.0,,461.0,30.0,,,,,,,,,,,,73.0,,,21.0,1.0,,14.0,,,,,,31.0,2.0,13.0,,
el_gdt-ud-test,456,0,1000,,7.0,,,,,,,,,,,,,,,,,12.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,179.0,,,,,,,,1.0,,,,,,317.0,,447.0,17.0,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,6.0,,8.0,,
el_gdt-ud-train,1662,0,3950,,4.0,,,,3.0,5.0,,,,,,,,,,,,27.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,783.0,,,,,,,,,,,,,,1275.0,,1739.0,46.0,1.0,,,,,,,,,,,,,,,13.0,,8.0,,,,,,17.0,,23.0,,
el_gdt-ud-dev,403,0,922,,6.0,,,,,2.0,,,,,,,,,,,1.0,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,200.0,,,,,,,,,,,,,,247.0,,415.0,18.0,,,,,,,,,,,,,,,,3.0,,1.0,,,,,,5.0,,9.0,,
sme_giella-ud-train,2257,0,807,,,,,,,1.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,18.0,,,,,,772.0,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-test,865,0,372,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,357.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
got_proiel-ud-dev,985,0,434,,1.0,,,,,,,,,,,,,,,,,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,2.0,,,,,,265.0,,122.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,9.0,,
got_proiel-ud-train,3387,0,1526,,,,,,,4.0,,8.0,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,15.0,,,1.0,,,1050.0,,310.0,,1.0,,,,,,,,,,,,,,,23.0,,3.0,,,,,,15.0,,42.0,,
got_proiel-ud-test,1029,0,474,,1.0,,,,,,,4.0,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,,,,6.0,,,,,,317.0,,112.0,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,3.0,,6.0,,
sl_sst-ud-train,4558,0,2048,,1.0,,,,,1.0,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,4.0,4.0,,,,,24.0,2.0,,1.0,,,,,,,,147.0,,,,,,,,11.0,,,,,,960.0,,672.0,,,,,,,,,,,,,,,,,20.0,,28.0,,,,,15.0,98.0,,6.0,,
sl_sst-ud-test,1041,0,377,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,,,,,,,,,2.0,4.0,,,,,,,,,,,,,,2.0,,25.0,,,,,,,,1.0,,,,,,202.0,,110.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,5.0,20.0,,,,
sl_sst-ud-dev,505,0,455,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,,,,,,,,39.0,,,,,,,,3.0,,,,,,221.0,,141.0,,,,,,,,,,,,,,,,,7.0,,4.0,,,,,3.0,11.0,,,,
de_gsd-ud-train,13814,0,10337,,3.0,,,,,2.0,,,,,,,,,,,8.0,194.0,,,2.0,,,,192.0,,,,,,,,,28.0,,,,,,,,150.0,,,,,,,,,,1928.0,,,,,,,,548.0,,,157.0,,,4367.0,,2571.0,2.0,,,,,,,,,,,,,,,2.0,6.0,,2.0,,,,,,103.0,,72.0,,
de_gsd-ud-dev,799,0,583,,,,,,,,,,,,,,,,,,,3.0,,,,,,,13.0,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,83.0,,,,,,,,12.0,,,2.0,,,291.0,,162.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,11.0,,,,
de_gsd-ud-test,977,0,771,,,,,,,,,,,,,,,,,,,5.0,,,,,,,26.0,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,,,,136.0,,,,,,,,7.0,,,2.0,,,388.0,,185.0,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,11.0,,1.0,,
xnr_kdtb-ud-test,288,0,37,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,2.0,,,,,,3.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,1364,,7.0,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,1.0,3.0,,,,,,2.0,1.0,,,,,,,,,2.0,193.0,,,,,,,,12.0,,,,,,648.0,,456.0,,,,,,,,,,,,,,,,,,,3.0,,,,,23.0,10.0,,1.0,,
kk_ktb-ud-test,1047,0,236,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,233.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-train,31,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,7418,13.0,,,,,1.0,16.0,,,,,,,,,,1.0,,80.0,,,1.0,,,,,,,,,,,,,41.0,,,,,,,36.0,,,,,,,,,19.0,,885.0,,,,,,,,3.0,,,,,,4518.0,,1062.0,,603.0,,,,,,,,,,,,,,,34.0,,,,,,,,38.0,,67.0,,
cs_pdt-ud-dev,9270,0,6948,24.0,1.0,,,,3.0,9.0,,,,,,,,,,1.0,,69.0,,,1.0,,,,,,,,,,,,,48.0,1.0,,,,,,24.0,,,,,,,,,22.0,,870.0,,,,,,,,4.0,,,,,,4223.0,,973.0,,584.0,,,,,,,,,,,,,,,23.0,,,,,,,,26.0,,42.0,,
cs_pdt-ud-train,68491,0,50585,148.0,4.0,,,,,89.0,,,,,,,,,,2.0,,574.0,,,21.0,,,,,,,,,,,,,302.0,,,,,,,198.0,6.0,,,,,,,,131.0,,6479.0,,,,,,,,23.0,,,6.0,,,30088.0,,7305.0,,4302.0,,,,,,,,,,,,,,,244.0,,1.0,,,,,,297.0,,365.0,,
ta_mwtt-ud-test,534,0,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,12,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,238,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,229.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ug_udt-ud-dev,900,0,214,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,200.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,433,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,1.0,,,,,,427.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
ur_udtb-ud-train,4043,0,12581,,36.0,,,,19.0,,,,,,,,,,,,8.0,,,,,,,,366.0,,,,,,,,,7.0,,4.0,,,,,,,,,,,,,,354.0,,4638.0,,,,,,,,1078.0,,,,1.0,,1203.0,,4783.0,,,,,,,,,,,,,,,,,,,,,,,,,48.0,5.0,31.0,,
ur_udtb-ud-dev,552,0,1851,,1.0,,,,1.0,1.0,,,,,,,,,,,3.0,,,,,,,,36.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,64.0,,785.0,,,,,,,,146.0,,,,,,133.0,,668.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,4.0,,
ur_udtb-ud-test,535,0,1784,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,58.0,,686.0,,,,,,,,136.0,,,,,,168.0,,692.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,3.0,,
lv_lvtb-ud-test,2412,0,1802,,5.0,,,,,1.0,,,,,,,,,,,,7.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,205.0,,121.0,,,,,,,,7.0,,,1.0,,,1155.0,,232.0,,,,,,,,,,,,,,,,,6.0,,4.0,,,,,,26.0,,26.0,,
lv_lvtb-ud-train,14358,0,12290,,21.0,,,,,5.0,,,,,,,,,,,,82.0,,,12.0,,,,1.0,,,,,,4.0,,,2.0,15.0,,,,,,,1.0,,,2.0,,,,,1283.0,,1087.0,,,,,,,,39.0,,,8.0,,,7914.0,,1555.0,,,,,,,,,,,,,,,,,23.0,,12.0,,,,,,54.0,2.0,168.0,,
lv_lvtb-ud-dev,2080,0,1754,,5.0,,,,,1.0,,,,,,,,,,,,14.0,,,1.0,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,199.0,,142.0,,,,,,,,2.0,,,1.0,,,1153.0,,195.0,,,,,,,,,,,,,,,,,4.0,,3.0,,,,,,13.0,1.0,17.0,,
ta_ttb-ud-train,400,0,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,26,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,13.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko_pud-ud-test,1000,0,852,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,847.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,49.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ru_pud-ud-test,1000,0,816,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,1.0,,,,,,,62.0,,,,,,,,3.0,,,,,2.0,509.0,,186.0,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,,,,,
la_ittb-ud-dev,2101,0,1134,,,,,,5.0,29.0,,8.0,,,,,,,,,,,,,10.0,,1.0,,,,,,,4.0,11.0,3.0,1.0,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,133.0,,,29.0,,,403.0,,291.0,,92.0,,,,,,,,,,,,,,,27.0,,,,,,,,20.0,,37.0,,
la_ittb-ud-test,2101,0,1184,,,,,,28.0,36.0,,3.0,,,,,,2.0,,,,,,,3.0,,,,,,,,,1.0,3.0,2.0,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,75.0,,,9.0,,,501.0,,320.0,,83.0,,,,,,,,,,,,,,,26.0,,,,,,,,20.0,,27.0,,
la_ittb-ud-train,22775,0,18432,,6.0,,,,142.0,890.0,,81.0,,,,,,9.0,,,,5.0,,,124.0,,13.0,,,,,,,122.0,115.0,27.0,20.0,,,,1.0,,,,,10.0,,,,,,,,,,718.0,,,,,,,,1032.0,,,411.0,,,6526.0,,5203.0,1.0,2086.0,,,,,,,,2.0,,,,,,1.0,287.0,,2.0,,,,,,300.0,,298.0,,
qtd_sagt-ud-test,805,0,383,,,,,,,2.0,,,,,,,,,,,,2.0,,,3.0,,,,1.0,,,,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,20.0,,,,,,,,5.0,,,1.0,,,262.0,,53.0,,,,,,,,,,,,,,,,,,,8.0,,,,1.0,9.0,6.0,,,,
qtd_sagt-ud-dev,801,0,352,,1.0,,,,,1.0,,,,,,,,,,,,2.0,2.0,,2.0,,,,4.0,,,,,,,,,,3.0,4.0,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,246.0,,47.0,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,,9.0,7.0,,2.0,,
qtd_sagt-ud-train,578,0,311,,,,,,,4.0,,,,,,,,,,,,1.0,,,3.0,,,,3.0,,,,1.0,,,,,,,6.0,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,1.0,,232.0,,32.0,,,,,,,,,,,,,,,,,,,2.0,,,,,5.0,7.0,,,,
pl_pud-ud-test,1000,0,828,,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,,,,,,,,,,,,,,,,,21.0,2.0,,,,,,,,51.0,,42.0,,29.0,,,,,,3.0,,,,,,459.0,,92.0,30.0,86.0,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,6.0,
orv_torot-ud-test,2955,0,1465,,2.0,,,,,3.0,,3.0,,,,,,,,,,63.0,,,1.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,797.0,,522.0,,3.0,,,,,,,,,,,,,,,21.0,,1.0,,,,,,19.0,,9.0,,
orv_torot-ud-dev,3061,0,1434,,3.0,,,,,1.0,,7.0,,,,,,,,,,43.0,,,1.0,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,8.0,,,,,,,,,,,,,,811.0,,511.0,,1.0,,,,,,,,,,,,,,,19.0,,,,,,,,23.0,1.0,1.0,,
orv_torot-ud-train,20480,0,10300,,18.0,,,,,16.0,,57.0,,,,,,,,,,375.0,,,5.0,,,,,,,,,,,,,,,14.0,,,,,3.0,,,,,,,,,,,85.0,,,,,,,,14.0,,,,,,5203.0,,4007.0,,17.0,,,,,,,,,,,,,,,194.0,,9.0,,,,,,229.0,,54.0,,
cs_cac-ud-dev,603,0,533,,,,,,,3.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,5.0,,,,,,,1.0,,,,,,,,,1.0,,92.0,,,,,,,,,,,,,,299.0,,57.0,,40.0,,,,,,,,,,,,,,,,,,,,,,,22.0,,3.0,,
cs_cac-ud-train,23478,0,19743,2.0,1.0,,,,5.0,36.0,,,,,,,,,,2.0,,287.0,,,1.0,,,,,,,,,,1.0,,,99.0,,,,,,,73.0,2.0,,1.0,,,,,,31.0,,2572.0,,,,,,,,45.0,,,3.0,,,11669.0,,2784.0,,1661.0,,,,,,,,,,,,,,,170.0,,2.0,,,,,,120.0,,176.0,,
cs_cac-ud-test,628,0,530,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,1.0,,40.0,,,,,,,,1.0,,,,,,367.0,,68.0,,32.0,,,,,,,,,,,,,,,7.0,,,,,,,,7.0,,,,
pl_lfg-ud-test,1727,0,608,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,9.0,,,,,,,,,,,,,,348.0,,237.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,
pl_lfg-ud-train,13774,0,5034,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,114.0,,,,,,,,,,,,,,2889.0,,1937.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,
pl_lfg-ud-dev,1745,0,646,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,14.0,,,,,,,,,,,,,,366.0,,254.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
tr_tourism-ud-train,15473,0,1210,,,,,,,3.0,,,,,,,,,,,3.0,,,,76.0,,,,20.0,,,,,,2.0,,,7.0,,,,,,,,2.0,,,,,,,,,7.0,18.0,,,,,,,,514.0,,,,1.0,,490.0,,14.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,43.0,,5.0,,
tr_tourism-ud-dev,2166,0,168,,,,,,,,,,,,,,,,,,,1.0,,,12.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,43.0,,,,1.0,,96.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,
tr_tourism-ud-test,2191,0,387,,,,,,,,,,,,,,,,,,,,,,12.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,269.0,,,,1.0,,73.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,
cs_poetry-ud-test,297,0,277,,,,,,,4.0,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,6.0,,,,,,,,2.0,,,,,,166.0,,83.0,,4.0,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,,
ru_gsd-ud-test,601,0,414,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,,,,,33.0,,,,,,,,1.0,,,,,,226.0,,139.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,418,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,41.0,,,,,,,,,,,1.0,,,234.0,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ru_gsd-ud-train,3850,0,2620,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,,,,,1.0,,266.0,,,,,,,,4.0,,,,,3.0,1447.0,,823.0,,,,,,,,,,,,,,,,,1.0,,2.0,,,,,,1.0,,1.0,,
tr_imst-ud-train,3435,0,869,,8.0,,,,,4.0,,,,,,,,,,,1.0,3.0,,,2.0,,,,20.0,,1.0,,1.0,,1.0,,,,,1.0,,,,,,10.0,,,,,,,,,,10.0,,,,,,3.0,,49.0,,,,,,713.0,,12.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,28.0,,,,
tr_imst-ud-dev,1100,0,231,,7.0,,,,,1.0,,,,,,,,,,,,,,,1.0,,,,7.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,9.0,,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
tr_imst-ud-test,1100,0,216,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,1.0,,,,,,,,8.0,,,,,,181.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
lv_cairo-ud-test,20,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,121,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,21.0,,,,,,,,8.0,,,1.0,,,81.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,,,
tr_boun-ud-dev,979,0,276,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,,13.0,,,,,,247.0,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,
tr_boun-ud-test,979,0,270,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,16.0,,,,,,240.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
tr_boun-ud-train,7803,0,4152,,15.0,,,,,9.0,,,,,,,,,,,17.0,3.0,,,13.0,,,,20.0,,,,8.0,,3.0,,,,1.0,,,,,,,3.0,,,,,,,,2.0,,13.0,,,,,,16.0,,155.0,,,,,,3789.0,,29.0,,,,,,,,,,,,,,,,2.0,1.0,,1.0,,,,,,36.0,1.0,15.0,,
tr_penn-ud-dev,622,0,223,,,,,,,1.0,,,,,,,,,,,2.0,,,,61.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,20.0,,,,,,116.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
tr_penn-ud-test,924,0,329,,,,,,,,,,,,,,,,,,,,,,67.0,,,,2.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,1.0,17.0,,,,,,,,25.0,,,,1.0,,206.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,4.0,,
tr_penn-ud-train,14850,0,5494,,,,,,,4.0,,,,,,,,,,,14.0,6.0,,,1654.0,,,,90.0,,,,,,4.0,,,4.0,3.0,1.0,,,,,1.0,9.0,,,,,,,,,7.0,241.0,,,,,,,,501.0,,,,19.0,,2701.0,,79.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,82.0,1.0,71.0,,
