Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advcl:dpct,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,amod,appos,appos:trans,ccomp,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:coord,compound:lvc,compound:name,compound:nn,compound:prt,compound:redup,conj:expl,csubj,csubj:cop,csubj:pass,csubj:relcl,dep,discourse,dislocated,dislocated:csubj,dislocated:obj,fixed,flat,flat:abs,flat:foreign,flat:gov,flat:name,flat:range,flat:repeat,flat:sibl,flat:title,iobj,iobj:appl,list,nmod,nmod:appos,nmod:arg,nmod:att,nmod:flat,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:part,nmod:poss,nmod:pre,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obj:appl,obj:caus,obl,obl:agent,obl:appl,obl:arg,obl:benef,obl:cau,obl:cmp,obl:cmpr,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:smod,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,reparandum,root,vocative,xcomp,xcomp:ds,xcomp:pred
et_edt-ud-train,24615,0,21978,,41.0,,,,,10.0,70.0,,,,,,,,,,14.0,69.0,,21.0,,,,2.0,,,,,,,,3.0,,,,,,,,,,16.0,,,,,,,,,,,,14632.0,,,,,,,,,,,,23.0,19.0,,,,,,2432.0,,,4402.0,,,,,,,,,,,,,,,,,20.0,69.0,,,,,,132.0,,3.0,,
et_edt-ud-test,3214,0,3248,,8.0,,,,,1.0,13.0,,,,,,,,,,5.0,13.0,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2267.0,,,,,,,,,,,,2.0,3.0,,,,,,341.0,,,551.0,,,,,,,,,,,,,,,,,4.0,6.0,,,,,,22.0,,3.0,,
ru_syntagrus-ud-train,69630,0,87647,,62.0,,,,,10.0,110.0,,,,,,,,,,2.0,520.0,,33.0,,,,163.0,,,,,,,,2.0,,,,,,,,,517.0,882.0,,12.0,,3.0,,,,,152.0,,,61734.0,,,,,,,,,,,,2955.0,,,312.0,740.0,1.0,,997.0,,,16380.0,,,,,,,,,,,,,,,,175.0,115.0,1081.0,,,,,,676.0,,13.0,,
ru_syntagrus-ud-dev,8906,0,10917,,20.0,,,,,2.0,11.0,,,,,,,,,,1.0,53.0,,3.0,,,,23.0,,,,,,,,1.0,,,,,,,,,62.0,54.0,,2.0,,,,,,,29.0,,,7854.0,,,,,,,,,,,,349.0,,,28.0,66.0,,,107.0,,,1992.0,,,,,,,,,,,,,,,,9.0,15.0,155.0,,,,,,81.0,,,,
ru_syntagrus-ud-test,8800,0,10965,,12.0,,,,,2.0,13.0,,,,,,,,,,,51.0,,3.0,,,,18.0,,,,,,,,1.0,,,,,,,,,50.0,154.0,,,,,,,,,18.0,,,7430.0,,,,,,,,,,,,394.0,,,51.0,95.0,,,91.0,,,2317.0,,,,,,,,,,,,,,,,9.0,24.0,158.0,,,,,,74.0,,,,
grc_ptnk-ud-train,727,0,535,,,,,,,17.0,3.0,,,,,,,,,,,44.0,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,261.0,,,,,,,,,,,,3.0,,,1.0,,,,6.0,,,189.0,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,4.0,,1.0,,
grc_ptnk-ud-dev,439,0,427,,,,,,,14.0,1.0,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,236.0,,,,,,,,,,,,2.0,,,,,,,3.0,,,131.0,,,1.0,,,,,,,,,,,,,,5.0,2.0,,,,,,6.0,,,,
grc_ptnk-ud-test,410,0,361,,,,,,,2.0,,,,,,,,,,,,36.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,,,,,,,,,,,,2.0,,,,,,,1.0,,,125.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,1.0,,
sv_pud-ud-test,1000,0,119,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,2.0,,,,,,,,,108.0,,,,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,193,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155.0,,,,,,,,,3.0,,,11.0,,,,,,,1.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
akk_riao-ud-test,1874,0,1329,,,,,,,2.0,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,,,,,631.0,,,,,,,,,,7.0,,,526.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
orv_birchbark-ud-train,1045,0,270,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,2.0,104.0,,,,,,,,,,,,55.0,,,2.0,,,,27.0,,,24.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,26.0,,,,
orv_birchbark-ud-dev,1062,0,415,,,,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,2.0,,,,,1.0,,,130.0,,,,,,,,,,,,90.0,,,1.0,1.0,,,85.0,,,34.0,,,,,,,,,,,,,,,,,12.0,1.0,,,,,1.0,33.0,,,,
orv_birchbark-ud-test,1007,0,484,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,168.0,,,,,,,,,,,,108.0,,,5.0,,,,107.0,,,44.0,,,,,,,,,,,,,,,,,10.0,4.0,,,,,3.0,20.0,1.0,,,
is_icepahc-ud-dev,4865,0,2085,,,,,,,10.0,14.0,,,,,,,,,,14.0,48.0,,7.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,965.0,,,24.0,,,,,,,148.0,,,824.0,,,,,,,,,,,,,,,,,,2.0,,,,,,12.0,1.0,11.0,,
is_icepahc-ud-train,34007,0,11648,,8.0,,,,,40.0,73.0,,,,,,,,,,75.0,745.0,,40.0,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,24.0,,,3.0,,,,,,,,,4862.0,,,183.0,,,,,,,938.0,,,4502.0,,,,,,,,,,,,,,,,,,9.0,,,,,,79.0,11.0,51.0,,
is_icepahc-ud-test,5157,0,2327,,4.0,,,,,3.0,19.0,,,,,,,,,,14.0,66.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,1129.0,,,32.0,,,,,,,171.0,,,833.0,,,,,,,,,,,,,,,,,,1.0,,,,,,19.0,,20.0,,
de_lit-ud-test,1920,0,303,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,281.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,15.0,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,
ltg_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,467,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,,,,,,,,,,279.0,,,,,,,,,,,,31.0,,,,,,,37.0,,,102.0,,,,,,,,,,,,,,,,5.0,,1.0,,,,,,6.0,,,,
ru_poetry-ud-dev,789,0,455,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,2.0,1.0,,,,,,,,,1.0,,,250.0,,,,,,,,,,,,22.0,,,2.0,,,,42.0,,,111.0,,,,,,,,,,,,,,,,,2.0,3.0,,,,,,14.0,,1.0,,
ru_poetry-ud-train,3569,0,2115,,1.0,,,,,,2.0,,,,,,,,,,,19.0,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,4.0,,,,,,,,,2.0,,,1310.0,,,,,,,,,,,,92.0,,,1.0,,,,172.0,,,439.0,,,,,,,,,,,,,,,,6.0,5.0,8.0,,,,,,46.0,,1.0,,
fo_farpahc-ud-test,301,0,39,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_farpahc-ud-train,1020,0,77,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
fo_farpahc-ud-dev,300,0,60,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-dev,394,0,150,,,,,,,1.0,1.0,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.0,,,,,,,,,,4.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
is_modern-ud-train,2703,0,1173,,2.0,,,,,2.0,7.0,,,,,,,,,,15.0,13.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,697.0,,,4.0,,,,,,,40.0,,,374.0,,,,,,,,,,,,,,,,,,3.0,,,,,,6.0,,3.0,,
is_modern-ud-test,438,0,187,,,,,,,1.0,1.0,,,,,,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,102.0,,,2.0,,,,,,,6.0,,,62.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
wbp_ufal-ud-test,55,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-train,4383,0,586,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,20.0,6.0,,,,,,,,,,,,64.0,,,,,,,,,433.0,,,11.0,,,,3.0,,,12.0,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
da_ddt-ud-test,565,0,76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,8.0,,,,,,,,,54.0,,,1.0,,,,1.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
da_ddt-ud-dev,564,0,73,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,10.0,,,,,,,,,51.0,,,1.0,,,,,,,2.0,,,4.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,510,,1.0,,,,,1.0,2.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,227.0,,,,,,,,,,,,9.0,,,,,,,15.0,,,197.0,,,39.0,,,,,,,,,,,,,,2.0,,,,,,,7.0,,,,
cs_fictree-ud-train,10160,0,4117,,,,,,,1.0,9.0,,,,,,,,,,,25.0,,4.0,,,,,,,,,,,,,,,,51.0,,,,,2.0,3.0,,,,,,,,,1.0,,,1927.0,,,,,,,,,,,,87.0,,,2.0,,,,115.0,,,1520.0,,,323.0,,,,,,,,,,,,,,8.0,,,,,,,38.0,,1.0,,
cs_fictree-ud-test,1291,0,505,,,,,,,1.0,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,232.0,,,,,,,,,,,,14.0,,,1.0,,,,17.0,,,183.0,,,35.0,,,,,,,,,,,,,,1.0,,,,,,,7.0,,1.0,,
la_udante-ud-train,926,0,952,,,,,,,3.0,1.0,,4.0,,,,,,,,,2.0,,1.0,,,1.0,,,,,,,,3.0,,,,,,,,,,,2.0,,,,,,,,,,,,906.0,,,,,,,,,,,,2.0,,,3.0,1.0,,,,,,12.0,,,6.0,,,,,,,,1.0,,,,,,2.0,,,,,,,2.0,,,,
la_udante-ud-test,419,0,308,,,,,,,8.0,1.0,,1.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,2.0,,,,,,,,,,,,272.0,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,3.0,,,8.0,,,,,,,,,,,,,,2.0,,,,,,,1.0,,2.0,,
la_udante-ud-dev,376,0,450,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,3.0,,,,,,,,,,,,430.0,,,,,,,,,,,,1.0,,,1.0,,,,,,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,
hyw_armtdp-ud-test,680,0,18,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
hyw_armtdp-ud-dev,694,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,,,,10.0,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-train,5282,0,149,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,18.0,1.0,,,,,,,,,1.0,,,2.0,,,,,,,3.0,,101.0,,,1.0,,,2.0,,,,3.0,,,13.0,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
pcm_nsc-ud-train,7279,0,4,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
pcm_nsc-ud-test,972,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,510,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,493.0,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,2144,,,,,,,3.0,2.0,,,,,,,,,,,8.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2013.0,,,,,,,,,,,,,,,,,,,4.0,,,103.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,1.0,,
el_gdt-ud-dev,403,0,559,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,526.0,,,,,,,,,,,,,,,,,,,1.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,669,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,286.0,,,37.0,,,,,,,24.0,,,308.0,,,,,,,,,,,,,,,,,,1.0,,,,,,3.0,,1.0,,
sme_giella-ud-test,865,0,548,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,283.0,,,21.0,,,,,,,9.0,,,225.0,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,
gd_arcosg-ud-test,545,0,275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.0,,,,,,,,,,,,3.0,,,,,,,50.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
gd_arcosg-ud-train,3541,0,1918,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1360.0,,,,,,,,,,,,10.0,,,,,,,302.0,,,209.0,,,,,,,,,,,,,,2.0,,1.0,,2.0,,,,,1.0,5.0,,,,21.0
gd_arcosg-ud-dev,655,0,278,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.0,,,,,,,,,,,,1.0,,,,,,,30.0,,,32.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0
got_proiel-ud-dev,985,0,262,,1.0,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,6.0,,
got_proiel-ud-train,3387,0,1147,,2.0,,,,,,4.0,,,,,,,,,,,94.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,885.0,,,,,,,,,,,,3.0,,,,,,,16.0,,,66.0,,,57.0,,,,,,,,,,,,,,4.0,,,,,,,4.0,,11.0,,
got_proiel-ud-test,1029,0,292,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,251.0,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,,17.0,,,13.0,,,,,,,,,,,,,,,,,,,,,2.0,,4.0,,
sl_sst-ud-train,4558,0,1580,,,,,,,,,,,,,,,,,,,41.0,,5.0,,,,,,,,,,,,,,,,,,3.0,,,1.0,2.0,,,,,,,,,,,,746.0,,,,,,,,,,,,123.0,,,,,,,233.0,,,320.0,,,,,,,,,,,,,,,,,20.0,25.0,,,,4.0,10.0,47.0,,,,
sl_sst-ud-test,1041,0,280,,2.0,,,,,,2.0,,,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,127.0,,,,,,,,,,,,19.0,,,,,,,44.0,,,61.0,,,,,,,,,,,,,,,,,3.0,5.0,,,,,1.0,11.0,,1.0,,
sl_sst-ud-dev,505,0,373,,2.0,,,,,,,,,,,,,,,,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,214.0,,,,,,,,,,,,23.0,,,,,,,41.0,,,61.0,,,,,,,,,,,,,,,,,5.0,4.0,,,,,1.0,7.0,,,,
de_gsd-ud-train,13814,0,5060,,2.0,,,,,,2.0,,,,,,,,,,1.0,44.0,,,,,,87.0,,,,,,,,,,,,6.0,,,,,,160.0,,,,,,,,,,,,4377.0,,,,,,,,,,,,26.0,,,9.0,,,,19.0,,,298.0,2.0,,5.0,,,,,,,,,,,,,,,1.0,,,,,,16.0,,5.0,,
de_gsd-ud-dev,799,0,170,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,141.0,,,,,,,,,,,,1.0,,,,,,,3.0,,,17.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,
de_gsd-ud-test,977,0,305,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,15.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,269.0,,,,,,,,,,,,3.0,,,,,,,,,,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,248.0,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,
kk_ktb-ud-train,31,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,13.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,12063,26.0,3.0,,,,,3.0,11.0,,,,,,,,,,,80.0,,2.0,,,,,,,,,,,,,,,,75.0,,,,,24.0,4.0,,,,,,,,,1.0,,,9113.0,,,,,,,,,,,,152.0,,,27.0,,,,153.0,,,1914.0,,,373.0,,,,,,,,,,,,,,31.0,1.0,,,,,,57.0,,13.0,,
cs_pdt-ud-dev,9270,0,11351,31.0,2.0,,,,,1.0,5.0,,,,,,,,,,,77.0,,4.0,,,,,,,,,,,,,,,,58.0,,,,,32.0,1.0,,,,,,,,,3.0,,,8465.0,,,,,,,,,,,,161.0,,,21.0,,,,136.0,,,1829.0,,,377.0,,,,,,,,,,,,,,46.0,,,,,,,80.0,,22.0,,
cs_pdt-ud-train,68491,0,84264,173.0,9.0,,,,,21.0,62.0,,,,,,,,,,1.0,617.0,,24.0,,,,,,,,,,,,6.0,,3.0,,408.0,,,,,228.0,19.0,,,,,,,,,13.0,,,62639.0,,,,,,,,,,,,1158.0,,,191.0,,,,1053.0,,,13695.0,,,2935.0,,,,,,,,,,,,,,285.0,11.0,,,,,,631.0,,82.0,,
ta_mwtt-ud-test,534,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_dudu-ud-test,85,0,31,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,15.0,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,3.0,143.0,,,10.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-dev,900,0,151,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,128.0,,,16.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,303,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,287.0,,1.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,2893,,8.0,,,,,,2.0,,,,,,,,,,,5.0,,,,,,1.0,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,40.0,,,2467.0,,,,,,,,,,,,68.0,,,2.0,,,,,,,280.0,,,,,,,,,,,,,,,,,5.0,6.0,,,,,,5.0,,1.0,,
lv_lvtb-ud-train,14358,0,20142,,20.0,,,,,,10.0,,,,,,,,,,,36.0,,1.0,,,,7.0,,,,,,,,,,,,8.0,23.0,,,,,,,,,,,,,,379.0,,,17166.0,,,,,,,,,,,,432.0,,,17.0,,,,1.0,,,1957.0,,,,,,,,,,,,,,,,,24.0,25.0,,,,,,33.0,,3.0,,
lv_lvtb-ud-dev,2080,0,2679,,4.0,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,54.0,,,2288.0,,,,,,,,,,,,49.0,,,5.0,,,,,,,246.0,,,,,,,,,,,,,,,,,7.0,7.0,,,,,,5.0,,2.0,,
ta_ttb-ud-train,400,0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.0,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ko_pud-ud-test,1000,0,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,377.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,1619,,1.0,,,,,,3.0,,,,,,,,,,,17.0,,,,,,3.0,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,2.0,,,1108.0,,,,,,,,,,,,50.0,,,5.0,16.0,,1.0,65.0,,,321.0,,,,,,,,,,,,,,,,,3.0,9.0,,,,,,6.0,,,,
la_ittb-ud-dev,2101,0,760,,2.0,,,,,5.0,4.0,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,2.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,,720.0,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,3.0,,
la_ittb-ud-test,2101,0,758,,,,,,,3.0,12.0,,4.0,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,711.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,1.0,1.0,,,,,,20.0,,,,
la_ittb-ud-train,22775,0,14254,,8.0,,,,,73.0,100.0,,51.0,,,,,,2.0,,,2.0,,14.0,,8.0,,,,,,,,,49.0,43.0,,7.0,6.0,,,,,,,1.0,,,,,,,,,,,,13630.0,,,,,,,,,,,,4.0,,,5.0,,,,,,,28.0,,,13.0,,,,,,,,,,,,,,27.0,2.0,,,,,,150.0,,31.0,,
qtd_sagt-ud-test,805,0,55,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,6.0,,1.0,1.0,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,6.0,,,1.0,,
