Treebank,Number of Sentences,Failures,Total,_,acl,acl:cleft,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,amod:att,amod:flat,appos,aux,aux:caus,aux:pass,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:obl,ccomp:pred,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:nn,compound:prt,compound:redup,compound:smixut,compound:svc,conj,conj:expl,cop,cop:locat,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,det,discourse,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:sibl,iobj,list,mark,nmod,nmod:arg,nmod:att,nmod:gobj,nmod:gsubj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:mod,obl:pronmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:reporting,punct,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:ds,xcomp:obj,xcomp:pred,xcomp:subj
sv_pud-ud-test,1000,0,2355,5.0,62.0,5.0,201.0,246.0,,,,,,,,,3.0,,,1.0,367.0,,8.0,,,83.0,,,,,,,,,,,,,,190.0,,343.0,,,31.0,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,75.0,,,,,,,622.0,,100.0,,,,,
sjo_xdt-ud-test,810,0,6,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
orv_birchbark-ud-train,1045,0,607,,2.0,,,47.0,,,,,,,,,,,,1.0,49.0,,1.0,,,7.0,,,,,,,,,,,,,,90.0,,12.0,,,1.0,,,,,,,,15.0,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,19.0,,,,,,,335.0,,14.0,,,,,
orv_birchbark-ud-dev,1062,0,994,,6.0,,7.0,125.0,,,,,,,,,1.0,,,,100.0,,2.0,1.0,,18.0,,,,,,,,,,,,,,153.0,,24.0,,,3.0,,,,,,,,7.0,,,8.0,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,10.0,,40.0,,,,,,1.0,447.0,,38.0,,,,,
orv_birchbark-ud-test,1007,0,1042,,7.0,,14.0,123.0,,,,,,,,,,,,,114.0,,,,,19.0,,,,,,,,,,,,,,140.0,,38.0,,,5.0,,,,,,,,1.0,,,17.0,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,41.0,,,,,,1.0,488.0,,31.0,,,,,
is_icepahc-ud-dev,4865,0,23126,,1835.0,,1515.0,1680.0,,,,,,,64.0,,194.0,,,3.0,3170.0,,,17.0,5.0,1917.0,,,,,,,,,,1.0,,,,3772.0,,4052.0,,,,,,,,,,,264.0,2.0,3.0,,,,,,,1.0,,,1.0,,,7.0,,14.0,,,,,,,26.0,18.0,,,,1.0,22.0,798.0,,,,,,,,,,,183.0,,,,,,,3355.0,1.0,205.0,,,,,
is_icepahc-ud-train,34007,0,114950,,8128.0,,6778.0,7841.0,,,,,,,251.0,,823.0,,,24.0,13024.0,,,135.0,13.0,8871.0,,,,,,,,,,11.0,,,,18992.0,,19039.0,,,,,,,,,,,896.0,16.0,4.0,1.0,,,,,,,,4.0,11.0,,,26.0,,11.0,8.0,,,,,,192.0,178.0,,,,2.0,197.0,2901.0,,,,,,,,,,,1195.0,,,,,,,24573.0,5.0,800.0,,,,,
is_icepahc-ud-test,5157,0,22177,,1491.0,,1687.0,1665.0,,,,,,,43.0,,165.0,,,12.0,2686.0,,,21.0,,1987.0,,,,,,,,,,,,,,3579.0,,4054.0,,,2.0,,,,,,,,178.0,1.0,,,,,,,,1.0,,,,,,10.0,,2.0,2.0,,,,,,59.0,34.0,,,,2.0,21.0,434.0,,,,,,,,,,,122.0,,,,,1.0,,3700.0,,218.0,,,,,
ltg_cairo-ud-test,20,0,30,3.0,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,
ru_poetry-ud-test,728,0,979,,29.0,,23.0,87.0,,,,,,,,,19.0,,,,4.0,,3.0,,,22.0,,,,,,,,,,,,,,270.0,,26.0,,,18.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,65.0,14.0,,,,,,355.0,,39.0,,,,,
ru_poetry-ud-dev,789,0,1019,,30.0,,21.0,84.0,,,,,,,,,20.0,,,1.0,3.0,,5.0,,,11.0,,,,,,,,,,,,,,293.0,,31.0,,,14.0,,,,,3.0,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,59.0,15.0,,,,,,376.0,,50.0,,,,,
ru_poetry-ud-train,3569,0,4505,,130.0,,88.0,435.0,,,,,,,,,124.0,,,1.0,26.0,,15.0,,,72.0,,,,,,,,,,,,,,1133.0,,114.0,,,86.0,,,,,2.0,,,,,,,,,,,,1.0,,,,,,3.0,,,3.0,,,,,,,4.0,,,,,8.0,2.0,,,,,,,,,,,223.0,29.0,,,,,,1830.0,,176.0,,,,,
is_modern-ud-dev,394,0,1403,,180.0,,85.0,59.0,,,,,,,3.0,,6.0,,,,161.0,,,,,114.0,,,,,,,,,,,,,,119.0,,337.0,,,2.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,53.0,,,,,,,,,,,17.0,,,,,,,227.0,,22.0,,,,,
is_modern-ud-train,2703,0,10686,,1171.0,,756.0,488.0,,,,,,,,,71.0,,,,1191.0,,,,,957.0,,,,,,,,,,,,,,838.0,,2677.0,,,5.0,,,,,,,,192.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,445.0,,,,,,,,,,,67.0,,,,,,,1654.0,,170.0,,,,,
is_modern-ud-test,438,0,1560,,186.0,,96.0,78.0,,,,,,,1.0,,9.0,,,,177.0,,,2.0,,120.0,,,,,,,,,,,,,,133.0,,369.0,,,2.0,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,2.0,59.0,,,,,,,,,,,12.0,,,,,,,280.0,,13.0,,,,,
da_ddt-ud-train,4383,0,9950,,1.0,,981.0,1093.0,,,,,,,,,45.0,,,2.0,2424.0,,,6.0,,288.0,,,,,,,,,,3.0,,,,870.0,,1202.0,,,,,,,,,,,38.0,,,,,,,,,4.0,,,,,,,12.0,,20.0,,,,,,,12.0,,,,,332.0,7.0,,,,,4.0,,,,,,2.0,,,,,,1.0,2433.0,,170.0,,,,,
da_ddt-ud-test,565,0,1293,,,,123.0,129.0,,,,,,,,,4.0,,,,316.0,,,,,50.0,,,,,,,,,,,,,,111.0,,153.0,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,4.0,,,,,50.0,1.0,,,,,,,,,,,,,,,,,,324.0,,19.0,,,,,
da_ddt-ud-dev,564,0,1291,,1.0,,129.0,147.0,,,,,,,,,3.0,,,,332.0,,,2.0,,41.0,,,,,,,,,,,,,,121.0,,147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,50.0,,,,,,,,,,,,,,,,,,,304.0,,12.0,,,,,
cs_fictree-ud-dev,1309,0,2649,18.0,27.0,,133.0,178.0,,,,,,,,,18.0,,,2.0,280.0,,11.0,,,161.0,,,,,,,,,,,,,,513.0,,295.0,,,18.0,,,,,2.0,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,10.0,,,,,,,965.0,,7.0,,,,,
cs_fictree-ud-train,10160,0,21565,99.0,229.0,,1127.0,1439.0,,,,,,,,,184.0,,,42.0,2372.0,,104.0,,,1306.0,,,,,,,,,,,,,,4456.0,,2247.0,,,211.0,,,,,10.0,,,132.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0,1.0,,3.0,,,,,,,16.0,,81.0,,,,,,,7434.0,,68.0,,,,,
cs_fictree-ud-test,1291,0,2665,12.0,20.0,,138.0,203.0,,,,,,,,,16.0,,,3.0,267.0,,12.0,,,179.0,,,,,,,,,,,,,,528.0,,285.0,,,19.0,,,,,1.0,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,945.0,,11.0,,,,,
la_udante-ud-train,926,0,2806,,135.0,,265.0,348.0,42.0,,154.0,,79.0,25.0,,,,,,,,,,,,164.0,,,,,8.0,59.0,,,,,,,,524.0,50.0,,,,141.0,,3.0,,1.0,14.0,21.0,7.0,,,2.0,,2.0,2.0,,2.0,2.0,,4.0,,,,,,,,23.0,,,,,,,18.0,,,2.0,,5.0,44.0,4.0,10.0,,,,,,,5.0,,,,,,4.0,,,462.0,,175.0,,,,,
la_udante-ud-test,419,0,1251,,40.0,,116.0,160.0,7.0,,59.0,,74.0,17.0,,,,,,,,,,,,78.0,,,,,8.0,2.0,,,,,,,,217.0,4.0,,,,47.0,,5.0,,,19.0,9.0,1.0,,,,,,2.0,,,,,,,,,,,,,5.0,,,,,,,5.0,,,,,5.0,14.0,,7.0,,,,,,,10.0,,1.0,,,,,,,229.0,,110.0,,,,,
la_udante-ud-dev,376,0,1154,,67.0,,115.0,143.0,16.0,,48.0,,67.0,5.0,,,,,,,,,,,,59.0,,,,,7.0,10.0,,,,,,,,230.0,16.0,,,,39.0,,2.0,,,4.0,20.0,2.0,,,,,,2.0,,,,,,,,,,,,,16.0,,,,,,,5.0,,,,,3.0,12.0,,1.0,,,,,,,2.0,,,,,,1.0,,,212.0,,50.0,,,,,
hyw_armtdp-ud-test,680,0,863,,48.0,,54.0,76.0,,,,,,6.0,,,,,,4.0,,,,,,28.0,,,,,,,,,,,,,2.0,205.0,,,,,36.0,,,,,1.0,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,6.0,2.0,,,,,,39.0,,,,,,,,,,,35.0,,,,,,,244.0,,70.0,,,,,
hyw_armtdp-ud-dev,694,0,853,,46.0,,53.0,95.0,,,,,,6.0,,,,,,3.0,,,,,,27.0,,,,,,,,,,,,,2.0,219.0,,,,,28.0,,,,,1.0,,,,,7.0,1.0,,,,,,,,,,,,,,,,,,,,1.0,13.0,2.0,,,,,2.0,31.0,,,,,,,,,,,43.0,,,,,,,214.0,,59.0,,,,,
hyw_armtdp-ud-train,5282,0,6067,,391.0,,307.0,527.0,,,,,,52.0,,,,,,12.0,,,,,,162.0,,,,,,,,2.0,,,1.0,,10.0,1284.0,,,,,204.0,,,,,14.0,,,,,38.0,4.0,,,,,,1.0,,,,,,2.0,,1.0,4.0,,,,,8.0,152.0,4.0,,,,,11.0,208.0,,,,,,,,,1.0,,317.0,,,,,,,1846.0,,504.0,,,,,
el_gdt-ud-test,456,0,739,,26.0,,107.0,100.0,,,,,,,,,,,,,69.0,,,,,53.0,,,,,,,,,,,,,,61.0,,,,,21.0,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,241.0,,54.0,,,,,
el_gdt-ud-train,1662,0,3222,,109.0,,420.0,381.0,,,,,,,,,,,,4.0,354.0,,,,,323.0,,,,,,,,,,,,,,296.0,,,,,61.0,,,,,19.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,31.0,,,,,,,995.0,,216.0,,,,,
el_gdt-ud-dev,403,0,577,,17.0,,98.0,65.0,,,,,,,,,,,,1.0,43.0,,,,,40.0,,,,,,,,,,,,,,45.0,,,,,14.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,9.0,,,,,,,204.0,,38.0,,,,,
got_proiel-ud-dev,985,0,2224,,127.0,,,436.0,,,1.0,,,,,,,,,12.0,,,,,,139.0,,,,,,,,,,,,,,364.0,,,,,,,,,,3.0,,,,,,17.0,,,,,,,,,,,,,,,12.0,,,,,,,30.0,,,3.0,,22.0,3.0,,3.0,,,,,,,14.0,,16.0,,,,,,,912.0,1.0,109.0,,,,,
got_proiel-ud-train,3387,0,7230,,462.0,,,1353.0,,,15.0,,,,,,,,,19.0,,,,,,437.0,,,,,,,,,,,,,,1123.0,,,,,,,,,,12.0,,,,,,48.0,,,,,,,,,,,,,,,51.0,,,,,,,131.0,,,10.0,,68.0,22.0,,26.0,,,,,,,57.0,,44.0,,,,,,,3031.0,2.0,319.0,,,,,
got_proiel-ud-test,1029,0,2303,,130.0,,,475.0,,,2.0,,,,,,,,,1.0,,,,,,139.0,,,,,,,,,,,,,,362.0,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,17.0,,,,,,,32.0,,,5.0,,28.0,7.0,1.0,3.0,,,,,,,17.0,,17.0,,,,,,,941.0,2.0,106.0,,,,,
nhi_itml-ud-test,909,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ka_glc-ud-test,151,0,178,,8.0,,,4.0,,,,,,,,,,,,,2.0,,,,,27.0,,,,,,,,,,,,,,29.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,98.0,,1.0,,,,,
xnr_kdtb-ud-test,288,0,275,,,,,7.0,,,,,,,,,1.0,,,,46.0,,8.0,,,2.0,,,,,,,,,,,,,,6.0,,61.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,123.0,,18.0,,,,,
aln_gps-ud-test,966,0,2446,,102.0,,,41.0,,,,,,,,,,,,,604.0,,,,,122.0,,,,,,,,,,,,,,610.0,,118.0,,,1.0,,,,,,,,,,84.0,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,58.0,,,,,,66.0,618.0,,18.0,,,,,
he_htb-ud-train,5168,0,7506,,250.0,,1109.0,559.0,,,,,,,,,88.0,,,26.0,,,,13.0,,294.0,,,,,,,,,,,,45.0,,1039.0,,,,,69.0,,,,,,,,187.0,,,,,,,,,,,,,,,,,,32.0,,,,,,7.0,27.0,1.0,,,,22.0,165.0,,,,,,,,,,,92.0,,,,,,,2413.0,,1068.0,,,,,
he_htb-ud-dev,484,0,643,,22.0,,79.0,44.0,,,,,,,,,11.0,,,12.0,,,,2.0,,34.0,,,,,,,,,,,,2.0,,72.0,,,,,5.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,4.0,1.0,,,,3.0,9.0,,,,,,,,,,,9.0,,,,,,,213.0,,101.0,,,,,
he_htb-ud-test,491,0,580,,28.0,,101.0,41.0,,,,,,,,,9.0,,,1.0,,,,9.0,,20.0,,,,,,,,,,,,2.0,,80.0,,,,,2.0,,,,,,,,10.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,2.0,,,,,,6.0,,,,,,,,,,,6.0,,,,,,,178.0,,83.0,,,,,
cs_pdt-ud-test,10146,0,17282,132.0,415.0,,1550.0,877.0,,,,,,,,,465.0,,,92.0,735.0,,603.0,5.0,,788.0,,,,,,,,,,,,,,1981.0,,2848.0,,,163.0,,,,,27.0,,,44.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,6.0,,,,,1.0,1.0,,1.0,,,,,,,8.0,,162.0,,,,,,,6370.0,,6.0,,,,,
cs_pdt-ud-dev,9270,0,15615,136.0,405.0,,1417.0,773.0,,,,,,,,,361.0,,,84.0,650.0,,583.0,3.0,,720.0,,,,,,,,,,,,,,1681.0,,2534.0,,,150.0,,,,,24.0,,,39.0,,,,,,,,,21.0,,,,,,,,,,,,,,,,5.0,,,,,1.0,1.0,,3.0,,,,,,,4.0,,118.0,,,,,,,5896.0,,6.0,,,,,
cs_pdt-ud-train,68491,0,113538,1058.0,2791.0,,10270.0,5382.0,,,,,,,,,3096.0,,,411.0,4496.0,,4074.0,20.0,,5576.0,,,,,,,,,,,,,,12171.0,,18078.0,,,1232.0,,,,,175.0,,,299.0,,,,,,,,,34.0,,,,,,1.0,,,2.0,,,,,,,61.0,,,2.0,,12.0,16.0,,27.0,,,,,,,43.0,,1073.0,,,,,,,43078.0,,60.0,,,,,
ta_mwtt-ud-test,534,0,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,
ur_udtb-ud-train,4043,0,6863,,223.0,,474.0,398.0,,,,,,,,,18.0,,,,,,,1.0,,178.0,,,,,,,5.0,,,,,,,751.0,,909.0,,,,,,,,,,,36.0,,,1.0,,,,,,,,,,,,,,,10.0,,,,,,,16.0,,,,,667.0,1.0,,,,,,,,,,,,,,,,1.0,,3034.0,,140.0,,,,,
ur_udtb-ud-dev,552,0,875,,23.0,,44.0,23.0,,,,,,,,,2.0,,,,,,,,,35.0,,,,,,,1.0,,,,,,,96.0,,137.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,,,,,,,3.0,,,,,86.0,,,,,,,,,,,,,,,,,,,394.0,,23.0,,,,,
ur_udtb-ud-test,535,0,918,,16.0,,43.0,42.0,,,,,,,,,,,,,,,,,,19.0,,,,,,,1.0,,,,,,,133.0,,114.0,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,90.0,,,,,,,,,,,,,,,,,,,434.0,,13.0,,,,,
lv_lvtb-ud-test,2412,0,4880,167.0,354.0,,,290.0,,,,,,,,,107.0,,,,256.0,,209.0,,,321.0,,,,,,,,,,,,,,846.0,,464.0,,,37.0,,,,,5.0,,,14.0,,10.0,,,,,,,,,,,,,3.0,,,2.0,,,,,,,7.0,,,,,,4.0,,,,,,,,,2.0,,33.0,,,,,,1.0,1718.0,,30.0,,,,,
lv_lvtb-ud-train,14358,0,31198,469.0,2490.0,,,2158.0,,,,,,,,,873.0,,,,1606.0,,1522.0,,,2153.0,,,,,,,,,,,,,,5086.0,,3524.0,,,216.0,,,,,47.0,,,127.0,,68.0,,,,,,,,,,1.0,,,21.0,,,10.0,,,,,,,28.0,,,6.0,,20.0,17.0,,,,,,,,,32.0,,206.0,,,,,,2.0,10375.0,,141.0,,,,,
lv_lvtb-ud-dev,2080,0,4396,107.0,306.0,,,254.0,,,,,,,,,99.0,,,,210.0,,207.0,,,283.0,,,,,,,,,,,,,,859.0,,441.0,,,19.0,,,,,10.0,,,13.0,,7.0,,,,,,,,,,,,,5.0,,,2.0,,,,,,,4.0,,,1.0,,5.0,,,,,,,,,,2.0,,32.0,,,,,,1.0,1506.0,,23.0,,,,,
ta_ttb-ud-train,400,0,794,,17.0,,1.0,170.0,,,,,,,,,,,,,259.0,,,,,59.0,,,,,,,7.0,,,,,,,6.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,259.0,,10.0,,,,,
ta_ttb-ud-dev,80,0,159,,2.0,,,40.0,,,,,,,,,,,,,40.0,,,,,17.0,,,,,,,,,,,,,,1.0,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,4.0,,,,,
ta_ttb-ud-test,120,0,279,,4.0,,,57.0,,,,,,,,,,,,,97.0,,,,,32.0,,,,,,,,,,,,,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,74.0,,7.0,,,,,
sga_dipwbg-ud-test,34,0,50,,1.0,,8.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,
ru_pud-ud-test,1000,0,1688,,111.0,,102.0,133.0,,,,,,,,,8.0,,,2.0,21.0,,128.0,,,69.0,,,,,,,,,,,,,,176.0,,87.0,,,44.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,1.0,1.0,,,,,,,,,1.0,,70.0,,,,,,,568.0,,159.0,,,,,
la_ittb-ud-dev,2101,0,2176,,133.0,,255.0,246.0,15.0,,42.0,,,16.0,,,,,,,,,,,,53.0,,,,,11.0,,,,,,,,,132.0,5.0,,,,187.0,,,,,66.0,30.0,,,,,,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,28.0,,,,,1.0,,,,1.0,,4.0,,,,,,,804.0,,143.0,,,,,
la_ittb-ud-test,2101,0,2460,,179.0,,166.0,304.0,3.0,,66.0,,,28.0,,,,,,,,,,,,73.0,,,,,22.0,,,,,,,,,214.0,3.0,,,,220.0,,,,,67.0,44.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,19.0,,,,,,,,,,,6.0,,,,,,,878.0,,163.0,,,,,
la_ittb-ud-train,22775,0,29055,,2498.0,,3111.0,4014.0,227.0,,664.0,,8.0,315.0,,,,,,,,,,,,897.0,,,,,134.0,3.0,,,,,,,,2485.0,109.0,,,,1954.0,,4.0,,,750.0,459.0,1.0,,,,,,,,,,2.0,,,,,,,,,19.0,,,,,,,4.0,,,,,,166.0,,1.0,,,,,,,25.0,,53.0,,,,,,,9349.0,,1803.0,,,,,
krl_kkpp-ud-test,228,0,363,,1.0,,14.0,,,,,,,,,,,,,,49.0,,1.0,,5.0,13.0,,,,,,,1.0,,,,,,,65.0,,43.0,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,161.0,,1.0,,,,,
pl_pud-ud-test,1000,0,2001,,112.0,,141.0,156.0,,,,,,3.0,,6.0,,,,,28.0,,137.0,,,58.0,3.0,27.0,,,,,,,,,,,,200.0,,166.0,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,8.0,26.0,,,,737.0,,183.0,,,,,2.0
orv_torot-ud-test,2955,0,5057,,200.0,,,753.0,,,5.0,,,,,,1.0,,,,117.0,,6.0,,,73.0,,,,,,,,,,,,,,634.0,,310.0,,,9.0,,,,,3.0,,,,,,67.0,,,,,,3.0,,,,,,,,,2.0,,,,,,,14.0,,,2.0,,20.0,2.0,,,,,,,,,28.0,,26.0,,,,,,,2490.0,,292.0,,,,,
orv_torot-ud-dev,3061,0,5104,,121.0,,,769.0,,,2.0,,,,,,,,,,152.0,,,,,63.0,,,,,,,,,,,,,,697.0,,310.0,,,7.0,,,,,6.0,,,,,,73.0,,,,,,4.0,,,,,,,,,3.0,,,,,,,23.0,,,1.0,,23.0,5.0,,,,,,,,,24.0,,30.0,,,,,,,2522.0,,269.0,,,,,
orv_torot-ud-train,20480,0,33616,,1066.0,,,4959.0,,,17.0,,,,,,2.0,,,4.0,926.0,,35.0,,,488.0,,,,,,,,,,,,,,3966.0,,2395.0,,,81.0,,,,,6.0,,,1.0,,,419.0,,,,,,14.0,,,,,,,,,12.0,,,,,,,108.0,,,6.0,,113.0,28.0,6.0,3.0,,,,,,,150.0,,205.0,,,,,,,16874.0,3.0,1729.0,,,,,
cs_cac-ud-dev,603,0,904,8.0,19.0,,67.0,27.0,,,,,,,,,38.0,,,,38.0,,50.0,,,17.0,,,,,,,,,,,,,,132.0,,129.0,,,6.0,,,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,361.0,,1.0,,,,,
cs_cac-ud-train,23478,0,44870,542.0,924.0,,4085.0,2197.0,,,,,,,,,1803.0,,,39.0,1475.0,,2200.0,10.0,,1057.0,,,,,,,,,,,,,,5712.0,,8790.0,,,440.0,,,,,73.0,,,97.0,,,,,,,,,18.0,,1.0,,,,,,,,,,,,,,24.0,,,,,5.0,13.0,,12.0,,,,,,,27.0,,426.0,,,,,,,14865.0,,35.0,,,,,
cs_cac-ud-test,628,0,1015,11.0,25.0,,89.0,70.0,,,,,,,,,42.0,,,,29.0,,34.0,,,26.0,,,,,,,,,,,,,,116.0,,188.0,,,9.0,,,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,,,,1.0,1.0,,1.0,,,,,,,,,6.0,,,,,,,357.0,,3.0,,,,,
fi_ftb-ud-dev,1875,0,3338,,226.0,,,207.0,,,,,,,,,,,,,701.0,,,,,204.0,,,,,,,,,,,,,,215.0,,354.0,,,23.0,,,21.0,,,,,4.0,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1236.0,,102.0,,40.0,,,
fi_ftb-ud-train,14981,0,27103,,1659.0,,,1752.0,,,,,,,9.0,,,,,,5349.0,,,,,1655.0,,,,,,,1.0,,,,,,,1975.0,,2829.0,,,180.0,,,154.0,,,,,34.0,,,,,,,,,22.0,,,,,,,,,4.0,,,,1.0,,,3.0,,,,,12.0,,,,,,,,,,2.0,,,,,,,,,10163.0,1.0,1016.0,,282.0,,,
fi_ftb-ud-test,1867,0,3458,,220.0,,,224.0,,,,,,,,,,,,,663.0,,,,,224.0,,,,,,,,,,,,,,268.0,,341.0,,,29.0,,,20.0,,,,,2.0,,,,,,,,,7.0,,,,,,,,1.0,3.0,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,1283.0,,127.0,,44.0,,,
pl_lfg-ud-test,1727,0,2269,,29.0,,16.0,80.0,,,,,,,,,,,,,,,39.0,,,71.0,,13.0,,,,,,,,,,,,189.0,,86.0,22.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1514.0,,202.0,,,,,
pl_lfg-ud-train,13774,0,17875,,235.0,,91.0,565.0,,,,,,,,,,,,,,,265.0,,,511.0,,122.0,,,,,,,,,,,,1420.0,,728.0,155.0,,99.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,3.0,6.0,,,,,4.0,4.0,,,,,,,,,,,,,,,,,,12192.0,,1465.0,,,7.0,,
pl_lfg-ud-dev,1745,0,2278,,20.0,,14.0,76.0,,,,,,,,,,,,,,,38.0,,,71.0,,11.0,,,,,,,,,,,,176.0,,85.0,19.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1557.0,,208.0,,,,,
jv_csui-ud-test,1000,0,1483,,88.0,,128.0,435.0,,,,,,,,,,,,3.0,,,,2.0,,13.0,,,,,,,5.0,,,,,,,111.0,,,,,23.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,14.0,,,,,,,550.0,,104.0,,,,,
