Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:ccomp,advcl:cmp,advcl:cond,advmod,amod,appos,aux,case,ccomp,clf,compound,compound:lvc,compound:prt,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,det,det:poss,discourse,dislocated,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:name,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:goal,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred
lv_lvtb-ud-dev,2080,0,306,,,,1.0,,,,,,,,,,,11.0,,,,,,,,3.0,,,,,,,,,,,,,,104.0,,,,9.0,,,,,,,,,26.0,,,,,149.0,,,,,,,,,,,2.0,,,,,1.0,,,
ta_ttb-ud-train,400,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,9.0,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,
sga_dipwbg-ud-test,34,0,13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,1.0,,,
xum_ikuvina-ud-test,133,0,20,,,,,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
ru_pud-ud-test,1000,0,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,113,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,93.0,,,,,,,,,,,,,,2.0,,,
la_ittb-ud-test,2101,0,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,86.0,,,,,,,,,,,,,,1.0,,,
la_ittb-ud-train,22775,0,1316,,,2.0,6.0,,1.0,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,153.0,,,,,,,,,,,,,,6.0,,1133.0,,,,,,,,,2.0,,,,,11.0,,,
nl_alpino-ud-train,12289,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,102,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,14.0,,,,16.0,,,,,,,,,,,,,4.0,48.0,,,,,,,,,,,,1.0,1.0,,1.0,1.0,,1.0,
qtd_sagt-ud-dev,801,0,121,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,18.0,,,,,10.0,,,,14.0,,,,,,,,,,,,,6.0,69.0,,,,,,,,,,,,,,,2.0,1.0,,,
qtd_sagt-ud-train,578,0,102,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,15.0,,,,,23.0,,,,10.0,,,,,,,,,,,,,6.0,46.0,,,,,,,,,,,,,,,1.0,,,,
ga_cadhan-ud-test,193,0,83,,,1.0,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,,,,,23.0,,,,,,,,,,,,,,41.0,,,,,,,,,,,,2.0,,,,1.0,,,9.0
pl_pud-ud-test,1000,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,26.0,,,,1.0,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,405,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,5.0,3.0,,,,,,,,11.0,,,,,,,,,88.0,,3.0,,,85.0,1.0,198.0,,,,,,,,,5.0,,,,,1.0,,,
orv_torot-ud-dev,3061,0,526,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,2.0,,,,,,,,15.0,,,,,,,,,74.0,,,,,166.0,,247.0,,,,,,,,,15.0,1.0,,,,2.0,,,
orv_torot-ud-train,20480,0,2985,,9.0,,1.0,,,,,,7.0,,,1.0,,,,,,,,,,,,,,5.0,,,,,35.0,26.0,,,,,,,,77.0,,,,,,,,,452.0,,16.0,,7.0,836.0,,1402.0,,,,,,,,,87.0,2.0,,,,14.0,,8.0,
cs_cac-ud-dev,603,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,3.0,,,,,,,,,,,,,,14.0,,17.0,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,2074,,1.0,3.0,5.0,,,,,,,,,4.0,,,,,,,,,,1.0,,,20.0,,,,,,491.0,,,,,,,,,72.0,,,,,,,,,1.0,,,,,639.0,,824.0,,,,,,,,,1.0,,,,,6.0,,6.0,
cs_cac-ud-test,628,0,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,12.0,,19.0,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,232,,,,6.0,,,,2.0,14.0,1.0,2.0,,,,,,,,6.0,,,,,12.0,,,,,,,,,,4.0,,,158.0,,,,10.0,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,1.0,
eme_tudet-ud-test,913,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,
pl_lfg-ud-test,1727,0,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,687.0,,,,2.0,,,,,,,,,,,,,,67.0,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112.0,,,,1.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,1319,,4.0,,71.0,,,,,21.0,,,9.0,10.0,,68.0,,,,13.0,,,,,,,,,,,,,,2.0,4.0,,,,,,,405.0,,,,,,,,,13.0,,,,226.0,434.0,,,,,,,,,,,,3.0,,,,33.0,,3.0,
tr_tourism-ud-dev,2166,0,172,,2.0,,47.0,,,,,,,,,,,8.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,2.0,,,,33.0,61.0,,,,,,,,,,,,1.0,,,,3.0,,1.0,
tr_tourism-ud-test,2191,0,196,,1.0,,42.0,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,11.0,,,,,,,,,2.0,,,,48.0,79.0,,,,,,,,,,,,,,,,7.0,,,
cs_poetry-ud-test,297,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,1.0,,,,,,,,,,,,,,25.0,,52.0,,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,124,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0,,,,8.0,,,,,,,,,,,,,1.0,31.0,,,,,,,,,,,,,,,,,,,
aqz_tudet-ud-test,343,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
tr_imst-ud-train,3435,0,220,,,,4.0,,,,,1.0,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,53.0,,,,27.0,,,,,,,,,,,,,7.0,122.0,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,63,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,7.0,,,,5.0,,,,,,,,,,,,,1.0,46.0,,,,,,,,,,,,,,,,2.0,,,
tr_imst-ud-test,1100,0,90,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,7.0,,,,,,,1.0,,1.0,,,,7.0,49.0,,,,,,,,,,,,,,,,1.0,,,
lv_cairo-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
bg_btb-ud-train,8907,0,654,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,280.0,,,,,,,,,368.0,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,
bg_btb-ud-test,1116,0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,3,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,15.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,43.0,2.0,,60.0,,,,,,,,,,1.0,,,2.0,,,,
tr_boun-ud-dev,979,0,60,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,8.0,47.0,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,48,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,,,,4.0,37.0,,,,,,,,,,,,,,,,2.0,,,
tr_boun-ud-train,7803,0,471,,2.0,,,,,,,1.0,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,35.0,,,,15.0,,,,,,,3.0,,,,,,51.0,347.0,,,,,,,,,,,2.0,1.0,,,,7.0,,,
tr_penn-ud-dev,622,0,198,,1.0,,4.0,,,,,3.0,,,1.0,3.0,,29.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,25.0,,,,,,,,,,,,,17.0,112.0,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,301,,1.0,,4.0,,,,,9.0,,,,9.0,,44.0,,,,6.0,,,,,,,,,,,,,,,4.0,,,1.0,,,,43.0,,,,,,,,,4.0,,,2.0,25.0,148.0,,,,,,,,,,,,,,,,1.0,,,
tr_penn-ud-train,14850,0,5408,,20.0,,75.0,,,,,129.0,5.0,,40.0,277.0,2.0,715.0,,,,105.0,,4.0,,,,,8.0,,,,,,,5.0,54.0,,,22.0,,2.0,,569.0,,,,,,,,,40.0,,,27.0,825.0,2398.0,,,,,,,,,,,,,,,,15.0,,71.0,
