Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:fin,advcl:manner,advcl:relcl,amod,appos,appos:trans,case,case:loc,ccomp,clf,compound,compound:lvc,compound:redup,conj,conj:expl,csubj,csubj:pass,dep,discourse,dislocated,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:cau,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:goal,obl:instr,obl:lmod,obl:manner,obl:smod,obl:soc,obl:source,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
qtd_sagt-ud-dev,801,0,269,,1.0,,,,1.0,,,,,,,,,1.0,,,3.0,,16.0,,,16.0,,,,,,1.0,,,,,,,,,4.0,,,,31.0,,,,,,,,,,,,,,,2.0,174.0,,,,,,,,,,,,,,,2.0,5.0,,,5.0,6.0,,1.0,,
qtd_sagt-ud-train,578,0,187,,,,,,1.0,,,,,,,,,,,,1.0,,5.0,,,6.0,,,,,,,,,,,,,,,5.0,,,,19.0,,,,,,,,,,,,,,,1.0,139.0,,,,,,,,,,,,,,,,3.0,,,4.0,2.0,,1.0,,
ga_cadhan-ud-test,193,0,68,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,,,,,2.0,,,,1.0,,,6.0,
pl_pud-ud-test,1000,0,73,,,,,,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,56.0,,,,2.0,,,,1.0,,,,,,,,,,,,8.0,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
orv_torot-ud-test,2955,0,585,,4.0,,,,1.0,,,2.0,,,,,36.0,,,,,,,,,75.0,,,,,,2.0,,1.0,,,,,,,,,,,65.0,,,,,,,,,69.0,,,1.0,,,2.0,159.0,,144.0,,,,,,,,,,,,,14.0,,,,,6.0,1.0,3.0,,
orv_torot-ud-dev,3061,0,613,,1.0,,,,1.0,,,3.0,,,,,34.0,,,,,,,,,71.0,,,,,,2.0,,,,,,,,,,,,,78.0,,,,,,,,,72.0,,,3.0,,,2.0,202.0,,124.0,,,,,,,,,,,,,12.0,,,,,7.0,,1.0,,
orv_torot-ud-train,20480,0,3738,,18.0,,,,18.0,,,12.0,,,,,186.0,,,,3.0,,,,,423.0,,2.0,,,,9.0,,1.0,,,,,,,,,,,450.0,,,,,,,,,439.0,,,19.0,,,12.0,1165.0,1.0,853.0,,,,,,,,,,,,,89.0,,,,,27.0,1.0,10.0,,
cs_cac-ud-dev,603,0,146,,,,,,,,,,,,,,7.0,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,22.0,,56.0,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,4917,,,,,6.0,8.0,,,,,,,,45.0,,,,1.0,,,,,635.0,,,,21.0,,,,,2.0,,,,,,,,,,990.0,,,,,,,,,,,,,,,,1005.0,,2142.0,,,,,,,,,,,,,22.0,2.0,,,,27.0,,11.0,,
cs_cac-ud-test,628,0,119,,,,,,,,,,,,,,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,32.0,,47.0,,,,,,,,,,,,,1.0,,,,,1.0,,,,
eu_bdt-ud-train,5396,0,393,,,,,,,,,,,,,,1.0,,,,,,,,,14.0,,,,1.0,,,,,1.0,,,,,,316.0,,,,13.0,,,,,,,,,2.0,,,,,,,45.0,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,144,,,,,,1.0,,,,,,,,2.0,,,,,,,,,9.0,,,,,,,,,,,,,,,110.0,,,,6.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
eu_bdt-ud-dev,1798,0,135,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,110.0,,,,7.0,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
eme_tudet-ud-test,913,0,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,3.0,,,,
pl_lfg-ud-test,1727,0,56,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,7.0,,,,,,43.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,317,,,,,,,,,,,,,,2.0,,,,,,,,,10.0,,,,,,,,,7.0,,,,,,260.0,,,,5.0,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,36,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,31.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,1315,,4.0,,,,71.0,,,,,,,21.0,,,9.0,,10.0,,68.0,,,13.0,,,,,,,,2.0,4.0,,,,,,,,,,402.0,,,,,,,,,13.0,,,,,,225.0,434.0,,,,,,,,,,,,,,,,3.0,,,,33.0,,3.0,,
tr_tourism-ud-dev,2166,0,170,,2.0,,,,47.0,,,,,,,,,,,,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,2.0,,,,,,32.0,61.0,,,,,,,,,,,,,,,,1.0,,,,3.0,,1.0,,
tr_tourism-ud-test,2191,0,196,,1.0,,,,42.0,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,11.0,,,,,,,,,2.0,,,,,,48.0,79.0,,,,,,,,,,,,,,,,,,,,7.0,,,,
cs_poetry-ud-test,297,0,64,,,,,,1.0,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,29.0,,23.0,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,141,,,,,,,,,,,,,,3.0,,,,,,,,,12.0,,,,1.0,,,,3.0,,,,,,,22.0,,,,21.0,,,,,,,,,,,,,,,3.0,69.0,,,,,,,,,,,,,,,2.0,4.0,,,,1.0,,,,
ru_gsd-ud-dev,579,0,129,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,25.0,,,,38.0,,,,,,,,,1.0,,,,,,1.0,59.0,,,,,,,,,,,,,,,1.0,,,,,,,,,
ru_gsd-ud-train,3850,0,1029,,,,,,,,,,,,,,17.0,,,,,,,,,83.0,,,,,,,,4.0,,1.0,1.0,,,,214.0,,,,277.0,,,,,,,,,4.0,,,,,1.0,13.0,395.0,,,,,,,,,,,,,,,5.0,7.0,,,,7.0,,,,
tr_imst-ud-train,3435,0,998,,18.0,,,,8.0,,,,,,,3.0,,,,,3.0,,46.0,,7.0,79.0,,1.0,,,,,,,16.0,,,,,,105.0,,,,85.0,,,,,,,3.0,,5.0,,,,,,70.0,499.0,,,,,,,,,,,,,,,,2.0,,,,46.0,,2.0,,
tr_imst-ud-dev,1100,0,307,,4.0,,,,1.0,,,,,,,2.0,,,,,,,16.0,1.0,1.0,18.0,,,,,,,,,8.0,,,,,,25.0,,,,30.0,,,,,,,4.0,,,,,,,,20.0,168.0,,,,,,,,,,,,,,,,,,,,9.0,,,,
tr_imst-ud-test,1100,0,276,,5.0,,,,2.0,,,,,,,3.0,,,,,3.0,,8.0,,,12.0,,1.0,,,,,,,2.0,,,,,,22.0,,,,22.0,,,,,,,4.0,,,,,,,,9.0,159.0,,,,,,,,,,,,,,,,1.0,,,,23.0,,,,
lv_cairo-ud-test,20,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-test,908,0,392,,,,,,,,,,,,,1.0,,,,,,,4.0,,,12.0,,,,,,,,1.0,5.0,,,,,,14.0,,,,299.0,,,,,,,,,6.0,,,,,,38.0,4.0,,,,,,,,,,,,,,,,2.0,,,,6.0,,,,
tr_boun-ud-dev,979,0,353,,4.0,,,,5.0,,,,,,,8.0,,,,,4.0,,3.0,,3.0,15.0,,,,1.0,,,,,2.0,,,,,,14.0,,,,9.0,,,,,,,3.0,,1.0,,,,,,24.0,239.0,,,,,,,,,,,,,,,,,,,,18.0,,,,
tr_boun-ud-test,979,0,374,,8.0,,,,7.0,,,,,,,10.0,,,,,3.0,,8.0,,4.0,15.0,,2.0,,,1.0,,,,2.0,,,,,,20.0,,,,9.0,,,,,,,6.0,,,,,,,,34.0,228.0,,,,,,,,,,,,,,,,,,,,17.0,,,,
tr_boun-ud-train,7803,0,2933,,36.0,,,,38.0,,,,,,,29.0,4.0,,5.0,,14.0,,49.0,,28.0,162.0,,11.0,,,1.0,,,,12.0,,,,,,118.0,,,,55.0,,,,,,,16.0,,10.0,,,,,,337.0,1868.0,,,,,,,,,,,,,,12.0,2.0,4.0,,,,120.0,1.0,1.0,,
tr_penn-ud-dev,622,0,191,,1.0,,,,4.0,,,,,,,3.0,,,1.0,,3.0,,29.0,,,,,,,,,,,,2.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,17.0,108.0,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,281,,,,,,4.0,,,,,,,8.0,,,,,9.0,,44.0,,,6.0,,,,,,,,,1.0,,,,,,1.0,,,,43.0,,,,,,,,,4.0,,,,2.0,,25.0,133.0,,,,,,,,,,,,,,,,,,,,1.0,,,,
tr_penn-ud-train,14850,0,5163,,20.0,,,,69.0,,,,,,,128.0,3.0,,40.0,,277.0,2.0,714.0,,,92.0,,4.0,,,8.0,,,5.0,19.0,,,,,,20.0,,1.0,,551.0,,,,,,,,,30.0,,,,27.0,,811.0,2256.0,,,,,,,,,,,,,,,,,,,,15.0,,71.0,,
