Treebank,Number of Sentences,Failures,iobj,case,obl,obj,expl,amod,det,conj,nmod,orphan,appos,root,flat:name,Total,advcl,parataxis,dislocated,mark,fixed,nummod,list,nsubj,ccomp,acl,compound:redup,csubj,xcomp,nmod:obl,nmod:att,compound:lvc,flat,compound,nmod:poss,cop,obl:arg,dep,expl:pv,reparandum,nsubj:pass,csubj:pass,obl:agent,det:poss,nmod:arg,amod:flat,det:nummod,parataxis:obj,obl:cmpr,acl:relcl,flat:foreign,flat:title,flat:abs,flat:repeat,advcl:ccomp,advcl:fin,obl:benef,acl:ptcp,acl:attr,nmod:appos,obl:goal,compound:name,advcl:caus,advcl:manner,obl:source,obl:tmod,acl:dpct,obl:soc,obl:manner,obl:lmod,obl:instr,xcomp:result,advcl:cond,discourse,nummod:gov,det:numgov,obl:float,aux:pass,obl:depict,advcl:abs,advcl:pred,obl:cmp,advcl:cmp,advmod,compound:prt,aux,vocative,nmod:tmod,clf,_,expl:poss,obl:pmod,expl:impers,expl:pass,nsubj:outer,nmod:npmod,case:loc,flat:range,advcl:tcl,orphan:missing,dislocated:obl,dislocated:nsubj,nmod:comp,xcomp:pred,iobj:agent,compound:svc,cc,parataxis:discourse,conj:expl,advcl:relcl,aux:caus,obl:smod,nsubj:nc,nmod:cau,ccomp:relcl,appos:trans,nmod:flat,nummod:entity
hy_armtdp-ud-test,277,0,9.0,,121.0,37.0,,,,34.0,4.0,3.0,2.0,7.0,,604,,3.0,,,,,,,,2.0,1.0,,,,,5.0,26.0,9.0,331.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,1.0,,,,,,,,,,,,,
mk_mtb-ud-test,155,0,24.0,,,,7.0,,2.0,,,,,,,35,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-test,540,0,31.0,647.0,650.0,90.0,,143.0,1.0,63.0,66.0,,,35.0,1.0,1886,13.0,,,1.0,8.0,25.0,,26.0,13.0,,,,15.0,,,,33.0,,1.0,2.0,,1.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-train,3960,0,228.0,5196.0,5013.0,665.0,1.0,921.0,8.0,434.0,596.0,,,286.0,5.0,14631,77.0,,,11.0,50.0,151.0,,217.0,49.0,,,1.0,163.0,,,,178.0,,6.0,14.0,,15.0,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-dev,500,0,24.0,711.0,673.0,88.0,,109.0,1.0,83.0,99.0,,,31.0,,1977,10.0,,,2.0,8.0,18.0,,43.0,9.0,,,,18.0,,,,10.0,,,3.0,,2.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-train,114,0,5.0,,35.0,14.0,,2.0,,6.0,,,,1.0,,82,,,,,,,,,10.0,,1.0,,,,,2.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ota_boun-ud-test,400,0,12.0,,144.0,45.0,,8.0,,17.0,2.0,,,1.0,,296,7.0,,1.0,,,,,2.0,27.0,4.0,3.0,,1.0,,,3.0,,5.0,12.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-train,69630,0,8966.0,,6391.0,,,3967.0,1472.0,1511.0,3511.0,94.0,247.0,160.0,219.0,29236,19.0,1522.0,,,566.0,103.0,,16.0,5.0,396.0,,2.0,28.0,,,,6.0,,,,,,,,1.0,,,,,,,,,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-dev,8906,0,1164.0,,799.0,,,476.0,168.0,228.0,471.0,15.0,41.0,17.0,48.0,3713,4.0,139.0,,,62.0,11.0,,2.0,,62.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_syntagrus-ud-test,8800,0,1236.0,,975.0,,,496.0,209.0,206.0,387.0,12.0,44.0,11.0,48.0,3932,3.0,165.0,,,67.0,17.0,,,1.0,42.0,,2.0,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-train,727,0,456.0,,260.0,15.0,,29.0,398.0,40.0,45.0,6.0,23.0,8.0,,1374,6.0,7.0,5.0,,,9.0,,10.0,12.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-dev,439,0,150.0,,107.0,9.0,,18.0,191.0,31.0,25.0,2.0,8.0,3.0,,591,2.0,3.0,2.0,,,11.0,,5.0,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grc_ptnk-ud-test,410,0,300.0,,103.0,17.0,,11.0,246.0,17.0,22.0,,14.0,3.0,,768,,1.0,8.0,,,3.0,,4.0,5.0,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sjo_xdt-ud-test,810,0,,361.0,46.0,,,,,,,,,,,416,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-dev,1172,0,21.0,,,,,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,19.0,,,,2.0,,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,177.0,,,4.0,4.0,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,136.0,,25.0,1.0,,3.0,19.0,33.0,53.0,11.0,21.0,73.0,7.0,397,,,,,,1.0,,2.0,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-dev,1062,0,185.0,,49.0,3.0,,9.0,28.0,46.0,61.0,7.0,33.0,60.0,7.0,509,,,1.0,,,1.0,,9.0,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-test,1007,0,224.0,,52.0,2.0,,19.0,38.0,60.0,82.0,15.0,45.0,75.0,18.0,643,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nl_lassysmall-ud-train,13817,0,,,,,,,,,,,,,,3,,,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_icepahc-ud-dev,4865,0,915.0,3.0,5899.0,1023.0,,1267.0,628.0,738.0,95.0,,93.0,146.0,37.0,12913,118.0,6.0,,1.0,2.0,23.0,,829.0,71.0,12.0,,,21.0,,,,,,778.0,2.0,,41.0,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,33.0,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
is_icepahc-ud-train,34007,0,4470.0,52.0,32628.0,5443.0,,6207.0,3242.0,3294.0,467.0,,788.0,1064.0,292.0,68401,601.0,41.0,,4.0,,231.0,,4186.0,368.0,58.0,,,109.0,,,,,,3758.0,34.0,,213.0,,,,,,,,,,,,365.0,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,268.0,,150.0,40.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,
is_icepahc-ud-test,5157,0,811.0,3.0,6663.0,886.0,,1579.0,1045.0,713.0,115.0,,126.0,229.0,32.0,14260,150.0,8.0,,,,58.0,,879.0,76.0,9.0,,,23.0,,,,,,626.0,5.0,,52.0,,,,,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,28.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_lit-ud-test,1920,0,,,545.0,4.0,,34.0,83.0,51.0,306.0,11.0,3.0,7.0,,1285,4.0,9.0,,,,,,1.0,3.0,2.0,,1.0,11.0,,,,,,,,199.0,,,,,,2.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ltg_cairo-ud-test,20,0,2.0,,4.0,,,,2.0,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,99.0,,56.0,,,21.0,10.0,8.0,10.0,2.0,4.0,8.0,7.0,232,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
ru_poetry-ud-dev,789,0,126.0,,52.0,,,19.0,15.0,8.0,19.0,4.0,1.0,11.0,2.0,268,,1.0,,,2.0,,,,,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
ru_poetry-ud-train,3569,0,464.0,,242.0,1.0,,116.0,29.0,57.0,37.0,6.0,8.0,26.0,13.0,1023,,1.0,,,3.0,1.0,,,,11.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
fo_farpahc-ud-test,301,0,60.0,,495.0,26.0,,62.0,43.0,36.0,7.0,,11.0,5.0,2.0,817,3.0,,,,,6.0,,10.0,4.0,,,,2.0,,,,,,26.0,,,12.0,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_farpahc-ud-train,1020,0,197.0,,940.0,84.0,,52.0,61.0,25.0,21.0,,7.0,23.0,3.0,1517,2.0,,,,,6.0,,15.0,5.0,,,,1.0,,,,,,62.0,,,6.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fo_farpahc-ud-dev,300,0,54.0,,523.0,21.0,,75.0,55.0,32.0,2.0,,11.0,3.0,,872,1.0,,,,,6.0,,17.0,1.0,1.0,,,1.0,,,,,,54.0,,,8.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-dev,394,0,12.0,,459.0,62.0,,108.0,42.0,27.0,6.0,,4.0,18.0,9.0,840,5.0,1.0,,,,6.0,,38.0,8.0,,,,2.0,,,,,,18.0,,,11.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-train,2703,0,125.0,,3274.0,444.0,,647.0,414.0,217.0,27.0,,20.0,157.0,29.0,5980,37.0,8.0,,,,48.0,,228.0,53.0,4.0,,,6.0,,,,,,141.0,,,35.0,,,,,,,,,,,,41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_modern-ud-test,438,0,26.0,,595.0,62.0,,131.0,50.0,29.0,3.0,,4.0,21.0,4.0,1014,1.0,2.0,,,,11.0,,25.0,3.0,1.0,,,,,,,,,35.0,,,4.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wbp_ufal-ud-test,55,0,8.0,,,5.0,,,,,,,,,,18,1.0,,,,,,,3.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-train,34,0,,,5.0,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,,,7.0,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,,82.0,136.0,,,16.0,20.0,10.0,7.0,,,6.0,,578,1.0,,,,1.0,2.0,,,4.0,,,,,,,,,,,,196.0,4.0,80.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,,680.0,1157.0,,,178.0,161.0,66.0,74.0,5.0,15.0,49.0,,4908,13.0,,,,13.0,14.0,,1.0,9.0,,,2.0,4.0,,,,18.0,,,,1782.0,10.0,564.0,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,89.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-test,1291,0,,75.0,149.0,,,26.0,13.0,11.0,7.0,,,5.0,,634,1.0,,,,2.0,,,,,,,,,,,,,,,,263.0,4.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,,,134.0,2.0,,35.0,41.0,17.0,16.0,17.0,1.0,,,495,4.0,,,,,1.0,,2.0,,8.0,,4.0,,,,,2.0,,,,202.0,,,,1.0,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-test,419,0,,,21.0,,,15.0,21.0,4.0,2.0,7.0,,1.0,,169,3.0,,,,,,,,,4.0,,,,,,,,,,,85.0,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_udante-ud-dev,376,0,,,63.0,,,29.0,19.0,25.0,,5.0,7.0,,,254,4.0,,,,,,,,,7.0,,,1.0,,,,10.0,,,,75.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
hyw_armtdp-ud-test,680,0,38.0,,444.0,107.0,,,,118.0,1.0,5.0,11.0,9.0,16.0,1519,17.0,11.0,1.0,,4.0,,,11.0,2.0,4.0,3.0,,13.0,,,13.0,13.0,4.0,598.0,,,20.0,,,,,9.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,42.0,,,,,,,,,,1.0,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,49.0,,452.0,93.0,,,,96.0,6.0,3.0,12.0,6.0,10.0,1498,16.0,3.0,2.0,,1.0,,,12.0,,2.0,1.0,1.0,21.0,,,10.0,3.0,2.0,626.0,,,23.0,,,,,3.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,38.0,2.0,,,,,,,,,,,,,1.0,,,,,,,,
hyw_armtdp-ud-train,5282,0,299.0,,2976.0,781.0,1.0,1.0,,806.0,21.0,12.0,88.0,67.0,237.0,11074,94.0,58.0,6.0,,25.0,,,65.0,8.0,23.0,14.0,1.0,147.0,,,72.0,23.0,34.0,4544.0,,,244.0,,,6.0,,60.0,7.0,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,3.0,,,,,,,,,,321.0,4.0,,,,,,,,7.0,4.0,,,,2.0,1.0,,,,,,,
ro_rrt-ud-test,729,0,105.0,7.0,49.0,1.0,11.0,61.0,117.0,41.0,488.0,,1.0,,,940,,,,,4.0,,,1.0,,,,,,,,,6.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,38.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,1095.0,100.0,485.0,32.0,117.0,896.0,1339.0,425.0,5654.0,2.0,11.0,11.0,,10927,3.0,1.0,,,29.0,43.0,,9.0,3.0,3.0,,1.0,1.0,,,,40.0,,,,,1.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,521.0,17.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-dev,752,0,121.0,8.0,46.0,1.0,14.0,101.0,102.0,51.0,540.0,,1.0,1.0,,1059,,,,,3.0,2.0,,1.0,,,,,,,,,8.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,45.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-test,456,0,,,2.0,,,1.0,,,2.0,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,,,10.0,,,4.0,2.0,,15.0,,,1.0,,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-dev,403,0,,,2.0,,,1.0,1.0,,2.0,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,108.0,12.0,1.0,,,,,,,,,,,129,,,,,1.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,,,,70.0,,,,,,,,,,102,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,,,,41.0,,,,,,,,,,55,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,,,1.0,345.0,,,,,,,,,,524,,,,,,,,,,,,,,,,,,,,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,,,312.0,5.0,,39.0,,20.0,124.0,,,1.0,4.0,583,,1.0,,,4.0,,,2.0,2.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,,,,,,,,1.0,,,,,,
gd_arcosg-ud-train,3541,0,,2.0,2238.0,19.0,,319.0,,213.0,729.0,2.0,2.0,34.0,,4147,3.0,5.0,,,10.0,,,10.0,9.0,,,,1.0,,,,,,,,,2.0,,6.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,538.0,,,,,,,,1.0,,,,,,
gd_arcosg-ud-dev,655,0,,,355.0,7.0,,44.0,,29.0,138.0,,,6.0,,663,,2.0,,,,,,3.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,,,,,
got_proiel-ud-dev,985,0,,,524.0,1.0,,42.0,206.0,74.0,57.0,24.0,26.0,16.0,7.0,1435,26.0,,3.0,,,6.0,,17.0,1.0,6.0,,,53.0,,,,,,,,320.0,,3.0,,2.0,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got_proiel-ud-train,3387,0,,,1966.0,14.0,,164.0,673.0,276.0,216.0,100.0,97.0,34.0,35.0,4907,86.0,3.0,12.0,,,28.0,,53.0,2.0,25.0,,,158.0,,,,,,,,851.0,1.0,7.0,,5.0,,43.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
got_proiel-ud-test,1029,0,,,573.0,5.0,,31.0,211.0,55.0,40.0,21.0,10.0,8.0,8.0,1340,25.0,,2.0,,,4.0,,17.0,1.0,9.0,,,29.0,,,,,,,,273.0,,2.0,,1.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-train,4558,0,174.0,38.0,38.0,375.0,64.0,29.0,33.0,18.0,22.0,11.0,5.0,10.0,1.0,853,1.0,3.0,,3.0,6.0,4.0,,3.0,1.0,,,1.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
sl_sst-ud-test,1041,0,31.0,14.0,12.0,58.0,9.0,13.0,1.0,3.0,7.0,2.0,1.0,2.0,1.0,156,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sl_sst-ud-dev,505,0,30.0,17.0,8.0,61.0,20.0,12.0,10.0,17.0,15.0,4.0,,,,198,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-train,13814,0,,2.0,9866.0,141.0,,4631.0,12054.0,2373.0,8271.0,4.0,1557.0,86.0,,43935,3.0,,,,,17.0,,69.0,1.0,15.0,,,115.0,,,,2133.0,332.0,,,1096.0,18.0,4.0,,28.0,1.0,448.0,647.0,,,,,,1.0,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,9.0,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
de_gsd-ud-dev,799,0,,1.0,422.0,4.0,,168.0,425.0,56.0,239.0,,8.0,2.0,,1521,,,,,2.0,3.0,,3.0,1.0,,,,,,,,27.0,43.0,,,69.0,3.0,,,,,13.0,30.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,,3.0,591.0,6.0,,236.0,655.0,100.0,417.0,,10.0,7.0,,2261,,,,,1.0,1.0,,1.0,,,,,,,,,44.0,39.0,,,83.0,9.0,,,,,11.0,44.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ka_glc-ud-test,151,0,22.0,107.0,5.0,79.0,,68.0,,8.0,22.0,,,,1.0,344,,,,,,4.0,,17.0,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,,8.0,9.0,7.0,,,,,,,,,,26,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,234.0,,26.0,137.0,157.0,3.0,81.0,1.0,46.0,1.0,1.0,,,715,1.0,,,,,,,16.0,1.0,2.0,,,1.0,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,3.0,,227.0,15.0,,1.0,,27.0,92.0,5.0,,2.0,,447,45.0,,,,,1.0,,1.0,14.0,2.0,,1.0,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
