Treebank,Number of Sentences,Failures,case,amod,obl,conj,nmod,det,appos,orphan,nummod,advcl,parataxis,root,fixed,flat:name,Total,flat,discourse,advmod,list,nsubj,ccomp,dep,iobj,xcomp,cc,acl,csubj,compound:redup,compound,csubj:outer,nmod:poss,compound:lvc,obj,cop,clf,obl:arg,nmod:arg,det:nummod,amod:flat,det:poss,parataxis:insert,parataxis:obj,obl:cmpr,nmod:flat,nummod:gov,ccomp:obj,xcomp:pred,acl:relcl,advcl:cmpr,flat:foreign,advcl:relcl,parataxis:discourse,flat:title,advcl:pred,dislocated,flat:abs,flat:sibl,vocative:cl,mark,flat:range,advmod:det,_,acl:adv,advcl:ccomp,obl:lmod,obl:goal,obl:tmod,advcl:cond,advcl:tcl,obl:soc,obl:benef,obl:manner,acl:ptcp,advcl:manner,nmod:appos,acl:dpct,advcl:fin,acl:attr,advcl:concess,advcl:caus,obl:agent,obl:instr,acl:crel,obl:grad,xcomp:result,obl:source,det:numgov,expl,vocative,advmod:lmod,nmod:tmod,reparandum,dep:infl,obl:subj,advcl:cmp,nsubj:outer,nmod:npmod,case:loc,advmod:tmod,aux:neg,xcomp:ds,compound:svc,nmod:lmod,nmod:part,csubj:cop,nsubj:pass,obl:depict,expl:pass,parataxis:restart,obl:own,aux,csubj:pass,parataxis:trans,nummod:entity,dep:comp,dep:conj
lzh_kyoto-ud-test,5528,0,,,24.0,117.0,624.0,,,,,1.0,4.0,35.0,,,2479,31.0,,,2.0,379.0,1.0,,6.0,1.0,,4.0,,3.0,230.0,,,,711.0,,1.0,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,,234.0,1190.0,96.0,201.0,125.0,11.0,19.0,25.0,1.0,3.0,11.0,,,1950,,2.0,,,1.0,4.0,13.0,4.0,,,8.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-train,14358,0,,1458.0,8248.0,489.0,1408.0,881.0,78.0,110.0,133.0,2.0,23.0,61.0,1.0,4.0,13159,,57.0,,,2.0,17.0,77.0,32.0,3.0,,48.0,2.0,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
lv_lvtb-ud-dev,2080,0,,176.0,1068.0,81.0,207.0,119.0,24.0,25.0,16.0,2.0,3.0,9.0,,,1765,1.0,10.0,,,,,10.0,1.0,,,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-train,400,0,,,289.0,1.0,16.0,,,,5.0,7.0,,,,,321,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,,,47.0,,,,,,,1.0,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,,,72.0,4.0,,,,,,3.0,,,,,81,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,,4.0,14.0,1.0,1.0,,,,,,,,,,21,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,,168.0,528.0,31.0,191.0,53.0,8.0,5.0,9.0,,3.0,7.0,35.0,5.0,1057,3.0,,,,,,,,,,9.0,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,,,,,,,,,,,,5.0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-test,2101,0,,,,,,,,,,1.0,,4.0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
la_ittb-ud-train,22775,0,,,,,,,,,,,,116.0,,,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,1.0,,142.0,10.0,10.0,,,,,5.0,4.0,7.0,,,191,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,
qtd_sagt-ud-dev,801,0,,,147.0,2.0,22.0,,,,2.0,5.0,,3.0,,,188,,,1.0,,,2.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,,,135.0,4.0,6.0,,,,1.0,1.0,,3.0,,,159,2.0,,,,,1.0,,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,,179.0,407.0,42.0,179.0,33.0,2.0,1.0,8.0,2.0,,3.0,75.0,,1213,15.0,,,,,,,1.0,,,22.0,,,,,,,,,,84.0,27.0,5.0,104.0,11.0,,,7.0,4.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,,79.0,472.0,52.0,35.0,106.0,43.0,28.0,4.0,14.0,1.0,30.0,4.0,3.0,926,,,12.0,,1.0,2.0,,,10.0,,20.0,,,,,,,2.0,,,5.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-dev,3061,0,,113.0,447.0,65.0,31.0,94.0,39.0,26.0,7.0,11.0,1.0,30.0,5.0,4.0,910,,,8.0,,1.0,1.0,,,9.0,,6.0,1.0,,,,,,1.0,1.0,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
orv_torot-ud-train,20480,0,,806.0,3425.0,572.0,309.0,690.0,313.0,203.0,68.0,87.0,1.0,234.0,44.0,33.0,7159,,,35.0,,5.0,13.0,,,62.0,,102.0,2.0,,,,,,14.0,1.0,,108.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,440.0,147.0,174.0,68.0,153.0,27.0,5.0,2.0,4.0,,,8.0,27.0,,1075,,,,,,,4.0,,2.0,,,,,,,,,,,,13.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,18787.0,6743.0,9246.0,2085.0,5142.0,1416.0,151.0,114.0,232.0,48.0,5.0,342.0,924.0,,46665,15.0,,,,1.0,27.0,218.0,,49.0,,17.0,14.0,,,,,,,,,951.0,,69.0,,,,,,,1.0,,,52.0,,10.0,,,,,,,,,4.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-test,628,0,407.0,169.0,233.0,54.0,87.0,25.0,3.0,4.0,2.0,3.0,1.0,3.0,15.0,,1042,,,,,,,7.0,,4.0,,,,,,,,,,,,21.0,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,187.0,38.0,45.0,62.0,1945.0,35.0,,,,674.0,,6.0,5.0,,3148,71.0,,7.0,,13.0,,28.0,,4.0,,2.0,,,2.0,,,,8.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
eu_bdt-ud-test,1799,0,75.0,11.0,15.0,18.0,611.0,14.0,,1.0,,237.0,,2.0,3.0,,1024,19.0,,2.0,,,,8.0,,1.0,,3.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,47.0,15.0,20.0,18.0,637.0,14.0,,1.0,,183.0,,,1.0,,977,20.0,,2.0,,3.0,,8.0,,,,1.0,,,,,,,3.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
am_att-ud-test,1074,0,8.0,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,,,57.0,,3.0,,,,,,1.0,3.0,,,66,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-test,1727,0,,77.0,303.0,10.0,63.0,29.0,,,5.0,1.0,,7.0,,,502,1.0,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,,727.0,2610.0,141.0,509.0,318.0,8.0,,42.0,2.0,,64.0,,,4504,18.0,,,,,5.0,,,3.0,,55.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,,76.0,307.0,10.0,50.0,37.0,,,3.0,,,9.0,,,497,,,,,,,,,1.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,4.0,16.0,266.0,11.0,220.0,,,,,27.0,7.0,28.0,,,609,3.0,3.0,,,4.0,,2.0,,3.0,,2.0,,,4.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-dev,2166,0,4.0,2.0,70.0,5.0,14.0,,,,,6.0,,4.0,,,106,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,1.0,4.0,50.0,3.0,25.0,,,,1.0,3.0,3.0,6.0,,,101,,,,,,,,,,,1.0,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ab_abnc-ud-test,263,0,,,1.0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,199.0,57.0,154.0,22.0,17.0,12.0,5.0,4.0,1.0,,,1.0,,,483,1.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,,191.0,364.0,44.0,102.0,29.0,7.0,4.0,11.0,,5.0,6.0,16.0,1.0,789,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,,164.0,346.0,43.0,127.0,18.0,4.0,4.0,9.0,,1.0,4.0,9.0,1.0,736,,,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ru_gsd-ud-train,3850,0,,1219.0,2236.0,245.0,907.0,81.0,70.0,27.0,70.0,,16.0,15.0,52.0,16.0,5017,,,,8.0,1.0,,,,,,43.0,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,
aqz_tudet-ud-test,343,0,1.0,,2.0,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,1.0,83.0,680.0,54.0,165.0,,1.0,,23.0,27.0,,36.0,,,1192,24.0,1.0,8.0,,7.0,4.0,,3.0,,,17.0,,1.0,37.0,,5.0,3.0,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-dev,1100,0,,39.0,181.0,16.0,47.0,,,,3.0,3.0,,15.0,,,337,10.0,,2.0,,2.0,2.0,,,,,3.0,,,10.0,,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,,23.0,153.0,10.0,34.0,,,,1.0,3.0,,7.0,,,259,4.0,,1.0,,1.0,4.0,,,,,5.0,,,9.0,,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_cairo-ud-test,20,0,,1.0,2.0,,,,1.0,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,,,1.0,,1.0,,1.0,,,,,,,,4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,9.0,,,,,,,,,,,,,,66,,1.0,,,,,3.0,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0
tr_boun-ud-dev,979,0,1.0,27.0,362.0,24.0,3.0,,1.0,,3.0,21.0,1.0,19.0,,,497,7.0,,1.0,,1.0,2.0,,,1.0,,6.0,,,9.0,,2.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,2.0,38.0,398.0,17.0,9.0,,1.0,,9.0,12.0,,23.0,,,545,10.0,1.0,,,,2.0,,,,,7.0,,,8.0,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,6.0,83.0,2927.0,190.0,45.0,,2.0,2.0,37.0,112.0,3.0,140.0,,,3874,52.0,15.0,,9.0,4.0,14.0,,,2.0,,20.0,5.0,6.0,41.0,,14.0,11.0,23.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-dev,622,0,6.0,2.0,145.0,6.0,38.0,,,,,6.0,1.0,2.0,,,218,1.0,,,2.0,,,,,1.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,4.0,8.0,161.0,6.0,70.0,,,,2.0,19.0,1.0,10.0,,,304,9.0,3.0,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,94.0,157.0,2853.0,79.0,1215.0,,4.0,,16.0,110.0,10.0,168.0,17.0,,5148,69.0,37.0,,10.0,9.0,10.0,,,23.0,,3.0,,,217.0,,,,45.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
