Treebank,Number of Sentences,Failures,case,amod,obl,nmod,det,conj,nummod,orphan,parataxis,mark,fixed,appos,root,flat:name,discourse,Total,advcl,xcomp,list,cc,obj,compound,csubj,acl,obl:agent,ccomp,nmod:obl,obl:lvc,advmod:mode,ccomp:pred,cop,nmod:poss,compound:lvc,flat,iobj,obl:arg,det:poss,xcomp:pred,nmod:arg,xcomp:cleft,obl:cmpr,acl:relcl,parataxis:obj,parataxis:insert,ccomp:obj,amod:flat,nmod:pred,det:nummod,advmod:emph,nmod:flat,nsubj:pass,ccomp:cleft,advcl:cmpr,csubj:pass,nummod:gov,nsubj,advcl:relcl,parataxis:discourse,parataxis:rel,flat:title,advmod:det,flat:abs,flat:sibl,advcl:pred,_,flat:range,advmod,obl:instr,nmod:appos,obl:manner,obl:soc,advcl:ccomp,acl:attr,obl:path,acl:ptcp,obl:tmod,obl:source,obl:grad,advcl:manner,acl:dpct,advcl:cond,advcl:concess,obl:lmod,advcl:fin,advcl:tcl,advcl:caus,compound:name,vocative,obl:benef,obl:goal,obl:float,obl:depict,dislocated,dep,reparandum,advcl:cmp,case:loc,nmod:npmod,compound:redup,aux,nmod:gobj,nmod:gsubj,advmod:lmod,advmod:mmod,advmod:tmod,flat:foreign,aux:caus,obl:inst
ab_abnc-ud-test,263,0,,,6.0,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,84.0,49.0,125.0,19.0,15.0,26.0,1.0,4.0,1.0,,,,4.0,,,357,1.0,,,,,,,,6.0,,,,,,,,,,,14.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,
ru_gsd-ud-test,601,0,,84.0,76.0,47.0,12.0,30.0,1.0,2.0,2.0,1.0,6.0,7.0,9.0,7.0,,421,,65.0,,,13.0,,,14.0,12.0,2.0,,,,,,,,,27.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ru_gsd-ud-dev,579,0,1.0,99.0,50.0,62.0,6.0,39.0,6.0,1.0,1.0,,,13.0,6.0,10.0,,444,1.0,34.0,,,35.0,,,7.0,37.0,2.0,,,,,,,,,29.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
ru_gsd-ud-train,3850,0,2.0,636.0,395.0,465.0,41.0,253.0,41.0,10.0,13.0,,3.0,62.0,60.0,59.0,,3000,5.0,248.0,,,214.0,1.0,,95.0,202.0,4.0,,,,,1.0,,,,163.0,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
tr_imst-ud-train,3435,0,3.0,25.0,212.0,87.0,,43.0,,,,,,1.0,4.0,,1.0,452,4.0,,,,28.0,9.0,,1.0,,,,,,,,4.0,2.0,7.0,1.0,,,,,,,,,,,,,,1.0,,,,,,,14.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
tr_imst-ud-dev,1100,0,3.0,2.0,75.0,33.0,,5.0,,,,,,,,,,142,1.0,,,2.0,9.0,5.0,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
tr_imst-ud-test,1100,0,,7.0,64.0,19.0,,10.0,,,,,,,,,,125,1.0,,,,6.0,1.0,,,,,,,,,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,,2.0,117.0,6.0,,19.0,,1.0,,,,,1.0,,1.0,164,1.0,,,,8.0,2.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-test,979,0,,,91.0,6.0,,12.0,,,,,,,5.0,,,134,,,,,12.0,,,,,1.0,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_boun-ud-train,7803,0,2.0,8.0,848.0,52.0,,83.0,,,,,,1.0,15.0,,1.0,1202,8.0,1.0,,,105.0,9.0,,,,5.0,,,,,3.0,18.0,5.0,18.0,4.0,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
tr_penn-ud-dev,622,0,,,25.0,15.0,,4.0,,,,,,,,,,47,1.0,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,,2.0,11.0,17.0,,4.0,,,,,,,,,,38,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,15.0,9.0,481.0,220.0,,27.0,,,,,3.0,4.0,7.0,,5.0,859,11.0,4.0,5.0,,56.0,7.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
