Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:attr,acl:crel,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cmpr,advcl:concess,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,advmod:det,advmod:lmod,advmod:tmod,amod,amod:flat,appos,aux,aux:neg,case,case:loc,cc,ccomp,ccomp:obj,clf,compound,compound:lvc,compound:redup,compound:svc,conj,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,dep:comp,dep:conj,dep:infl,det,det:numgov,det:nummod,det:poss,discourse,dislocated,expl,expl:pass,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:flat,nmod:lmod,nmod:npmod,nmod:part,nmod:poss,nmod:tmod,nsubj,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmpr,obl:depict,obl:goal,obl:grad,obl:instr,obl:lmod,obl:manner,obl:own,obl:soc,obl:source,obl:subj,obl:tmod,orphan,parataxis,parataxis:discourse,parataxis:insert,parataxis:obj,parataxis:restart,parataxis:trans,reparandum,root,vocative,vocative:cl,xcomp,xcomp:ds,xcomp:pred,xcomp:result
lzh_kyoto-ud-test,5528,0,2479,,4.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,230.0,,3.0,,117.0,,,,,,,,,,,,,,,3.0,,,,31.0,,,,,,,6.0,2.0,,624.0,,,,,,,,,379.0,5.0,,,,,711.0,24.0,,,,,,,,,297.0,,,,,,,,4.0,,,,,,,35.0,,,1.0,,,
lv_lvtb-ud-test,2412,0,1950,,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,234.0,,11.0,,,,,,4.0,,,2.0,,,,96.0,,,,,,13.0,,,,125.0,,,,2.0,,,,,,,,,,,,4.0,,,201.0,,,,,,,,,1.0,,,25.0,,,,1190.0,,,,,,,,,,,,,,,,19.0,3.0,,,,,,,11.0,,,,,,
lv_lvtb-ud-train,14358,0,13159,,48.0,,,,,,,2.0,,,,,,,,,,,,,,,,1458.0,,78.0,,,,,,17.0,,,24.0,,,,489.0,,2.0,,,1.0,77.0,,,,881.0,,,,57.0,,,,1.0,,,,4.0,,,,32.0,,,1408.0,,,,,,,,,2.0,,,133.0,,,,8248.0,,,,,,,,,,,,,,,,110.0,23.0,,,,,,,61.0,,,3.0,,,
lv_lvtb-ud-dev,2080,0,1765,,12.0,,,,,,,2.0,,,,,,,,,,,,,,,,176.0,,24.0,,,,,,,,,1.0,,,,81.0,,,,,,10.0,,,,119.0,,,,10.0,,,,,1.0,,,,,,,1.0,,,207.0,,,,,,,,,,,,16.0,,,,1068.0,,,,,,,,,,,,,,,,25.0,3.0,,,,,,,9.0,,,,,,
ta_ttb-ud-train,400,0,321,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,16.0,,,,,,,,,,,,5.0,,,1.0,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,48,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,81,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,72.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,21,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,1057,,9.0,,,,,,,,,,,,,,,,,,,,,,,168.0,,8.0,,,,,,,,,,,,,31.0,,,,,,,,,,53.0,,,,,,,,35.0,3.0,,,5.0,,,,,,,191.0,,,,,,,,,,,,9.0,,1.0,1.0,528.0,,,,,,,,,,,,,,,,5.0,3.0,,,,,,,7.0,,,,,,
la_ittb-ud-dev,2101,0,6,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
la_ittb-ud-test,2101,0,6,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
la_ittb-ud-train,22775,0,163,,,,,,,,,,,,,,,,,,,,,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.0,,,,,,
qtd_sagt-ud-test,805,0,191,,2.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,10.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,10.0,,,,,,,,,,,,,,,,142.0,,,,,,,,,,,,,,,,,4.0,1.0,,,,2.0,2.0,7.0,,,,,,
qtd_sagt-ud-dev,801,0,188,,,,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,2.0,,,,147.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,
qtd_sagt-ud-train,578,0,159,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,4.0,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,6.0,,,,,,,,,,,,1.0,,,,135.0,,,,,,,,,,,,,,,,,,,,,,,2.0,3.0,,,2.0,,,
pl_pud-ud-test,1000,0,1213,,22.0,,,,,,1.0,2.0,,,,,,,,,,,,,,,,179.0,104.0,2.0,,,,,,,,,,,,,42.0,,,,,,,,,,33.0,,5.0,11.0,,,,,75.0,15.0,,1.0,,,,,1.0,,,179.0,,27.0,4.0,,,,,,,,,8.0,,,,407.0,,84.0,,7.0,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,
orv_torot-ud-test,2955,0,926,,20.0,,,,,,,14.0,,,,,,,,,,,,12.0,,,,79.0,,43.0,,,,,,2.0,,,,,,,52.0,,,,,,,,,,106.0,,,,,3.0,,,4.0,,,,3.0,,,,,,,35.0,,,,,,,,,1.0,,,4.0,,,2.0,472.0,,5.0,,,,,,,,,,,,,,28.0,1.0,,,,,,,30.0,,,10.0,,,
orv_torot-ud-dev,3061,0,910,,6.0,,,,,,,11.0,,,1.0,,,,,,,,,8.0,,,,113.0,,39.0,,,,,,1.0,,,,,,,65.0,1.0,1.0,,,,,,,,94.0,,,,,1.0,,,5.0,,,,4.0,,,,,,,31.0,,,,,,,,,1.0,,,7.0,,,1.0,447.0,,7.0,,,,,,,,,,,,,,26.0,1.0,,,,,,,30.0,,,9.0,,,
orv_torot-ud-train,20480,0,7159,,102.0,,,,,,,87.0,,,16.0,,,,,,,,,35.0,,,,806.0,,313.0,,,,,,13.0,,,,,,,572.0,1.0,2.0,,,,,,,,690.0,,,,,16.0,,,44.0,,,,33.0,,,,,,,309.0,,,,,,,,,5.0,,,68.0,,,14.0,3425.0,,108.0,,,,,,,,,,,,,,203.0,1.0,,,,,,,234.0,,,62.0,,,
cs_cac-ud-dev,603,0,1075,,,,,,,,,,,,,,,,,,,,,,,,,147.0,,5.0,,,440.0,,,,,,,,,,68.0,,,,,,4.0,,,,27.0,,1.0,,,,,,27.0,,,,,,,,,,,153.0,,,,,,,,,,,,4.0,,,,174.0,,13.0,,,,,,,,,,,,,,2.0,,,,,,,,8.0,,,2.0,,,
cs_cac-ud-train,23478,0,46665,2.0,17.0,,,,,,52.0,48.0,,,,,,,,,,,,,,,,6743.0,,151.0,,,18787.0,,,27.0,,,,,,,2085.0,,14.0,,,,218.0,,,,1416.0,,69.0,,,,,,924.0,15.0,,10.0,,,,,,,4.0,5142.0,,,,,,,,,1.0,,,232.0,,1.0,,9246.0,,951.0,,,,,,,,,,,,,,114.0,5.0,,,,,,,342.0,,,49.0,,,
cs_cac-ud-test,628,0,1042,,,,,,,,,3.0,,,,,,,,,,,,,,,,169.0,,3.0,,,407.0,,,,,,,,,,54.0,,,,,,7.0,,,,25.0,,2.0,,,,,,15.0,,,2.0,,,,,,,,87.0,,,,,,,,,,,,2.0,,,,233.0,,21.0,,,,,,,,,,,,,,4.0,1.0,,,,,,,3.0,,,4.0,,,
eu_bdt-ud-train,5396,0,3148,,2.0,,,,,,,674.0,,,,,,,,,,,,7.0,,,,38.0,,,5.0,,187.0,,,,,,2.0,,,,62.0,11.0,,,,,28.0,,,,35.0,,,,,,,,5.0,71.0,,,,,,,,,,1945.0,,,,,,,,,13.0,,,,,,8.0,45.0,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,4.0,,,
eu_bdt-ud-test,1799,0,1024,,3.0,,,,,,,237.0,,,,,,,,,,,,2.0,,,,11.0,,,,,75.0,,,,,,,,,,18.0,4.0,,,,,8.0,,,,14.0,,,,,,,,3.0,19.0,,,,,,,,,,611.0,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,,
eu_bdt-ud-dev,1798,0,977,,1.0,,,,,,,183.0,,,,,,,,,,,,2.0,,,,15.0,,,2.0,,47.0,,,,,,,,,,18.0,2.0,,,,,8.0,,,,14.0,,,,,,,,1.0,20.0,,,,,,,,,,637.0,,,,,,,,,3.0,,,,,,3.0,20.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
am_att-ud-test,1074,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,1.0,,,,,,,3.0,,,,,,
pl_lfg-ud-test,1727,0,502,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,77.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,29.0,,,,,,,,,1.0,,,,,,,,,,63.0,,,,,,,,,,,,5.0,,,,303.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
pl_lfg-ud-train,13774,0,4504,,55.0,,,,,,,2.0,,,,,,,,,,,,,,,,727.0,,8.0,,,,,,5.0,1.0,,,,,,141.0,,1.0,,,,,,,,318.0,,,,,,,,,18.0,,,,,,,,,,509.0,,,,,,,,,,,,42.0,,,,2610.0,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,3.0,,,
pl_lfg-ud-dev,1745,0,497,,4.0,,,,,,,,,,,,,,,,,,,,,,,76.0,,,,,,,,,,,,,,,10.0,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,50.0,,,,,,,,,,,,3.0,,,,307.0,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,,,
tr_tourism-ud-train,15473,0,609,,2.0,,,,,,,27.0,,,,,,,,,,,,,,,,16.0,,,,,4.0,,,,,,4.0,,,,11.0,,,,,,2.0,,,,,,,,3.0,,,,,3.0,,,,,,,,,,220.0,,,,,,,,,4.0,,,,,,9.0,266.0,,,,,,,,,,,,,,,,,7.0,,,,,,,28.0,,,3.0,,,
tr_tourism-ud-dev,2166,0,106,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,,,,,4.0,,,,,,1.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
tr_tourism-ud-test,2191,0,101,,1.0,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,1.0,,,3.0,50.0,,,,,,,,,,,,,,,,,3.0,,,,,,,6.0,,,,,,
ab_abnc-ud-test,263,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,483,,,,,,,,,,,,,,,,,,,,,,,,,57.0,,5.0,,,199.0,,,,,,,,,,22.0,,,,,,,,,,12.0,,,,,,,,,1.0,,,,,,,,,,17.0,,,,,,,,,,,,1.0,,,,154.0,,10.0,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,
ru_gsd-ud-test,601,0,789,,5.0,,,,,,2.0,,,,,,,,,,,,,,,,,191.0,,7.0,,,,,,,,,,,,,44.0,,,,,,,,,,29.0,,,,,,,,16.0,,,2.0,1.0,,,,,,,102.0,,,,,,,,,,,,11.0,,,,364.0,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,6.0,,,,,,
ru_gsd-ud-dev,579,0,736,,3.0,,,,,,,,,,,,,,,,,,,,,,,164.0,,4.0,,,,,,,,,,,,,43.0,,,,,,,,,,18.0,,,,,,,,9.0,,,1.0,1.0,,,,,1.0,,127.0,,,,,,,,,,,,9.0,1.0,,,346.0,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,4.0,,,,,,
ru_gsd-ud-train,3850,0,5017,,43.0,,,,,,1.0,,,,,,,,,,,,,,,,,1219.0,,70.0,,,,,,,,,1.0,,,,245.0,,,,,,,,,,81.0,,,,,,,,52.0,,,7.0,16.0,,,,,8.0,,907.0,,,,,,,,,1.0,,1.0,70.0,1.0,,,2236.0,,,,,,,,,,,,,,,,27.0,16.0,,,,,,,15.0,,,,,,
aqz_tudet-ud-test,343,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,1192,,17.0,,,,,,,27.0,,,,,,,,,,,,8.0,,,,83.0,,1.0,,,1.0,,,4.0,,,37.0,3.0,1.0,,54.0,,,,,,,,,,,,,,1.0,,,,,24.0,,,,,,,3.0,,,165.0,,,,,,,5.0,,7.0,1.0,,23.0,,,11.0,680.0,,,,,,,,,,,,,,,,,,,,,,,,36.0,,,,,,
tr_imst-ud-dev,1100,0,337,,3.0,,,,,,,3.0,,,,,,,,,,,,2.0,,,,39.0,,,,,,,,2.0,,,10.0,,,,16.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,47.0,,,,,,,1.0,,2.0,,,3.0,,,3.0,181.0,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,
tr_imst-ud-test,1100,0,259,,5.0,,,,,,,3.0,,,,,,,,,,,,1.0,,,,23.0,,,,,,,,4.0,,,9.0,1.0,,,10.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,34.0,,,,,,,1.0,,1.0,,,1.0,,,2.0,153.0,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,
lv_cairo-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gu_gujtb-ud-test,187,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,3.0,3.0,1.0,,,,,,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
tr_boun-ud-dev,979,0,497,,6.0,,,,,,,21.0,,,,,,,,,,,,1.0,,,,27.0,,1.0,,,1.0,,,2.0,,,9.0,1.0,,,24.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,3.0,,,,,,,2.0,,1.0,,,3.0,,,2.0,362.0,,,,,,,,,,,,,,,3.0,,1.0,,,,,,,19.0,,,1.0,,,
tr_boun-ud-test,979,0,545,,7.0,,,,,,,12.0,,,,,,,,,,,,,,,,38.0,,1.0,,,2.0,,,2.0,,,8.0,,,,17.0,,,,,,,,,,,,,,1.0,,,,,10.0,,,,,,,,,,9.0,,,,,,,2.0,,,,,9.0,,,3.0,398.0,,,,,,,,,,,,,,,3.0,,,,,,,,,23.0,,,,,,
tr_boun-ud-train,7803,0,3874,,20.0,,,,,,,112.0,,,,,,,,,,,,,,,,83.0,,2.0,,,6.0,,,14.0,,,41.0,11.0,6.0,,190.0,2.0,5.0,,,,,,,,,,,,15.0,,,,,52.0,,,,,,,,9.0,,45.0,,,,,,,14.0,,4.0,,,37.0,,,23.0,2927.0,,,,,,,,,,,,,,,109.0,2.0,3.0,,,,,,,140.0,,,2.0,,,
tr_penn-ud-dev,622,0,218,,,,,,,,,6.0,,,,,,,,,,,,,,,,2.0,,,,,6.0,,,,,,8.0,,,,6.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,38.0,,,,,,,,,,,,,,,,145.0,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,1.0,,,
tr_penn-ud-test,924,0,304,,,,,,,,,19.0,,,,,,,,,,,,,,,,8.0,,,,,4.0,,,,,,11.0,,,,6.0,,,,,,,,,,,,,,3.0,,,,,9.0,,,,,,,,,,70.0,,,,,,,,,,,,2.0,,,,161.0,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,,,
tr_penn-ud-train,14850,0,5148,,3.0,,,,,,,110.0,,,,,,,,,,,,,,,,157.0,,4.0,,,94.0,,,10.0,,1.0,217.0,,,,79.0,,,,,,,,,,,,,,37.0,,,,17.0,69.0,,,,,,,,10.0,,1215.0,,,,,,,,1.0,9.0,,,16.0,,,45.0,2853.0,,,,,,,,,,,,,,,,,10.0,,,,,,,168.0,,,23.0,,,
