Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:abs,advcl:caus,advcl:ccomp,advcl:cmp,advcl:cond,advcl:fin,advcl:manner,advcl:pred,advcl:relcl,advcl:tcl,advmod,amod,amod:flat,appos,appos:trans,aux,aux:caus,aux:pass,case,case:loc,cc,ccomp,ccomp:relcl,clf,compound,compound:lvc,compound:name,compound:prt,compound:redup,compound:svc,conj,conj:expl,cop,csubj,csubj:pass,dep,det,det:numgov,det:nummod,det:poss,discourse,dislocated,dislocated:nsubj,dislocated:obl,expl,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:foreign,flat:name,flat:range,flat:repeat,flat:title,iobj,iobj:agent,list,mark,nmod,nmod:appos,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:flat,nmod:npmod,nmod:obl,nmod:poss,nmod:tmod,nsubj,nsubj:nc,nsubj:outer,nsubj:pass,nummod,nummod:entity,nummod:gov,obj,obl,obl:agent,obl:arg,obl:benef,obl:cmp,obl:cmpr,obl:depict,obl:float,obl:goal,obl:instr,obl:lmod,obl:manner,obl:pmod,obl:smod,obl:soc,obl:source,obl:tmod,orphan,orphan:missing,parataxis,parataxis:discourse,parataxis:obj,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
hy_armtdp-ud-test,277,0,604,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,9.0,5.0,,,1.0,,34.0,,,,,,,,,1.0,,,,,,,,,,,26.0,,,,,,,9.0,1.0,,,4.0,,,,,,,7.0,,331.0,,,,,,,,,37.0,121.0,1.0,,,,,,,,,,,,,,,,3.0,,3.0,,,,7.0,,,,
mk_mtb-ud-test,155,0,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,7.0,,,,1.0,,,,,,,,,24.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_gc-ud-test,540,0,1886,,,,,,6.0,13.0,,,,,,,,,,,15.0,143.0,,,,,,,647.0,,,13.0,,,,,,,,,63.0,,2.0,,,1.0,1.0,,,,,,,,,,,,,8.0,33.0,,,1.0,,,,31.0,,,1.0,66.0,,,,,,,,,1.0,,26.0,,,,25.0,,,90.0,650.0,,,,,,,,,,,,,,,,,,,,,,,35.0,,15.0,,
is_gc-ud-train,3960,0,14631,,,,,,89.0,77.0,,,,,,,,,,,248.0,921.0,,,,9.0,,,5196.0,,,49.0,,,,,,,,,434.0,,14.0,1.0,,15.0,8.0,,,,,,,,1.0,,,,,50.0,178.0,,,5.0,,,,228.0,,,11.0,596.0,,,,,,,,,6.0,,217.0,,,,151.0,,,665.0,5013.0,,,,,,,,,,,,,,,,,,,,,,,286.0,,163.0,,
is_gc-ud-dev,500,0,1977,,,,,,10.0,10.0,,,,,,,,,,,24.0,109.0,,,,1.0,,,711.0,,,9.0,,,,,,,,,83.0,,3.0,,,2.0,1.0,,,,,,,,,,,,,8.0,10.0,,,,,,,24.0,,,2.0,99.0,,,,,,,,,,,43.0,,,,18.0,,,88.0,673.0,,,,,,,,,,,,,,,,,,,,,,,31.0,,18.0,,
ota_boun-ud-train,114,0,82,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,10.0,,,,2.0,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,5.0,,,,,,,,,,,,,4.0,,,,,,,,,14.0,35.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
ota_boun-ud-test,400,0,296,,4.0,,,,,7.0,,,,,,,,,,,,8.0,,,,1.0,,,,,,27.0,,,5.0,3.0,,,3.0,,17.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,12.0,,,,2.0,,,,,,,,,12.0,,2.0,,,1.0,,,,45.0,144.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,
ru_syntagrus-ud-train,69630,0,29236,,396.0,,,,2.0,19.0,,,,,,,,,,,16.0,3967.0,,247.0,,,,,,,,5.0,,,,,,,,,1511.0,,,2.0,,,1472.0,,,,,,,,,,,,,566.0,6.0,,3.0,219.0,,,,8966.0,,,,3511.0,,,,,,,,,,,16.0,,,1.0,103.0,,13.0,,6391.0,,,,,,,,,,,,,,,,,94.0,,1522.0,,,,160.0,,28.0,,
ru_syntagrus-ud-dev,8906,0,3713,,62.0,,,,,4.0,,,,,,,,,,,1.0,476.0,,41.0,,,,,,,,,,,,,,,,,228.0,,,,,,168.0,,,,,,,,,,,,,62.0,,,,48.0,,,,1164.0,,,,471.0,,,,,,,,,,,2.0,,,,11.0,,1.0,,799.0,,,,,,,,,,,,,,,,,15.0,,139.0,,,,17.0,,4.0,,
ru_syntagrus-ud-test,8800,0,3932,,42.0,,,,,3.0,,,,,,,,,,,6.0,496.0,,44.0,,,,,,,,1.0,,,1.0,,,,,,206.0,,,2.0,,,209.0,,,,,,,,,,,,,67.0,1.0,,,48.0,,,,1236.0,,,,387.0,,,,,,,,,,,,,,,17.0,,1.0,,975.0,,,,,,,,,,,,,,,,,12.0,,165.0,,,,11.0,,2.0,,
grc_ptnk-ud-train,727,0,1374,,,,,,44.0,6.0,,,,,,,,,,,,29.0,,23.0,,,,,,,,12.0,,,,,,,,,40.0,,1.0,,,,398.0,,,,,5.0,,,,,,,,,,,,,,,,456.0,,,,45.0,,,,,,,,,,,10.0,,,,9.0,,,15.0,260.0,,,,,,,,,,,,,,,,,6.0,,7.0,,,,8.0,,,,
grc_ptnk-ud-dev,439,0,591,,,,,,20.0,2.0,,,,,,,,,,,,18.0,,8.0,,,,,,,,3.0,,,,,,,,,31.0,,1.0,,,,191.0,,,,,2.0,,,,,,,,,,,,,,,,150.0,,,,25.0,,,,,,,,,,,5.0,,,,11.0,,,9.0,107.0,,,,,,,,,,,,,,,,,2.0,,3.0,,,,3.0,,,,
grc_ptnk-ud-test,410,0,768,,,,,,11.0,,,,,,,,,,,,,11.0,,14.0,,,,,,,,5.0,,,,,,,,,17.0,,1.0,1.0,,,246.0,,,,,8.0,,,,,,,,,,,,,,,,300.0,,,,22.0,,,,,,,,,,,4.0,,,,3.0,,,17.0,103.0,,,,,,,,,,,,,,,,,,,1.0,,,,3.0,,1.0,,
sjo_xdt-ud-test,810,0,416,,,,,,,1.0,,,,,,,,,,,,,,,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,7.0,,,1.0,,,,,,,,
pt_bosque-ud-dev,1172,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-test,1167,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pt_bosque-ud-train,7018,0,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
orv_birchbark-ud-train,1045,0,397,,,,,,,,,,,,,,,,,,2.0,3.0,,21.0,,,,,,,,,,,,,,,,,33.0,,,,,8.0,19.0,,,,,,,,,,,,,,,,,7.0,,,,136.0,,,,53.0,,,,,,,,,,,2.0,,,,1.0,,2.0,1.0,25.0,,,,,,,,,,,,,,,,,11.0,,,,,,73.0,,,,
orv_birchbark-ud-dev,1062,0,509,,,,,,,,,,,,,,,,,,2.0,9.0,,33.0,,,,,,,,,,,,,,,,,46.0,,,,,4.0,28.0,,,,,1.0,,,,,,,,,,,,7.0,,,,185.0,,,,61.0,,,,,,,,,,,9.0,,,,1.0,,3.0,3.0,49.0,,,,,,,,,,,,,,,,,7.0,,,,,1.0,60.0,,,,
orv_birchbark-ud-test,1007,0,643,,,,,,,,,,,,,,,,,,,19.0,,45.0,,,,,,,,,,,,,,,,,60.0,,,,,,38.0,,,,,1.0,,,,,,,,,,,,18.0,,,,224.0,,,,82.0,,,,,,,,,,,,,,,4.0,,6.0,2.0,52.0,,,,,,,,,,,,,,,,,15.0,,,,,1.0,75.0,1.0,,,
nl_lassysmall-ud-train,13817,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
is_icepahc-ud-dev,4865,0,12913,,12.0,,,,64.0,118.0,,,,,,,,,,,64.0,1267.0,,93.0,,33.0,,,3.0,,1.0,71.0,,,,,,,,,738.0,,2.0,,,41.0,628.0,,,,,,,,,,,,,2.0,,,,37.0,,,,915.0,,,1.0,95.0,,,,,,,,,778.0,,829.0,,,,23.0,,,1023.0,5899.0,,,,,,,,,,,,,,,,,,,6.0,,,,146.0,3.0,21.0,,
is_icepahc-ud-train,34007,0,68401,,58.0,,,,365.0,601.0,,,,,,,,,,,268.0,6207.0,,788.0,,150.0,,,52.0,,4.0,368.0,,,,,,,,,3294.0,,34.0,,,213.0,3242.0,,,,,,,,,,,,,,,,24.0,292.0,,,,4470.0,,,4.0,467.0,,,,,,,,,3758.0,,4186.0,,,,231.0,,,5443.0,32628.0,,,,,,,,,,,,,,,,,,,41.0,,,,1064.0,40.0,109.0,,
is_icepahc-ud-test,5157,0,14260,,9.0,,,,91.0,150.0,,,,,,,,,,,51.0,1579.0,,126.0,,28.0,,,3.0,,,76.0,,,,,,,,,713.0,,5.0,,,52.0,1045.0,,,,,,,,,,,,,,,,,32.0,,,,811.0,,,,115.0,,,,,,,,,626.0,,879.0,,,,58.0,,,886.0,6663.0,,,,,,,,,,,,,,,,,,,8.0,,,,229.0,2.0,23.0,,
de_lit-ud-test,1920,0,1285,,2.0,,,,,4.0,,,,,,,,,,,3.0,34.0,,3.0,,,,,,,,3.0,,,,,,,,,51.0,,,1.0,,,83.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,306.0,,,,,,,,,,,1.0,,,,,,,4.0,545.0,2.0,199.0,,,,,,,,,,,,,,,11.0,,9.0,,,,7.0,,11.0,,
ltg_cairo-ud-test,20,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,232,,,,,,,,,,,,,,,,,,,21.0,,4.0,,,,,,,,,,,,,,,,,8.0,,,,,,10.0,,,,,,,,,,,,,4.0,,,,7.0,,,,99.0,,,,10.0,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,1.0,2.0,,1.0,1.0,,,8.0,,,,
ru_poetry-ud-dev,789,0,268,,5.0,,,,,,,,,,,,,,,,,19.0,,1.0,,,,,,,,,,,,,,,,,8.0,,,1.0,,,15.0,,,,,,,,,,,,,2.0,,,,2.0,,,,126.0,,,,19.0,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,,,,,,,,4.0,,1.0,2.0,,,11.0,,,,
ru_poetry-ud-train,3569,0,1023,,11.0,,,,,,,,,,,,,,,,,116.0,,8.0,,,,,,,,,,,,,,,,,57.0,,,1.0,,,29.0,,,,,,,,,,,,,3.0,,,,13.0,,,,464.0,,,,37.0,,,,,,,,,,,,,,,1.0,,1.0,1.0,242.0,,,,,,,1.0,,,,,,,,,,6.0,,1.0,3.0,,,26.0,1.0,1.0,,
fo_farpahc-ud-test,301,0,817,,,,,,6.0,3.0,,,,,,,,,,,1.0,62.0,,11.0,,,,,,,,4.0,,,,,,,,,36.0,,,,,12.0,43.0,,,,,,,,,,,,,,,,,2.0,,,,60.0,,,,7.0,,,,,,,,,26.0,,10.0,,,,6.0,,,26.0,495.0,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,
fo_farpahc-ud-train,1020,0,1517,,,,,,7.0,2.0,,,,,,,,,,,,52.0,,7.0,,,,,,,,5.0,,,,,,,,,25.0,,,,,6.0,61.0,,,,,,,,,,,,,,,,,3.0,,,,197.0,,,,21.0,,,,,,,,,62.0,,15.0,,,,6.0,,,84.0,940.0,,,,,,,,,,,,,,,,,,,,,,,23.0,,1.0,,
fo_farpahc-ud-dev,300,0,872,,1.0,,,,7.0,1.0,,,,,,,,,,,,75.0,,11.0,,,,,,,,1.0,,,,,,,,,32.0,,,,,8.0,55.0,,,,,,,,,,,,,,,,,,,,,54.0,,,,2.0,,,,,,,,,54.0,,17.0,,,,6.0,,,21.0,523.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,1.0,,
is_modern-ud-dev,394,0,840,,,,,,4.0,5.0,,,,,,,,,,,,108.0,,4.0,,,,,,,,8.0,,,,,,,,,27.0,,,,,11.0,42.0,,,,,,,,,,,,,,,,,9.0,,,,12.0,,,,6.0,,,,,,,,,18.0,,38.0,,,,6.0,,,62.0,459.0,,,,,,,,,,,,,,,,,,,1.0,,,,18.0,,2.0,,
is_modern-ud-train,2703,0,5980,,4.0,,,,41.0,37.0,,,,,,,,,,,25.0,647.0,,20.0,,,,,,,,53.0,,,,,,,,,217.0,,,,,35.0,414.0,,,,,,,,,,,,,,,,,29.0,,,,125.0,,,,27.0,,,,,,,,,141.0,,228.0,,,,48.0,,,444.0,3274.0,,,,,,,,,,,,,,,,,,,8.0,,,,157.0,,6.0,,
is_modern-ud-test,438,0,1014,,1.0,,,,5.0,1.0,,,,,,,,,,,2.0,131.0,,4.0,,,,,,,,3.0,,,,,,,,,29.0,,,,,4.0,50.0,,,,,,,,,,,,,,,,,4.0,,,,26.0,,,,3.0,,,,,,,,,35.0,,25.0,,,,11.0,,,62.0,595.0,,,,,,,,,,,,,,,,,,,2.0,,,,21.0,,,,
wbp_ufal-ud-test,55,0,18,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,3.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
koi_uh-ud-train,34,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_fictree-ud-dev,1309,0,578,,,,,,1.0,1.0,,,,,,,,,,,,16.0,,,,,,,82.0,,,4.0,,,,,,,,,10.0,,,,,4.0,20.0,,,,12.0,,,,,,,,80.0,1.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,2.0,,,,136.0,,196.0,,,,,,,,,,,,,,,,,,,,,6.0,,,,
cs_fictree-ud-train,10160,0,4908,,,,,,1.0,13.0,,,,,,,,,,,,178.0,,15.0,,,,,680.0,,,9.0,,,,,,,,,66.0,,,2.0,,10.0,161.0,,3.0,,89.0,,,,,,,,564.0,13.0,18.0,,,,,,,,,,,74.0,,,,,,,,,,,1.0,,,,14.0,,,,1157.0,,1782.0,,,,,,,,,,,,,,,5.0,,,,,,49.0,,4.0,,
cs_fictree-ud-test,1291,0,634,,,,,,,1.0,,,,,,,,,,,,26.0,,,,,,,75.0,,,,,,,,,,,,11.0,,,,,4.0,13.0,,,,9.0,,,,,,,,69.0,2.0,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,149.0,,263.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,
la_udante-ud-train,926,0,495,,8.0,,,,2.0,4.0,,,,2.0,,,,1.0,,,,35.0,,1.0,,,,,,,,,,,,,,,,,17.0,,,4.0,,,41.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,16.0,,,,,,,,,,,2.0,,,1.0,1.0,,,2.0,134.0,2.0,202.0,,,,,,,,1.0,,,,,,,17.0,,,,,,,,,,
la_udante-ud-test,419,0,169,,4.0,,,,1.0,3.0,1.0,,,1.0,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,4.0,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,21.0,2.0,85.0,,,,,,,,1.0,,,,,,,7.0,,,,,,1.0,,,,
la_udante-ud-dev,376,0,254,,7.0,,,,,4.0,,,,4.0,,,,,,,,29.0,,7.0,,,,,,,,,,,,,,,,,25.0,2.0,,,,,19.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.0,3.0,75.0,,,,,,,,,,,,,,,5.0,,,,,,,,1.0,,
hyw_armtdp-ud-test,680,0,1519,,4.0,,,,1.0,17.0,,,,,,,,,,,,,,11.0,,1.0,,,,,,2.0,,,4.0,13.0,,,3.0,1.0,118.0,,,,,20.0,,,,1.0,1.0,1.0,,,,,,,,4.0,13.0,,,16.0,,,,38.0,,,,1.0,,,,,,,42.0,,598.0,,11.0,,,,,,,107.0,444.0,9.0,,,,,,,,,,,,,,,,5.0,,11.0,,,,9.0,,13.0,,
hyw_armtdp-ud-dev,694,0,1498,,2.0,,,,1.0,16.0,,,,,,,,,1.0,,,,,12.0,,1.0,,,,2.0,,,,,2.0,10.0,,,1.0,,96.0,,,1.0,,23.0,,,,1.0,,2.0,,,,,,,,1.0,3.0,,,10.0,,,,49.0,,,,6.0,,,,,,,38.0,,626.0,,12.0,,,,,,,93.0,452.0,3.0,,,,,,,,,,,,,,,,3.0,,3.0,,,,6.0,1.0,21.0,,
hyw_armtdp-ud-train,5282,0,11074,,23.0,,,,7.0,94.0,,,,,,,,,2.0,,,1.0,,88.0,,3.0,1.0,,,4.0,,8.0,,,34.0,72.0,,,14.0,4.0,806.0,,,1.0,,244.0,,,,7.0,5.0,6.0,,,1.0,,,,,25.0,23.0,,,237.0,,,,299.0,7.0,,,21.0,,,,,,,321.0,,4544.0,,65.0,,,6.0,,,,781.0,2976.0,60.0,,,,,,,,,,,,,,,,12.0,,58.0,,,,67.0,,147.0,,
ro_rrt-ud-test,729,0,940,,,,,,,,,,,,,,,,,,,61.0,,1.0,,,,,7.0,,,,,,,,,,,,41.0,,,,,,117.0,,,,,,,,11.0,,,38.0,5.0,4.0,6.0,,,,,,,105.0,,,,488.0,,,,,,,,,,,1.0,,,,,,,1.0,49.0,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,
ro_rrt-ud-train,8043,0,10927,,3.0,,,,,3.0,,,,,,,,,,,,896.0,,11.0,,,,,100.0,,,3.0,,,,,,,,,425.0,,,1.0,,1.0,1339.0,,,,,,,,117.0,,3.0,521.0,52.0,29.0,40.0,,,,,,,1095.0,,,,5654.0,,,,,,,,,,,9.0,,,,43.0,,,32.0,485.0,,,,,,,,,,,,17.0,,,,29.0,2.0,,1.0,,,,11.0,4.0,1.0,,
ro_rrt-ud-dev,752,0,1059,,,,,,,,,,,,,,,,,,,101.0,,1.0,,,,,8.0,,,,,,,,,,,,51.0,,,,,,102.0,,,,,,,,14.0,,,45.0,6.0,3.0,8.0,,,,,,,121.0,,,,540.0,,,,,,,,,,,1.0,,,,2.0,,,1.0,46.0,,,,,,,,,,,,2.0,,,,6.0,,,,,,,1.0,,,,
el_gdt-ud-test,456,0,5,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
el_gdt-ud-train,1662,0,32,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
el_gdt-ud-dev,403,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,129,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,1.0,,,,,,,,108.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,345.0,1.0,,178.0,,,,,,,,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-test,545,0,583,,,,,,,,,,,,,,,,,,,39.0,,,,,,,,,,2.0,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,,,124.0,,,,,,,,,,,2.0,,,,,,,5.0,312.0,,,,,,,,,,,,,1.0,,,1.0,,,1.0,,,1.0,1.0,,,66.0,
gd_arcosg-ud-train,3541,0,4147,,,,,,4.0,3.0,,,,,,,,,,,,319.0,,2.0,,,,,2.0,,,9.0,,,,,,,,,213.0,,,,,2.0,,,,,,,,,,,,,,10.0,,,,,,,,,,,,729.0,,,,,,,,,,,10.0,,,,,,,19.0,2238.0,,,,,,,,,,,,,1.0,,,,2.0,,5.0,,,6.0,34.0,,1.0,538.0,
gd_arcosg-ud-dev,655,0,663,,,,,,,,,,,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,138.0,,,,,,,,,,,3.0,,,,,,,7.0,355.0,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,,,78.0,
got_proiel-ud-dev,985,0,1435,,6.0,,,,,26.0,,,,7.0,,,,,,,2.0,42.0,,26.0,,,,,,,,1.0,,,,,,,,,74.0,,,,,,206.0,,,,,3.0,,,,,,,3.0,,,,,7.0,,,,,,,,57.0,,,,,,,,,,,17.0,,,2.0,6.0,,,1.0,524.0,12.0,320.0,,,,,,,,,,,,,,,24.0,,,,,,16.0,,53.0,,
got_proiel-ud-train,3387,0,4907,,25.0,,,,,86.0,,,,19.0,,,,,,,39.0,164.0,,97.0,,,,,,,,2.0,,,,,,,,,276.0,,,,,1.0,673.0,,,,,12.0,,,,,,,7.0,,,,,35.0,,,,,,,,216.0,,,,,,,,,,,53.0,,,5.0,28.0,,,14.0,1966.0,43.0,851.0,,,,,,,,,,,,,,,100.0,,3.0,,,,34.0,,158.0,,
got_proiel-ud-test,1029,0,1340,,9.0,,,,,25.0,,,,4.0,,,,,,,3.0,31.0,,10.0,,,,,,,,1.0,,,,,,,,,55.0,,,,,,211.0,,,,,2.0,,,,,,,2.0,,,,,8.0,,,,,,,,40.0,,,,,,,,,,,17.0,,,1.0,4.0,,,5.0,573.0,8.0,273.0,,,,,,,,,,,,,,,21.0,,,,,,8.0,,29.0,,
sl_sst-ud-train,4558,0,853,,,,,,,1.0,,,,,,,,,,,1.0,29.0,,5.0,,,,,38.0,,,1.0,,,,,,,,,18.0,,,1.0,,,33.0,,,,,,,,64.0,,,,,6.0,,,,1.0,,,,174.0,,,3.0,22.0,,,,,,,,,,,3.0,,,,4.0,,,375.0,38.0,,,,,,,,,,,,,,,,,11.0,,3.0,1.0,,11.0,10.0,,,,
sl_sst-ud-test,1041,0,156,,,,,,,,,,,,,,,,,,,13.0,,1.0,,,,,14.0,,,,,,,,,,,,3.0,,,,,,1.0,,,,,1.0,,,9.0,,,,,,,,,1.0,,,,31.0,,,,7.0,,,,,,,,,,,,,,,,,,58.0,12.0,,,,,,,,,,,,,,,,,2.0,,,,,1.0,2.0,,,,
sl_sst-ud-dev,505,0,198,,,,,,,,,,,,,,,,,,,12.0,,,,,,,17.0,,,,,,,,,,,,17.0,,,,,,10.0,,,,,,,,20.0,,,,,1.0,,,,,,,,30.0,,,1.0,15.0,,,,,,,,,,,,,,,1.0,,,61.0,8.0,,,,,,,,,,,,,,,,,4.0,,1.0,,,,,,,,
de_gsd-ud-train,13814,0,43935,,15.0,,,,1.0,3.0,,,,,,,,,,,9.0,4631.0,,1557.0,,,,,2.0,,1.0,1.0,,,332.0,,,,,,2373.0,,,,1.0,18.0,12054.0,,,647.0,,,,,,,,,4.0,,2133.0,,,,,,,,,,,8271.0,,,,,,,,,,,69.0,,,28.0,17.0,,,141.0,9866.0,448.0,1096.0,,,,,,,,,,,,,,11.0,4.0,,,,,,86.0,1.0,115.0,,
de_gsd-ud-dev,799,0,1521,,,,,,,,,,,,,,,,,,1.0,168.0,,8.0,,,,,1.0,,,1.0,,,43.0,,,,,,56.0,,,,,3.0,425.0,,,30.0,,,,,,,,,,2.0,27.0,,,,,,,,,,,239.0,,,,,,,,,,,3.0,,,,3.0,,,4.0,422.0,13.0,69.0,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,
de_gsd-ud-test,977,0,2261,,,,,,,,,,,,,,,,,,2.0,236.0,,10.0,,,,,3.0,,,,,,39.0,,,,,,100.0,,,,,9.0,655.0,,,44.0,,,,,,,,,,1.0,44.0,,,,,,,,,,,417.0,,,,,,,,,,,1.0,,,,1.0,,,6.0,591.0,11.0,83.0,,,,,,,,,,,,,,1.0,,,,,,,7.0,,,,
ka_glc-ud-test,151,0,344,,,,,,,,,,,,,,,,,,,68.0,,,,,,,107.0,,,,,,,,,,,,8.0,,,,,,,,,11.0,,,,,,,,,,,,,,1.0,,,,22.0,,,,22.0,,,,,,,,,,,17.0,,,,4.0,,,79.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,7.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
aln_gps-ud-test,966,0,715,,2.0,,,,,1.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,81.0,,,,,,,,157.0,,,,,,,,,,,,,234.0,,,,46.0,,,,,,,,,,,16.0,,,,,,,137.0,26.0,,,,,,,,,,,,,,,,,1.0,,,,,7.0,,,1.0,,
kk_ktb-ud-test,1047,0,447,,2.0,,,,,45.0,,,,,,,,,,,,1.0,,,,4.0,,,,,,14.0,,,,,,,,,27.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,92.0,,,,,,,,,,,1.0,,,,1.0,,,15.0,227.0,,,,,,,,,,,,,,,,,5.0,,,,,,2.0,,3.0,,
