Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,amod:flat,appos,aux,aux:caus,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,clf,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:emph,cop:outer,cop:own,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,det,discourse,discourse:q,dislocated,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:poss,nsubj,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
ha_southernautogramm-ud-test,1918,0,1053,,,3.0,4.0,,2.0,,,,,,,,,,,989.0,,,,,,1.0,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,26.0,,,,,,,
got_proiel-ud-dev,985,0,118,,6.0,,21.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,4.0,,2.0,,7.0,,,,,,,,,1.0,,,,,,,,,,,2.0,,68.0,,,,,
got_proiel-ud-train,3387,0,481,,58.0,,39.0,,,3.0,,,,,,,,,5.0,,,,,,,3.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,11.0,,1.0,,9.0,6.0,,4.0,,,,,,5.0,,,,,,,,,,,13.0,,267.0,,,,,
got_proiel-ud-test,1029,0,123,,11.0,,10.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,7.0,,,,5.0,1.0,1.0,,,,,,,2.0,,,,,,,,,,,4.0,,76.0,,,,,
nhi_itml-ud-test,909,0,479,,17.0,3.0,48.0,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,103.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,1.0,242.0,,1.0,,,,,
sl_sst-ud-train,4558,0,2316,,217.0,,235.0,,,,,,,,,,1.0,,,,,,,,,123.0,,,,,,,,,,265.0,,,,,,,70.0,,,,,,,,,,,,2.0,,1.0,,,,,,4.0,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,1.0,319.0,,153.0,,,,,31.0,,26.0,684.0,,182.0,,,,,
sl_sst-ud-test,1041,0,439,,24.0,,34.0,,,,,,,,,,,,,,,,,,,27.0,,,,,,,,,,50.0,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.0,,31.0,,,,,4.0,,4.0,155.0,,37.0,,,,,
sl_sst-ud-dev,505,0,442,,42.0,,38.0,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,64.0,,,,,,,20.0,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,66.0,,47.0,,,,,9.0,,1.0,103.0,,27.0,,,,,
ka_glc-ud-test,151,0,92,,5.0,,4.0,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,6.0,,,,,,,,,,46.0,,1.0,,,,,
xnr_kdtb-ud-test,288,0,164,,,,6.0,,,,,,,,,,2.0,,,49.0,,1.0,,,,,,,,,,,,,,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,87.0,,12.0,,,,,
kk_ktb-ud-test,1047,0,350,,3.0,4.0,181.0,,,,,,,,,,,,,5.0,,,,,,4.0,,,,,,,,,,10.0,,,30.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,75.0,,33.0,,,,,
kk_ktb-ud-train,31,0,13,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
ha_northernautogramm-ud-test,400,0,368,,,,,,,,,,,,,,,,,367.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
cs_pdt-ud-test,10146,0,7027,56.0,268.0,582.0,477.0,,,,,,,,,,77.0,,39.0,,,,,,,394.0,,,,,,,,,,927.0,,,,,,,311.0,,,,,26.0,,,31.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,10.0,9.0,,,,,,,,8.0,90.0,,,,,,,,,,2803.0,,918.0,,,,,
cs_pdt-ud-dev,9270,0,6580,53.0,259.0,527.0,381.0,,,,,,,,,,83.0,,27.0,,,,,,,348.0,,,,,,,,,,811.0,,,,,,,308.0,,,,,19.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,6.0,11.0,,,,,,,,3.0,53.0,,,,,,,,,,2756.0,,909.0,,,,,
cs_pdt-ud-train,68491,0,47805,479.0,1883.0,3989.0,2749.0,,,,,,,,,,585.0,,198.0,,,,,,,2776.0,,,,,,,,,,5943.0,,,,,,,2292.0,,,,,121.0,,,219.0,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,87.0,49.0,,,,,,,,26.0,562.0,,,,,,,,,,19558.0,,6287.0,,,,,
ota_dudu-ud-test,85,0,78,,3.0,,2.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,7.0,,,38.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,
ug_udt-ud-test,900,0,409,,3.0,,215.0,,,,,,,,,,,,,16.0,,,,,,4.0,,,,,,10.0,12.0,2.0,,19.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,33.0,,75.0,,,,,
ug_udt-ud-dev,900,0,400,,3.0,,231.0,,,,,,,,,,,,,12.0,,,,4.0,,1.0,,,,,,12.0,28.0,1.0,,3.0,,,11.0,,,,,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,16.0,,66.0,,,,,
ug_udt-ud-train,1656,0,731,,,,431.0,,,,,,,,,,,,,16.0,,,,2.0,,,,,,,,14.0,88.0,1.0,,4.0,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,59.0,,80.0,,,,,
azz_itml-ud-test,1260,0,125,,,12.0,18.0,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,8.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,2.0,62.0,,,,,,,
ur_udtb-ud-train,4043,0,6655,,179.0,310.0,242.0,,,,,,,,,,75.0,,,2065.0,,,,6.0,1.0,1.0,,,,,,448.0,,,,474.0,,,,,,,,,,,,,,,28.0,,,2.0,,,,,,,,,,,,,,,,,,,,28.0,,,9.0,,,,475.0,3.0,,,,,,,,,,,,,,,,,,,2297.0,,12.0,,,,,
ur_udtb-ud-dev,552,0,937,,17.0,37.0,24.0,,,,,,,,,,12.0,,,298.0,,,,,,,,,,,,58.0,,,,74.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,2.0,,,,63.0,,,,,,,,,,,,,,,,,,,,341.0,,3.0,,,,,
ur_udtb-ud-test,535,0,925,,22.0,30.0,31.0,,,,,,,,,,7.0,,,277.0,,,,,,,,,,,,49.0,,,,85.0,,,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,61.0,,,,,,,,,,,,,,,,,,,,350.0,,3.0,,,,,
lzh_kyoto-ud-dev,6102,0,51,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,720,,,,,,,,,,,,,703.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,1.0,,,,,,,
lzh_kyoto-ud-test,5528,0,40,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,1210,1.0,125.0,,61.0,,,,,,,,,,319.0,,,7.0,,5.0,,,,71.0,,,,,,,,,,159.0,,,16.0,,,,8.0,,,,,3.0,,,3.0,,,,6.0,,,,,,,,,,,,,,,,8.0,,,3.0,,,13.0,,1.0,,8.0,5.0,,,,,,,,1.0,3.0,,,,,,,,,,332.0,,52.0,,,,,
lv_lvtb-ud-train,14358,0,8012,,800.0,,447.0,,,,,,,,,,2136.0,,,22.0,,30.0,,,,617.0,,,,,,,,,,1103.0,,,88.0,,,,56.0,,,,,18.0,,,23.0,,,,12.0,,,,,,,,1.0,,,,,,,,35.0,,,9.0,,,55.0,,6.0,,38.0,41.0,,,,,,,,5.0,65.0,,,,,,,,,1.0,2167.0,,237.0,,,,,
lv_lvtb-ud-dev,2080,0,1101,,100.0,,58.0,,,,,,,,,,299.0,,,2.0,,2.0,,,,80.0,,,,,,,,,,176.0,,,11.0,,,,5.0,,,,,4.0,,,3.0,,,,1.0,,,,,,,,,,,,,,,,11.0,,,1.0,,,7.0,,1.0,,7.0,2.0,,,,,,,,1.0,10.0,,,,,,,,,1.0,278.0,,41.0,,,,,
sga_dipwbg-ud-test,34,0,9,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
xum_ikuvina-ud-test,133,0,10,,,3.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,1064,,117.0,44.0,101.0,,,,,,,,,,2.0,,1.0,,,,,,,39.0,,,,,,,,,,113.0,,,,,,,36.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,57.0,,,,,,,,,,425.0,,127.0,,,,,
la_ittb-ud-dev,2101,0,664,,185.0,49.0,56.0,34.0,,81.0,,,2.0,,,,,,,2.0,,4.0,,,,19.0,,,2.0,,,,,,,40.0,1.0,,12.0,,,,13.0,,,,,12.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,29.0,,,,,,,,,,,,,,,,,,,99.0,,17.0,,,,,
la_ittb-ud-test,2101,0,697,,162.0,34.0,35.0,22.0,,125.0,,,3.0,,,,,,,2.0,,,,,,25.0,,,7.0,,,,,,,55.0,1.0,,2.0,,,,34.0,,,,,6.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,76.0,,,,,,,,2.0,1.0,,,,,,,,,,72.0,,22.0,,,,,
la_ittb-ud-train,22775,0,10490,,3193.0,693.0,864.0,266.0,,694.0,,3.0,56.0,,,,,,,53.0,,175.0,,,,446.0,,,37.0,3.0,,,,,,799.0,24.0,,366.0,,1.0,,333.0,,1.0,,,214.0,86.0,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,1.0,411.0,,1.0,,,,,,11.0,10.0,,,,,,,,,,1413.0,,320.0,,,,,
qtd_sagt-ud-test,805,0,367,,6.0,,9.0,,,,,,,,,,,,,,,,3.0,,,19.0,,,,,,,1.0,2.0,,48.0,,,83.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,1.0,,,,,,2.0,4.0,137.0,,7.0,,,,,
qtd_sagt-ud-dev,801,0,333,,5.0,,10.0,,,,,,,,,,,,,,,,6.0,,,19.0,,,,,,,1.0,,,47.0,,,57.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,3.0,,,,,,1.0,3.0,136.0,,5.0,,,,,
qtd_sagt-ud-train,578,0,276,,6.0,,13.0,,,,,,,,,,,,,,,,3.0,,,18.0,,,,,,,,1.0,,71.0,,,48.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,3.0,91.0,,5.0,,,,,
pl_pud-ud-test,1000,0,1160,,105.0,69.0,56.0,,,,,,1.0,,,,,,,3.0,,74.0,,,,21.0,1.0,12.0,,,,,,,,123.0,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,11.0,20.0,,14.0,,,,20.0,40.0,1.0,17.0,,1.0,,,,,,,,5.0,,9.0,,,,,418.0,,128.0,,,2.0,,1.0
orv_torot-ud-test,2955,0,1460,,36.0,,50.0,,,,,,,,,,,,,41.0,,6.0,,,,8.0,,,,,,,,,,146.0,,,55.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,8.0,,,,,,,,,6.0,9.0,,,,,,,,,,1093.0,,,,,,,
orv_torot-ud-dev,3061,0,1390,,24.0,,23.0,,,,,,,,,,,,,58.0,,,,,,9.0,,,,,,,,,,184.0,,,50.0,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,,,,,,,,2.0,,,,1.0,,,,,,,,,,11.0,,,,,,,,,,1022.0,,,,,,,
orv_torot-ud-train,20480,0,10270,,204.0,,243.0,,,1.0,,,,,,,,,,291.0,,34.0,,,,62.0,,,,,,,,,,1094.0,,,439.0,,,,2.0,,,,,1.0,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,3.0,,,,13.0,,,,,,,,,13.0,62.0,,,,,,,,,,7771.0,1.0,1.0,,,,,
cs_cac-ud-dev,603,0,233,2.0,3.0,14.0,3.0,,,,,,,,,,4.0,,,,,,,,,6.0,,,,,,,,,,40.0,,,,,,,10.0,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,116.0,,29.0,,,,,
cs_cac-ud-train,23478,0,9032,134.0,354.0,685.0,553.0,,,,,,,,,,156.0,,17.0,,,1.0,,,,313.0,,,,,,,,,,1484.0,,,,,,,740.0,,,,,37.0,,,36.0,,,,,,,,,,,,,,,,,,,,1.0,,,3.0,,,2.0,,1.0,,22.0,2.0,,,,,,,,20.0,111.0,,,,,,,,,,3138.0,,1222.0,,,,,
cs_cac-ud-test,628,0,273,4.0,11.0,22.0,20.0,,,,,,,,,,3.0,,,,,,,,,12.0,,,,,,,,,,51.0,,,,,,,28.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,87.0,,30.0,,,,,
yrl_complin-ud-test,1470,0,177,,,,,,,,,,,,,177.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,3476,,161.0,,246.0,,,,,,,,,,,,3.0,12.0,,,,,,113.0,,,,,,112.0,,,,545.0,,,200.0,,,,9.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,2.0,,1.0,1.0,,,8.0,,,,6.0,7.0,,,,,,,,,2.0,,,,,,,,,,2031.0,,15.0,,,,,
eu_bdt-ud-test,1799,0,1140,,50.0,,86.0,,,,,,,,,,,,1.0,7.0,,,,,,41.0,,,,,,31.0,,,,184.0,,,74.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,655.0,,4.0,,,,,
eu_bdt-ud-dev,1798,0,1149,,55.0,,71.0,,,,,,,,,,,,2.0,4.0,,,,,,39.0,,,,,,30.0,,,,179.0,,,71.0,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,10.0,,,,2.0,,,,,,,,,,,,,,,,,,,,677.0,,3.0,,,,,
urb_tudet-ud-test,83,0,3,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hbo_ptnk-ud-train,730,0,561,,92.0,,59.0,,,,,,,,,,,,1.0,,,,,,,73.0,,,,,,,,,,154.0,,,34.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,,,,,,,89.0,,1.0,,,,,
hbo_ptnk-ud-test,410,0,286,,64.0,,28.0,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,,,68.0,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,40.0,,,,,,,
hbo_ptnk-ud-dev,439,0,285,,39.0,,21.0,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,64.0,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,66.0,,1.0,,,,,
pl_lfg-ud-test,1727,0,1002,,30.0,8.0,31.0,,,,,,,,,,,,,,,14.0,,,,28.0,,9.0,,,,,,,,81.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,5.0,,,,7.0,18.0,,,,,,,,,,,,,,,,,,,651.0,,113.0,,,,,
pl_lfg-ud-train,13774,0,7917,,377.0,34.0,225.0,,,,,,,,,,,,,,,111.0,,,,226.0,,44.0,,,,,,,,692.0,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,22.0,,5.0,31.0,,,,26.0,170.0,,,,,,,,,,,,,,,,,,,5050.0,,853.0,,4.0,,,
pl_lfg-ud-dev,1745,0,1009,,27.0,5.0,30.0,,,,,,,,,,,,,,,21.0,,,,21.0,,4.0,,,,,,,,87.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,1.0,,,,1.0,19.0,,,,,,,,,,,,,,,,,,,649.0,,135.0,,,,,
tr_tourism-ud-train,15473,0,11713,,11.0,,16.0,,,,,,,,,,,,,818.0,,,,19.0,,11.0,,,,,,14.0,,,,276.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,1.0,1.0,,,,,,,,,1109.0,,,,,,,,,,9427.0,,3.0,,,,,
tr_tourism-ud-dev,2166,0,1752,,,,,,,,,,,,,,1.0,,3.0,149.0,,,,2.0,,,,,,,,2.0,,,,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,200.0,,,,,,,,,,1343.0,,,,,,,
tr_tourism-ud-test,2191,0,1646,,,,1.0,,,,,,,,,,,,,109.0,,,,3.0,,1.0,,,,,,2.0,,,,46.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,189.0,,,,,,,,,,1292.0,,,,,,,
cs_poetry-ud-test,297,0,292,,3.0,18.0,32.0,,,,,,,,,,10.0,,3.0,,,,,,,16.0,,,,,,,,,,70.0,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,85.0,,28.0,,,,,
ru_gsd-ud-test,601,0,491,,49.0,26.0,32.0,,,,,,,,,,7.0,,1.0,,,,,,,7.0,,,,,,,,,,86.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,1.0,,,,,1.0,,,,,,,,,16.0,,,,,,,,,,222.0,,29.0,,,,,
ru_gsd-ud-dev,579,0,480,,68.0,36.0,28.0,,,,,,,,,,1.0,,2.0,,,,,,,11.0,,,,,,,,,,64.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,29.0,,,,,,,,,,205.0,,34.0,,,,,
ru_gsd-ud-train,3850,0,3116,,477.0,178.0,172.0,,,,,,,,,,17.0,,9.0,,,,,,,80.0,,,,,,,,,,373.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,7.0,,,,,,,2.0,1.0,,,,,,,,1.0,131.0,,,,,,,,,,1395.0,,268.0,,,,,
tr_imst-ud-train,3435,0,5935,,865.0,,506.0,,,,,,,,,,5.0,,1.0,1.0,,,106.0,2.0,,194.0,,,,,,501.0,241.0,27.0,,470.0,,,564.0,,,,31.0,,,,,,,,1.0,,,,6.0,,2.0,,,,,,,8.0,,,,,,,5.0,,,250.0,,156.0,159.0,,,,365.0,12.0,,,,,,,,1.0,20.0,,,,,,,,,,1415.0,,21.0,,,,,
tr_imst-ud-dev,1100,0,1759,,269.0,,117.0,,,,,,,,,,3.0,,,1.0,,,52.0,,,41.0,,,,,,142.0,80.0,5.0,,153.0,,,115.0,,,,4.0,,,,,,,,,,,,1.0,,,,,,,,,5.0,,,,,,,,,,63.0,,41.0,38.0,,,,103.0,,,,,,,,,,9.0,,,,,,,,,,509.0,,8.0,,,,,
tr_imst-ud-test,1100,0,1588,,183.0,,146.0,,,,,,,,,,1.0,,,1.0,,,60.0,,,60.0,,,,,,107.0,58.0,2.0,,96.0,,,144.0,,,,8.0,,,,,,,,,,,,3.0,,1.0,,,,,,,,,,,,,,,,,50.0,,29.0,39.0,,,,93.0,2.0,,,,,,,,,13.0,,,,,,,,,,488.0,,4.0,,,,,
lv_cairo-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
bg_btb-ud-train,8907,0,7642,,188.0,263.0,630.0,,,,,,,,,,675.0,,,10.0,,190.0,,,,758.0,,,,,,,,,,731.0,,,102.0,,,,119.0,,,,,30.0,,,,,,,6.0,,,,,,,,,,,,,,,,9.0,,,25.0,,,22.0,,1.0,,17.0,8.0,,,,,,,,,180.0,,,,,,,,,,3315.0,,363.0,,,,,
bg_btb-ud-test,1116,0,971,,29.0,32.0,76.0,,,,,,,,,,93.0,,,10.0,,14.0,,,,118.0,,,,,,,,,,103.0,,,,,,,20.0,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,1.0,,3.0,2.0,,,,,,,,,2.0,,,,,,,,,,444.0,,13.0,,,,,
bg_btb-ud-dev,1115,0,979,,16.0,35.0,84.0,,,,,,,,,,95.0,,,11.0,,16.0,,,,135.0,,,,,,,,,,95.0,,,2.0,,,,20.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,3.0,,2.0,,2.0,2.0,,,,,,,,,1.0,,,,,,,,,,422.0,,29.0,,,,,
bxr_bdt-ud-train,19,0,7,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
bxr_bdt-ud-test,908,0,31,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,19.0,,,,,,,
bej_nsc-ud-test,380,0,339,,1.0,4.0,3.0,,,,,,,,,,,,,29.0,,,,,,3.0,,,,,,,,,4.0,,,,3.0,,,,,,,,,,,,,42.0,30.0,,55.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,1.0,,,,,,2.0,126.0,,,,,,,
tr_boun-ud-dev,979,0,767,,85.0,,40.0,,,,,,,,,,1.0,,,1.0,,,,,,43.0,,,,,,36.0,38.0,2.0,,51.0,,,195.0,,,,4.0,,,,,,,,,,,,,3.0,1.0,,,,,,,2.0,,,,,,,,,,3.0,,5.0,3.0,,,,14.0,4.0,,,,,,,,,1.0,,,,,,,,,,234.0,,1.0,,,,,
tr_boun-ud-test,979,0,643,,86.0,,45.0,,,,,,,,,,1.0,,,2.0,,,1.0,1.0,,46.0,,,,,,34.0,26.0,3.0,,33.0,,,142.0,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,2.0,,,,5.0,3.0,,,,,,,,,1.0,,,,,,,,,,199.0,,,,,,,
tr_boun-ud-train,7803,0,5139,,812.0,,309.0,,,,,,,,,,22.0,,,63.0,,,,1.0,,347.0,,,,,,294.0,267.0,19.0,,475.0,,,620.0,,,,81.0,,,,,,,,,,,,4.0,15.0,1.0,,,,,,1.0,2.0,,,,,,,,,,18.0,,52.0,16.0,,,,80.0,58.0,,,,,,,1.0,1.0,19.0,,,,,,,,,,1559.0,,2.0,,,,,
tr_penn-ud-dev,622,0,411,,2.0,,3.0,,,,,,,,,,,,,4.0,,,,,,11.0,,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,358.0,,1.0,,,,,
tr_penn-ud-test,924,0,461,,1.0,,2.0,,,,,,,,,,,,,4.0,,,,,,5.0,,,,,,,,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,407.0,,,,,,,
tr_penn-ud-train,14850,0,8365,,66.0,,64.0,,,,,,,,,,8.0,,13.0,51.0,,,,5.0,,169.0,,,,,,6.0,,,,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,3.0,,,,,,,2.0,6.0,,,,,,,,,223.0,,,,,,,,,,7315.0,,11.0,,,,,
