Treebank,Number of Sentences,Failures,Total,acl,acl:relcl,advcl,advcl:cleft,advcl:cmp,advmod,advmod:emph,amod,appos,appos:trans,aux,aux:pass,case,cc,cc:preconj,ccomp,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:nn,compound:prt,conj,conj:expl,cop,csubj,csubj:cop,csubj:outer,csubj:pass,dep,det,det:poss,discourse,discourse:emo,dislocated,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:arg,nmod:lmod,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obj:agent,obl,obl:agent,obl:arg,obl:cmpr,obl:lmod,obl:mod,obl:npmod,obl:smod,obl:tmod,orphan,parataxis,parataxis:insert,parataxis:obj,parataxis:restart,punct,reparandum,root,vocative,xcomp,xcomp:pred
lv_lvtb-ud-dev,2080,0,126,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,1.0,,,,,10.0,44.0,,10.0,,,27.0,,,,,,7.0,,,1.0,,2.0,,6.0,,,,,,,,,,12.0,,,,,,,,1.0,
sga_dipwbg-ud-test,34,0,10,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_pud-ud-test,1000,0,208,,,,,,,,,11.0,,,,,,,,,,1.0,,,,10.0,,,,,,,,,,,,,,50.0,96.0,1.0,,6.0,,,15.0,,,,,,6.0,,,1.0,,2.0,,8.0,,,,,,,,,,,,,,,,1.0,,,
la_ittb-ud-dev,2101,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,,2.0,,1.0,,,,,,,,,,,,,,2.0,1.0,,
la_ittb-ud-test,2101,0,13,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,1.0,,3.0,,1.0,,,,,,,,,,,,,,2.0,,,
la_ittb-ud-train,22775,0,128,,1.0,2.0,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,2.0,,,,,,,36.0,,,,,,12.0,,,4.0,,4.0,,33.0,,12.0,,,,,,,3.0,,,,,,,8.0,2.0,4.0,
nl_alpino-ud-train,12289,0,508,1.0,,1.0,,,,,1.0,29.0,,,,3.0,,,,,,,,,2.0,17.0,,,,,,,,,,,,,292.0,,,,,2.0,,2.0,55.0,,,,,,21.0,,,2.0,,18.0,,17.0,,9.0,,,,,,,1.0,6.0,,,,,,21.0,,8.0,
nl_alpino-ud-test,596,0,32,,,,,,,,,,,,,9.0,,,,,,,,,,1.0,,,,,,,,,,,,,16.0,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,2.0,,,,,,,,,
nl_alpino-ud-dev,718,0,48,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,32.0,,,,,,,,2.0,,,,,,1.0,,,1.0,,3.0,,4.0,,,,,,,,,,1.0,,,,,,,,,
it_vit-ud-train,8277,0,280,,,,,,,,,9.0,,,,,,,,,,11.0,,,,8.0,,,,,,,,,,,,,,2.0,117.0,,,,,,68.0,,,,,,16.0,,,3.0,,12.0,,23.0,,,,,,,,,,2.0,,,,,,7.0,,2.0,
it_vit-ud-test,1067,0,38,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,19.0,,,,,,8.0,,,,,,2.0,,,,,1.0,,2.0,,,,,,,,,,,,,,,,1.0,,,
it_vit-ud-dev,743,0,69,,1.0,,,,,,1.0,2.0,,,,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,,2.0,34.0,,,,,,15.0,,,,,,1.0,,,,,4.0,,,,,,,,,,,,,,,,,,5.0,,,
qtd_sagt-ud-test,805,0,43,,,,,,,,3.0,1.0,,,,2.0,,,1.0,,,,,,,6.0,,,,,,,,,,1.0,,1.0,,4.0,,,,,,,8.0,,,,,,5.0,,,,,4.0,,2.0,,,,,,,,,,,,,,,,3.0,1.0,1.0,
qtd_sagt-ud-dev,801,0,62,1.0,,1.0,,,,,,,,,,4.0,1.0,,,,,,,,,8.0,,1.0,,,,,,4.0,,2.0,,,,1.0,,,,,,,14.0,,,,,,5.0,,,,1.0,9.0,,4.0,,,,,,,,,,1.0,,,,,2.0,3.0,,,
qtd_sagt-ud-train,578,0,70,,,1.0,,,1.0,,6.0,,1.0,,,1.0,1.0,,1.0,,,,,,,2.0,,,,,,,,1.0,,,,2.0,,7.0,,,,,,1.0,13.0,,,,,,14.0,,,,1.0,8.0,,1.0,,,,,,,,,,5.0,,,,,1.0,1.0,,1.0,
ga_cadhan-ud-test,193,0,20,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,6.0,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,,2.0
pl_pud-ud-test,1000,0,54,,,,,,,,1.0,1.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,11.0,24.0,,,1.0,,,6.0,,1.0,,,,3.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
cs_cac-ud-dev,603,0,14,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,,,,,3.0,,,,,,,,3.0,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,505,4.0,,,,,10.0,,33.0,76.0,,,,20.0,3.0,,1.0,,,,,,,54.0,,,2.0,,,,16.0,1.0,,,,,2.0,9.0,123.0,,,,,,82.0,,,,,,25.0,,,1.0,,11.0,,22.0,,5.0,,,,,,,2.0,,,,,,,,,3.0,
cs_cac-ud-test,628,0,6,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,24,1.0,,,,,,,5.0,,,,,,,,,,,,,,,1.0,,,,1.0,,,6.0,,,,,,,2.0,,,,,,,3.0,,,,,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
fi_ftb-ud-train,14981,0,101,,,,,,,,21.0,,,,,2.0,1.0,,3.0,,,,,3.0,1.0,5.0,,,,,,,14.0,,,,,,,6.0,,,,,,,18.0,,,,,,10.0,3.0,,,,4.0,,,,,,,,,,,,,,,,,,10.0,,,
fi_ftb-ud-test,1867,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
it_parlamint-ud-test,375,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,
it_parlamint-ud-train,326,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,5,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
jv_csui-ud-test,1000,0,165,,1.0,3.0,,,,,17.0,8.0,,,,,,,,,,,,,,15.0,,,,,,,1.0,,,,,,,,17.0,,,,,,55.0,,,1.0,,,3.0,,,4.0,,15.0,,19.0,,,,,,,,1.0,,,,,,,,4.0,,1.0,
cs_poetry-ud-test,297,0,6,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,
ru_gsd-ud-test,601,0,182,,,,,,,,3.0,53.0,,,,1.0,,,,,,2.0,,,,15.0,,,,,,,,,,,,,,,56.0,5.0,,,,,13.0,,,,,,11.0,,,,,,,8.0,,,,,,,,,11.0,1.0,,,,,,1.0,,2.0,
ru_gsd-ud-dev,579,0,212,,,,,,,,1.0,50.0,,,,,1.0,,,,,,,,,15.0,,,,,,,,,,,,,,,97.0,8.0,,1.0,1.0,,19.0,,,,,,6.0,,,1.0,,2.0,,7.0,2.0,,,,,,,,,1.0,,,,,,,,,
ru_gsd-ud-train,3850,0,1094,,,,,,,,3.0,262.0,,,,2.0,,,,,,11.0,,,,108.0,,,,,,,,,,,,,,,483.0,27.0,,3.0,12.0,,66.0,,,,,,57.0,,,7.0,,8.0,,25.0,3.0,,,,,,,,,8.0,,,,,,4.0,,5.0,
en_pud-ud-test,1000,0,6,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
fr_sequoia-ud-test,456,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,
fr_sequoia-ud-train,2231,0,137,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.0,10.0,,,,,6.0,,,,,,,,,,,,,,,1.0,,,,,,,,6.0,,,,,,15.0,,,
fr_sequoia-ud-dev,412,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,
bg_btb-ud-train,8907,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bej_nsc-ud-test,380,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
