Treebank,Number of Sentences,Failures,Total,_,acl,acl:attr,acl:dpct,acl:ptcp,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:cond,advcl:dpct,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:svc,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:pass,aux:pot,aux:tense,case,ccomp,ccomp:cleft,ccomp:obj,ccomp:quote,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,conj:svc,cop,cop:locat,cop:outer,csubj,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:aux,dep:infl,discourse,dislocated,dislocated:csubj,dislocated:nsubj,fixed,flat,flat:foreign,flat:name,flat:title,iobj,list,mark,nmod,nmod:appos,nmod:poss,nsubj,nsubj:outer,nsubj:pass,obj,obl,obl:arg,obl:lmod,orphan,parataxis,parataxis:appos,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:parenth,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:pred,xcomp:result
orv_birchbark-ud-test,1007,0,29,,,,,,,6.0,,,,,,,,,,,,,,,,,,6.0,,,,,,,1.0,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,6.0,,,,
ltg_cairo-ud-test,20,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ru_poetry-ud-test,728,0,132,,3.0,,,,2.0,4.0,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,3.0,,,,,,,,,,,45.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,56.0,,,,
ru_poetry-ud-dev,789,0,126,,2.0,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,3.0,,,,,,,,,,,42.0,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,51.0,,3.0,,
ru_poetry-ud-train,3569,0,581,,5.0,,,,6.0,26.0,,,,,,,,,,,,,,,,,,26.0,,,5.0,,,,18.0,,,,,,,,,,,174.0,,,24.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,,,,,,,,255.0,,1.0,,
myu_tudet-ud-test,158,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
wbp_ufal-ud-test,55,0,2,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koi_uh-ud-test,94,0,8,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
cs_fictree-ud-dev,1309,0,32,,,,,,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
cs_fictree-ud-train,10160,0,335,1.0,1.0,,,,,9.0,,,,,,,,,,,,,,,,,,194.0,,,5.0,,,,10.0,,,,,,,,,,,12.0,,,86.0,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,
cs_fictree-ud-test,1291,0,41,,,,,,,2.0,,,,,,,,,,,,,,,,,,20.0,,,1.0,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,
la_udante-ud-train,926,0,155,,,,,,5.0,4.0,,,5.0,,,,,,,,,,,,,,,,,,7.0,,,,1.0,,,,,10.0,,,,,,48.0,5.0,,29.0,,,,,,,,,1.0,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,36.0,,,,
la_udante-ud-test,419,0,44,,,,,,4.0,4.0,,,6.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
la_udante-ud-dev,376,0,89,,,,,,5.0,11.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,1.0,,,,,,27.0,1.0,,2.0,,1.0,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,
lij_glt-ud-test,296,0,18,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,2.0,,
it_partut-ud-dev,156,0,5,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-test,153,0,6,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
it_partut-ud-train,1781,0,127,,5.0,,,,9.0,11.0,,,,,,,,,,,,,,,,,,31.0,,,16.0,,,,7.0,,,,,,,,,,,6.0,,,7.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,
ro_rrt-ud-test,729,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,167,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,148.0,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,9.0,,,,
ca_ancora-ud-dev,1709,0,319,,52.0,,,,,13.0,,,,,,,,,,,,,,,,,,35.0,,,,,,,39.0,,,,,,,,,,,34.0,,,25.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,113.0,,1.0,,
ca_ancora-ud-test,1846,0,405,,74.0,,,,2.0,14.0,,,,,,,,,,,,,,,,,,26.0,,,,,,,31.0,,,,,,,1.0,,,,34.0,,,28.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,185.0,,2.0,,
ca_ancora-ud-train,13123,0,3001,,531.0,,,,8.0,109.0,,,,,,,,,,,,,,,,,,297.0,,,,,,1.0,285.0,,,,,,,3.0,,,,284.0,,,298.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,,,,,,,,,1126.0,,10.0,,
gd_arcosg-ud-test,545,0,124,,1.0,,,,16.0,19.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,19.0,,,,,,,,,,,14.0,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,2.0,42.0,,,,
gd_arcosg-ud-train,3541,0,840,,13.0,,,,102.0,111.0,,,,,,,,,,,,,,,,,,,,,30.0,,,,75.0,,,,,,,,,,,151.0,,,,,,,37.0,8.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,30.0,,,,,,,,,,,11.0,267.0,,1.0,,
gd_arcosg-ud-dev,655,0,119,,4.0,,,,13.0,12.0,,,,,,,,,,,,,,,,,,,,,5.0,,,,13.0,,,,,,,,,,,16.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,50.0,,,,
cy_ccg-ud-test,953,0,233,,6.0,,,,26.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,15.0,,,15.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,136.0,,,,
cy_ccg-ud-dev,409,0,105,,6.0,,,,17.0,6.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,7.0,,,,,,,,,,,11.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,39.0,,,,
cy_ccg-ud-train,1189,0,260,,14.0,,,,37.0,15.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,,,,,,,,21.0,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,141.0,,,,
nhi_itml-ud-test,909,0,215,,9.0,,,,2.0,32.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,11.0,,,,,,,,,,,38.0,,,1.0,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,1.0,63.0,,27.0,,
sl_sst-ud-train,4558,0,471,,2.0,,,,,3.0,,,,,,,,,,,,,,,,,,325.0,,,,,,,17.0,,,,,,,,,,,9.0,,,39.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,2.0,,13.0,38.0,,,,
sl_sst-ud-test,1041,0,109,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,69.0,,,,,,,2.0,,,,,,,,,,,2.0,,,12.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,2.0,13.0,,,,
sl_sst-ud-dev,505,0,72,,,,,,,2.0,,,,,,,,,,,,,,,,,,59.0,,,,,,,1.0,,,,,,,,,,,1.0,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,
ka_glc-ud-test,151,0,35,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,21.0,,,,
xnr_kdtb-ud-test,288,0,16,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
arr_tudet-ud-test,674,0,56,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
it_twittiro-ud-test,142,0,28,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,4.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,9.0,,,,
it_twittiro-ud-train,1138,0,149,,1.0,,,,4.0,6.0,,,,,,,,,,,,,,,,,,19.0,,,10.0,,,,8.0,,,,,,,,,,,6.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.0,1.0,,,,1.0,,,,,,,38.0,,,,
it_twittiro-ud-dev,144,0,25,,,,,,,1.0,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,1.0,,,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,9.0,,,,
kk_ktb-ud-test,1047,0,22,,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,,,,,,,,,3.0,,,2.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,5.0,,,,
kk_ktb-ud-train,31,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
he_htb-ud-train,5168,0,1220,,9.0,,,,227.0,189.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,146.0,,,,,,,,,,,179.0,,,95.0,,,,,,,,,,38.0,,,,,,,,,,,,,,,2.0,,,,,,,28.0,,,,12.0,,,,,,,,,,,,291.0,,,,
he_htb-ud-dev,484,0,98,,1.0,,,,14.0,13.0,,,,,,,,,,,,,,,,,4.0,,,,,,,,21.0,,,,,,,,,,,11.0,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,22.0,,1.0,,
he_htb-ud-test,491,0,133,,,,,,17.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,16.0,,,19.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,47.0,,,,
ha_northernautogramm-ud-test,400,0,3,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,597,1.0,1.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,320.0,,,98.0,,,,5.0,,,,,,,,,,,3.0,,,150.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,
cs_pdt-ud-dev,9270,0,548,,1.0,,,,,3.0,,,,,,,,,,,,,,,,,1.0,305.0,,,87.0,,,,3.0,,,,,,,,,,,4.0,,,135.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,
cs_pdt-ud-train,68491,0,3967,2.0,8.0,,,,15.0,24.0,,,,,,,,,,,,,,,,,1.0,2071.0,,,664.0,,,,31.0,,,,,,,,,,,43.0,,,1024.0,,,4.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,,,,,,72.0,,,,
it_markit-ud-test,340,0,23,,1.0,,,,7.0,1.0,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
it_markit-ud-train,611,0,50,,,,,,18.0,3.0,,,,,,,,,,,,,,,,,,4.0,,,2.0,,,,4.0,,,,,,,,,,,7.0,,,2.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,
it_markit-ud-dev,341,0,20,,,,,,4.0,3.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,5.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
gl_pud-ud-test,1000,0,37,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,3.0,,,2.0,,,,3.0,,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,21.0,,1.0,,
gn_oldtudet-ud-test,59,0,4,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
ta_mwtt-ud-test,534,0,59,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,
azz_itml-ud-test,1260,0,73,,,,,,2.0,8.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,5.0,,,,,,,,,,,8.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,14.0,,8.0,,
ur_udtb-ud-train,4043,0,549,,16.0,,,,13.0,14.0,,,,,,,,,,,,,,,,,,362.0,,,,,,,44.0,,,,,,,8.0,,,,29.0,,,5.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.0,,,,
ur_udtb-ud-dev,552,0,72,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,32.0,,,,,,,14.0,,,,,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,
ur_udtb-ud-test,535,0,67,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,36.0,,,,,,,5.0,,,,,,,,,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,12.0,,,,
it_postwita-ud-train,5368,0,522,,2.0,,,,20.0,22.0,,,,,,,,,,,,,,,,,,27.0,,,15.0,,,,43.0,,,,,,,,,,,44.0,,,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,1.0,1.0,,,,,,,,,,164.0,,,,
it_postwita-ud-dev,670,0,57,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,1.0,,,,3.0,,,,,,,,,,,4.0,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,12.0,,,,
it_postwita-ud-test,674,0,87,,2.0,,,,3.0,6.0,,,,,,,,,,,,,,,,,,6.0,,,1.0,,,,4.0,,,,,,,,,,,12.0,,,14.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,24.0,,,,
lzh_kyoto-ud-dev,6102,0,40,,,,,,,,,,,,,,,,,,,,,,39.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-train,74609,0,533,,,,,,,,,,,,,,,,,,,,,,521.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,
lzh_kyoto-ud-test,5528,0,57,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,294,14.0,23.0,,,,,15.0,,,,,,,,,,,,,,,,,,4.0,,,24.0,,,,38.0,,,,,,,,,,,62.0,,,19.0,,,1.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,91.0,,,,
lv_lvtb-ud-train,14358,0,1858,41.0,150.0,,,,,126.0,,,,,,,,,,,,,,,,,,58.0,,,139.0,,,,262.0,,,,,,,,,,,305.0,,,195.0,,,24.0,,,,11.0,,,10.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,4.0,5.0,,,,,,,,,,,,523.0,,,,
lv_lvtb-ud-dev,2080,0,285,8.0,13.0,,,,,23.0,,,,,,,,,,,,,,,,,,10.0,,,16.0,,,,36.0,,,,,,,,,,,56.0,,,19.0,,,3.0,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,,,
ta_ttb-ud-train,400,0,170,,2.0,,,,,12.0,,,,,,,,,,,,,,,,64.0,,52.0,,,,,,,18.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,2.0,,,,1.0,1.0,,,,,,,,,,,,,,,8.0,,,,
ta_ttb-ud-dev,80,0,56,,3.0,,,,14.0,4.0,,,,,,,,,,,,,,,,1.0,,9.0,,,,,,,9.0,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,
ta_ttb-ud-test,120,0,67,,2.0,,,,16.0,5.0,,,,,,,,,,,,,,,1.0,,,24.0,,,,,,,6.0,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,3.0,1.0,,,2.0,,,,1.0,,,,1.0,,,,,,,,,,,,2.0,,,,
sga_dipwbg-ud-test,34,0,7,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,4.0,,,,
ko_pud-ud-test,1000,0,32,,,,,,5.0,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xum_ikuvina-ud-test,133,0,90,,,,,,3.0,9.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,
ru_pud-ud-test,1000,0,83,,2.0,,,,1.0,2.0,,,,,,,,,,,,,,,,,,16.0,,,11.0,,,,11.0,,,,,,,,,,,6.0,,,6.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,21.0,,2.0,,
la_ittb-ud-dev,2101,0,146,,,,,,3.0,5.0,,,9.0,,,,,,,,,2.0,,,,,,5.0,,,2.0,,,,2.0,,,,,,,,,,,14.0,,,34.0,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.0,,,,
la_ittb-ud-test,2101,0,92,,1.0,,,,1.0,1.0,,,11.0,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,19.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,33.0,,,,
la_ittb-ud-train,22775,0,1478,,26.0,,,,49.0,114.0,,,24.0,,,,,,,,,12.0,,,,,,9.0,,,51.0,,,,33.0,,,,6.0,1.0,,,,,,175.0,2.0,,323.0,,1.0,13.0,,,,28.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,594.0,,,,
it_vit-ud-train,8277,0,888,,3.0,,,,84.0,12.0,,,,,,,,,,,,,,,,,,109.0,,,148.0,,,,61.0,,,,,,,,,,,80.0,,,99.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,,,,,,,,,,,,258.0,,1.0,,
it_vit-ud-test,1067,0,150,,,,,,14.0,3.0,,,,,,,,,,,,,,,,,,22.0,,,39.0,,,,13.0,,,,,,,,,,,6.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,36.0,,,,
it_vit-ud-dev,743,0,180,,,,,,14.0,1.0,,,,,,,,,,,,,,,,,,39.0,,,74.0,,,,1.0,,,,,,,,,,,7.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,31.0,,,,
qtd_sagt-ud-test,805,0,77,,4.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,16.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,1.0,,,,,,,,1.0,,26.0,,4.0,,
qtd_sagt-ud-dev,801,0,45,,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,1.0,,,,,,,,,,17.0,,1.0,,
qtd_sagt-ud-train,578,0,26,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,11.0,,,,
ga_cadhan-ud-test,193,0,13,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,
pl_pud-ud-test,1000,0,79,,,,,,1.0,6.0,,,,,,,,,,,,,,,,,,20.0,,,5.0,,,,7.0,,4.0,,,,,,,,,8.0,,,8.0,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,15.0,,,,
orv_torot-ud-test,2955,0,46,,,,,,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,2.0,,,,,,,,,,,2.0,,,29.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
orv_torot-ud-dev,3061,0,58,,1.0,,,,,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,1.0,,,,,,,,,,,3.0,,,35.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
orv_torot-ud-train,20480,0,426,,9.0,,,,,21.0,,,,,,,,,,,,,,,,,2.0,44.0,,,,,,,2.0,,,,,,,,,,,19.0,,,263.0,,,,,,,,,,,,,,18.0,,,1.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,44.0,,,,
cs_cac-ud-dev,603,0,43,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,5.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,1154,1.0,4.0,,,,3.0,1.0,,,,,,,,,,,,,,,,,1.0,531.0,,,255.0,,,,4.0,,,,,,,,,,,7.0,,,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,26.0,,,,
cs_cac-ud-test,628,0,21,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,4.0,,,,,,,,,,,,,,,1.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,135,,,,,,1.0,,,,,,,,,,,,,,,,134.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
urb_tudet-ud-test,83,0,12,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,
