Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:cmp,advcl:pred,advmod,advmod:tmod,amod,amod:att,amod:flat,appos,ccomp,compound,compound:nn,compound:redup,conj,conj:expl,csubj,csubj:cop,csubj:relcl,dep,det,discourse,dislocated,fixed,flat,flat:frac,flat:name,flat:range,flat:sibl,flat:title,iobj,list,nmod,nmod:arg,nmod:att,nmod:npmod,nmod:poss,nmod:tmod,nsubj,nsubj:cop,nsubj:outer,nsubj:pass,nummod,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:float,obl:inst,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:tmod,orphan,parataxis,reparandum,root,vocative,xcomp,xcomp:pred
it_twittiro-ud-dev,144,0,5,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kk_ktb-ud-test,1047,0,136,,,,,,,,,125.0,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,
kk_ktb-ud-train,31,0,11,,,,,,,,,7.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,961,,,1.0,3.0,,,,,509.0,,,2.0,2.0,,,,27.0,,,,,21.0,256.0,,,,,,,,,,,,,,,,,,25.0,,,4.0,,15.0,51.0,,20.0,,,,,,,,,7.0,,,5.0,,13.0,
cs_pdt-ud-dev,9270,0,944,,1.0,,2.0,,,,,571.0,,,3.0,,,,,25.0,,,,,24.0,197.0,,,,,,,,,,1.0,,,,,,,,18.0,,,3.0,,17.0,39.0,,18.0,,,,,,,,,5.0,,,6.0,1.0,13.0,
cs_pdt-ud-train,68491,0,6473,1.0,1.0,4.0,11.0,,,,,3434.0,,,22.0,2.0,,,,191.0,,,,,154.0,1759.0,,,,,,,,,,,,,,,,,,152.0,,,21.0,,132.0,271.0,,124.0,,,,,,,,,39.0,2.0,,68.0,,85.0,
it_markit-ud-test,340,0,25,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,6.0,,,,,,2.0,,,,,,,,,,,,,,1.0,,,
it_markit-ud-train,611,0,47,,,,,,,,,35.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,1.0,4.0,,,,,,,,,,,,,,,,,
it_markit-ud-dev,341,0,27,,,,,,,,,19.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,4.0,,,,,1.0,,,,,,,,,,,,,,,,,,
gl_pud-ud-test,1000,0,65,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,11.0,,,,,,,,,,,,,,,,51.0,,,,,,,,,,,,,,,,1.0,,,
ta_mwtt-ud-test,534,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,
ota_dudu-ud-test,85,0,3,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,143,,,,,,,,,9.0,,,1.0,,24.0,,4.0,5.0,,,,,4.0,43.0,,,2.0,,,,,,,,,1.0,,,,4.0,2.0,6.0,,,,23.0,5.0,7.0,,,,,,,,,,,,,,,,3.0,
ug_udt-ud-dev,900,0,81,,,,,,,,,9.0,,,,2.0,14.0,,7.0,,,,,,3.0,10.0,,,2.0,,,,,,,,,1.0,,,,1.0,,9.0,,,,12.0,3.0,6.0,,,,,,,,,,,,1.0,,1.0,,,
ug_udt-ud-train,1656,0,171,,,,,,,,,12.0,,,6.0,1.0,44.0,,2.0,11.0,,,,,,5.0,,,,,,,,,,,,1.0,,,,,,9.0,,,,55.0,8.0,14.0,,,,,,,,,,,,1.0,,1.0,,1.0,
ur_udtb-ud-train,4043,0,189,,,,,,,6.0,,178.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,
ur_udtb-ud-dev,552,0,23,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
ur_udtb-ud-test,535,0,36,,,,,,,1.0,,31.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,
it_postwita-ud-train,5368,0,169,,,,,,,1.0,,154.0,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,2.0,,4.0,,1.0,
it_postwita-ud-dev,670,0,17,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
it_postwita-ud-test,674,0,20,,,,,,,,,19.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,1.0,,,
lzh_kyoto-ud-train,74609,0,136,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,17.0,,,,,,,,,,,,,,4.0,,,,24.0,5.0,5.0,,,,,,,,,,47.0,,,,20.0,,,
lzh_kyoto-ud-test,5528,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,257,,,,,,,,,224.0,,,,,,,,18.0,,,,,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,1.0,,,,4.0,
lv_lvtb-ud-train,14358,0,1989,,3.0,,,,,,,1638.0,,,,,,,,93.0,,,,,5.0,,128.0,,,,,,,,,5.0,,12.0,,,,,,11.0,,,4.0,,1.0,43.0,,,,,,,,,,,5.0,2.0,,22.0,,17.0,
lv_lvtb-ud-dev,2080,0,259,,,,,,,,,222.0,,,,,,,,12.0,,,,,1.0,,13.0,,,2.0,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,1.0,,,
ta_ttb-ud-train,400,0,39,,,,,,,,,38.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,5,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,8,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,213,,,3.0,4.0,,,,,157.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,13.0,,,4.0,,3.0,5.0,,3.0,,,,,,,,,,,,12.0,,4.0,
la_ittb-ud-test,2101,0,94,,,,1.0,,,,,57.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,2.0,,,,,,14.0,,3.0,2.0,,3.0,1.0,,1.0,,,,,,,,,,,,7.0,,,
la_ittb-ud-train,22775,0,1419,,,15.0,13.0,,10.0,,,1013.0,,,,1.0,,,,25.0,1.0,9.0,,4.0,,,,,,,,,,,,,,30.0,,,,,,42.0,,5.0,11.0,,11.0,161.0,5.0,9.0,,,,,,,,,,,,42.0,,12.0,
it_vit-ud-train,8277,0,448,,,1.0,,,,,,372.0,,,5.0,1.0,,,,21.0,,,,,,,,,,,,,,,,,,1.0,,,,,,27.0,,,4.0,,5.0,,,,,,,,,,,,,1.0,,7.0,,3.0,
it_vit-ud-test,1067,0,63,,,,,,,,,56.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,
it_vit-ud-dev,743,0,105,,,1.0,,,,,,98.0,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
qtd_sagt-ud-test,805,0,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,4,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
ga_cadhan-ud-test,193,0,10,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,13,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,235,,,,,,,,,39.0,,166.0,,,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,1.0,18.0,,1.0,,,,,,,,,,,,1.0,,,
cs_cac-ud-dev,603,0,5,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,856,,,1.0,1.0,,,,,698.0,,,2.0,1.0,,,,36.0,,,,,34.0,3.0,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,51.0,,1.0,,,,,,,,,1.0,,,9.0,,13.0,
cs_cac-ud-test,628,0,10,,,,,,,,,9.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
yrl_complin-ud-test,1470,0,6,,,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-train,5396,0,603,,,,,,,,,520.0,,,3.0,,12.0,,,9.0,,1.0,,,,,,,,2.0,,,,,,,,6.0,,,,,,6.0,,,,,2.0,19.0,,,,,,,,,,,4.0,,,14.0,,5.0,
eu_bdt-ud-test,1799,0,201,,2.0,,1.0,,,,,158.0,,,2.0,,4.0,,,6.0,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,1.0,,,,,3.0,10.0,,,,,,,,,,,,,,8.0,,2.0,
eu_bdt-ud-dev,1798,0,244,,,,1.0,,,,,201.0,,,1.0,1.0,2.0,,,6.0,,,,,,,,,,1.0,,,,,,,,3.0,,,,,,4.0,,,,,5.0,11.0,,,,,,,,,,,1.0,,,6.0,,1.0,
fi_ftb-ud-dev,1875,0,28,,,,,,,,,24.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,246,,,,1.0,,,,,199.0,,,,,,,,10.0,,,,,,,,,,1.0,,,,,,,,14.0,,,,,,5.0,2.0,,,,1.0,,,,,,,,,,,,,,,13.0,,,
fi_ftb-ud-test,1867,0,26,,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,
hbo_ptnk-ud-train,730,0,16,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,2.0,4.0,,,,,,,,,,,,,,,,,
hbo_ptnk-ud-test,410,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,6.0,,2.0,,,,,,,,,,,,,,,,,
hbo_ptnk-ud-dev,439,0,22,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,3.0,,,,,,,,,,,,,,,,,
en_gentle-ud-test,1334,0,64,,,,,,,3.0,,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,6.0,,,,,,,,,,,,1.0,,3.0,,,
it_parlamint-ud-test,375,0,30,,,,,,,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,
it_parlamint-ud-train,326,0,20,,,,,,,,,16.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,1.0,,,
fr_partut-ud-dev,107,0,11,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
fr_partut-ud-test,110,0,13,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,45,,,,,,,,,41.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,,,,,,,,,,
tr_tourism-ud-train,15473,0,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,42.0,,,,,,,,,,,,,,1.0,,3.0,,,
tr_tourism-ud-dev,2166,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,2.0,,,
tr_tourism-ud-test,2191,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,,,
jv_csui-ud-test,1000,0,14,,,,,,,,,11.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,6,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,1,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
en_pud-ud-test,1000,0,56,,,,,,,,,54.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,20,,,,,,,,,7.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,4.0,,,,1.0,2.0,,,,,,,,,,,,,2.0,,1.0,,,
tr_imst-ud-dev,1100,0,12,,,,,,,,,6.0,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
fr_sequoia-ud-test,456,0,28,,,,,,,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,,,,
fr_sequoia-ud-train,2231,0,150,,,,,,,,,134.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,1.0,2.0,,,,,1.0,,,,,,,,,,,,,,,
fr_sequoia-ud-dev,412,0,34,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
bg_btb-ud-train,8907,0,719,,,1.0,,,,,,659.0,,,,1.0,1.0,,,21.0,,,,,,,2.0,,,13.0,,,,,,,,4.0,,,,,,3.0,,,,,10.0,3.0,,,,,,,,,,,,1.0,,,,,
bg_btb-ud-test,1116,0,88,,,,,,,,,84.0,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,102,,,,,,,,,97.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
bxr_bdt-ud-test,908,0,3,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,6,,,,1.0,,,,,3.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
tr_boun-ud-dev,979,0,12,,,,,,,,,6.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,
tr_boun-ud-test,979,0,28,,,,,,,,,10.0,,,,,,,,4.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,8.0,2.0,2.0,,,,,,,,,,,,,,1.0,,,
tr_boun-ud-train,7803,0,117,,,,,,,,,53.0,,,,,,,,5.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,,,42.0,1.0,1.0,,,,,,,,,,,,1.0,,10.0,,1.0,
tr_penn-ud-dev,622,0,47,,,,,,,,,7.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,34.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
tr_penn-ud-test,924,0,64,,,,,,,,,8.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,20.0,1.0,1.0,,,,,,,,,,,,,,,,,
tr_penn-ud-train,14850,0,876,,,,,,,,,41.0,,,1.0,,59.0,,,4.0,,,,,,,,,,,,,,,,,,419.0,,,,,,2.0,,,,348.0,,1.0,,,,,,,,,,,,,,1.0,,,
