Treebank,Number of Sentences,Failures,Total,_,acl,acl:crel,acl:relcl,advcl,advcl:ccomp,advcl:cleft,advcl:cmp,advcl:cond,advcl:fin,advcl:lcl,advcl:manner,advcl:pred,advcl:quote,advcl:relcl,advcl:tcl,advmod,amod,appos,aux,aux:aspect,aux:caus,aux:cnd,aux:nec,aux:neg,aux:pass,aux:tense,case,cc,ccomp,ccomp:pmod,ccomp:rel,ccomp:relcl,ccomp:reported,ccomp:speech,compound,compound:lvc,compound:svc,conj,conj:expl,cop,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:pass,csubj:relcl,csubj:reported,dep,discourse,dislocated,dislocated:ccomp,dislocated:csubj,expl:pv,fixed,flat,flat:foreign,flat:name,iobj,mark,mark:prt,nmod,nmod:poss,nsubj,nsubj:pass,nummod,obj,obl,obl:agent,obl:lmod,obl:pmod,orphan,parataxis,parataxis:discourse,punct,reparandum,root,vocative,xcomp
ga_cadhan-ud-test,193,0,9,,1.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,2.0,,
eu_bdt-ud-train,5396,0,60,,2.0,,,2.0,,,,,,,,,,,,,,,53.0,,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-test,1799,0,18,,1.0,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eu_bdt-ud-dev,1798,0,18,,1.0,,,1.0,,,,,,,,,,,,,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
it_parlamint-ud-test,375,0,63,,5.0,,,8.0,,,,,,,,,,,,,,,22.0,,,,,,,,,,5.0,,,,,,,,,5.0,,9.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,4.0,,
it_parlamint-ud-train,326,0,83,,10.0,,,10.0,,,,,,,,,,,,,,,32.0,,,,,,,,,,12.0,,,,,,,,,7.0,,7.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0,,
fr_partut-ud-dev,107,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_partut-ud-test,110,0,6,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_partut-ud-train,803,0,73,,5.0,,2.0,5.0,,,,,,,,,,,,,,,13.0,,,,,,17.0,,,,9.0,,,,,,,,,6.0,,12.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
ab_abnc-ud-test,263,0,2,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_sequoia-ud-test,456,0,13,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,4.0,,,,,,,,,1.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fr_sequoia-ud-train,2231,0,83,,6.0,,,14.0,,,,,,,,,,,,,,,,,1.0,,,,20.0,7.0,,,15.0,,,,,,,,,2.0,,9.0,,7.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,
fr_sequoia-ud-dev,412,0,15,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,6.0,1.0,,,2.0,,,,,,,,,1.0,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
es_coser-ud-test,539,0,41,,,,2.0,9.0,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,4.0,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,2.0,,,,,,,,,8.0,,
