Treebank,Number of Sentences,Failures,Total,_,acl,acl:relcl,advcl,advcl:abs,advcl:cmp,advcl:pred,advcl:relcl,advmod,advmod:emph,amod,appos,aux,aux:part,case,cc,ccomp,ccomp:relcl,compound,compound:lvc,compound:prt,compound:redup,compound:smixut,conj,conj:expl,cop,csubj,csubj:pass,csubj:relcl,dep,dep:infl,det,det:poss,discourse,dislocated,dislocated:obj,expl,expl:comp,expl:impers,expl:pass,expl:poss,expl:pv,fixed,flat,flat:abs,flat:repeat,flat:sibl,iobj,nmod,nmod:arg,nmod:att,nmod:cau,nmod:comp,nmod:gobj,nmod:npmod,nmod:poss,nsubj,nsubj:cop,nsubj:pass,obj,obj:agent,obj:appl,obj:caus,obl,obl:agent,obl:arg,obl:cmp,obl:cmpr,obl:dat,obl:depict,obl:float,obl:lmod,obl:mod,obl:npmod,obl:pmod,obl:subj,orphan,parataxis,reparandum,root,xcomp,xcomp:pred
cs_fictree-ud-dev,1309,0,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,86.0,,11.0,,,,,,51.0,,445.0,,,,,,1.0,2.0,,,,,,,,,,,30.0,,,,60.0,,17.0,,,,,,,,,,,,,,,,
cs_fictree-ud-train,10160,0,5430,,,,,,,,,,,3.0,1.0,,,,,1.0,,,,,,,4.0,,,,,,4.0,,560.0,,82.0,,,,,,270.0,,3655.0,,,,,,7.0,14.0,,,,,,,,,,,192.0,,,,434.0,,197.0,,,,,,,,,,,2.0,,,1.0,3.0,
cs_fictree-ud-test,1291,0,720,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,80.0,,9.0,,,,,,29.0,,477.0,,,,,,1.0,4.0,,,,,,,,,,,34.0,,,,60.0,,24.0,,,,,,,,,,,,,,,,
la_udante-ud-train,926,0,276,,,1.0,,,,,,,,,,,,,,1.0,2.0,,,,,,2.0,2.0,,,,,,,124.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,6.0,,,52.0,,,,52.0,,25.0,1.0,,,,,,,,,,1.0,,,,,
la_udante-ud-test,419,0,93,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,1.0,8.0,,,,21.0,,8.0,,,,,,,,,,,1.0,,,,,
la_udante-ud-dev,376,0,126,,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,1.0,,,72.0,,,,,,,,,,,,,,,,,3.0,,,,,,,,7.0,,2.0,13.0,,,,13.0,,9.0,,,,,,,,,,,2.0,,,,,
it_partut-ud-dev,156,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-test,153,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
it_partut-ud-train,1781,0,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-test,680,0,135,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,4.0,111.0,,,,,,,,,,1.0,,,,,,,,,,,,1.0,1.0,4.0,,,2.0,,,,9.0,1.0,,,,,,,,,,,,,,,,,
hyw_armtdp-ud-dev,694,0,123,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,102.0,,,,,,,,,,,,,,,,,,,,,,2.0,,3.0,,,8.0,,,,4.0,,,,,,,,,,,,,,,,,1.0,
hyw_armtdp-ud-train,5282,0,647,,4.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,13.0,,,,,,,,3.0,502.0,,,,1.0,,,,,,17.0,,,,,9.0,,,,,,,4.0,1.0,20.0,,1.0,21.0,,,,45.0,2.0,,,,,,,,,,,,,,,1.0,1.0,
pcm_nsc-ud-dev,990,0,13,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,3.0,,,,,,,1.0,,,,,,,,,
pcm_nsc-ud-train,7279,0,132,,,,,,,,,1.0,,,2.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,,1.0,,,,,,,,,,,,,8.0,13.0,,,,,,,1.0,4.0,,,79.0,,,,,,14.0,,,,,,,4.0,,,,,,,1.0,,
pcm_nsc-ud-test,972,0,4,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-test,729,0,274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,82.0,29.0,144.0,,,,,,4.0,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,
ro_rrt-ud-train,8043,0,3335,,,,,,,,,,,2.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,4.0,,115.0,956.0,370.0,1735.0,2.0,,,,,51.0,37.0,,,,,,,,,,,58.0,,,,3.0,,,,,,,,,,,1.0,,,,,,,
ro_rrt-ud-dev,752,0,327,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,95.0,30.0,174.0,,,,,,4.0,3.0,,,,,,,,,,,10.0,,,,2.0,,,,,,,,,,,,,,,,,,
sme_giella-ud-train,2257,0,141,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,16.0,,,,,,,,,,,,,,,,,6.0,,,,,,,40.0,14.0,,,26.0,,,,36.0,,,,,,,,,,,,,,,,,2.0,
sme_giella-ud-test,865,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,25.0,8.0,,,1.0,,,,4.0,,,,,,,,,,,,,,,,,,
ha_southernautogramm-ud-test,1918,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
ca_ancora-ud-dev,1709,0,717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0,,,,1.0,,,,,,,,,,,,,,,,659.0,,,,2.0,,9.0,,,,,,,,,,,,,,,,
ca_ancora-ud-test,1846,0,724,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,1.0,,,656.0,,,,2.0,,10.0,,,,,,,,,,,,,,,,
ca_ancora-ud-train,13123,0,5175,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,5.0,,,413.0,,,,4.0,,,,,6.0,,,,,,,,,,,4644.0,,,,9.0,,89.0,,,,,,,,,,,,,,,2.0,
gd_arcosg-ud-test,545,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-train,3541,0,342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,296.0,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,
gd_arcosg-ud-dev,655,0,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,43.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
got_proiel-ud-dev,985,0,113,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,62.0,,,,,,,,,,18.0,,,,,,,1.0,,,,,,,,,,,7.0,,,,17.0,,7.0,,,,,,,,,,,,,,,,
got_proiel-ud-train,3387,0,339,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,193.0,,,,,,,,,,58.0,,,,,,,1.0,,,,,,,,5.0,,,20.0,,,,47.0,1.0,7.0,,,,,,,,,,,,,,,6.0,
got_proiel-ud-test,1029,0,137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,1.0,,,13.0,,,,15.0,,5.0,,,,,,,,,,,,,,,,
nhi_itml-ud-test,909,0,101,,5.0,1.0,7.0,,,,,,,,,,,,,7.0,,,,,,,18.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,45.0,3.0,
sl_sst-ud-train,4558,0,1191,,4.0,,,,,,,,,,1.0,,,,43.0,,,,,,,,2.0,,,,,,1.0,,59.0,,8.0,,,952.0,,,,,,6.0,,,,,19.0,2.0,,,,,,,,,,,20.0,,,,29.0,,,,,,,,,,,,,27.0,1.0,14.0,3.0,,
sl_sst-ud-test,1041,0,187,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,14.0,,1.0,,,144.0,,,,,,1.0,,,,,5.0,,,,,,,,,,,,8.0,,,,4.0,,,,,,,,,,,,,2.0,,3.0,2.0,,
sl_sst-ud-dev,505,0,255,,,,1.0,,,,,1.0,,,,,,,8.0,,,,,,,,1.0,,,,,,,,18.0,,8.0,,,195.0,,,,,,1.0,,,,,3.0,2.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,5.0,,5.0,1.0,,
de_gsd-ud-train,13814,0,1497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,205.0,,,,,,,18.0,,,,,,,,57.0,,,1071.0,,,,41.0,,103.0,,,,,,,,,,,,,1.0,,,
de_gsd-ud-dev,799,0,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,73.0,,,,3.0,,13.0,,,,,,,,,,,,,,,,
de_gsd-ud-test,977,0,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,76.0,,,,5.0,,21.0,,,,,,,,,,,,,,,,
arr_tudet-ud-test,674,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,2.0,,
aln_gps-ud-test,966,0,182,,,,,,,,,,,,,,126.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,1.0,,,1.0,,,,9.0,,,,,,,,,,,,,,,1.0,1.0,,
kk_ktb-ud-test,1047,0,38,,,,,,,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,8.0,9.0,,,2.0,,,,3.0,,,,,,,,,,,,,,,,,,
kk_ktb-ud-train,31,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,2.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,
he_htb-ud-train,5168,0,147,,,,1.0,,,,,,,,,,,,,,,,,,,13.0,2.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,43.0,,,,,,,1.0,,,,33.0,,,,52.0,,,,,,,,,,,,,,,,,,
he_htb-ud-dev,484,0,9,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,
he_htb-ud-test,491,0,7,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,,,,,
ha_northernautogramm-ud-test,400,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
cs_pdt-ud-test,10146,0,3563,1.0,,,,,,,,,,3.0,,,,,,,,,,,,,2.0,,,,,,6.0,,554.0,,13.0,,,,,,559.0,,1946.0,,,,,,1.0,10.0,,,,,,,,,,,159.0,,,,209.0,,96.0,,,,,,,,,,,2.0,,,,2.0,
cs_pdt-ud-dev,9270,0,3297,,,,1.0,,,,,,,4.0,,,,,,,,,,,,,2.0,,,,,,,,534.0,,13.0,,,,,,525.0,,1834.0,,,,,,1.0,9.0,,,,,,,,,,,126.0,,,,165.0,,81.0,,,,,,,,,,,2.0,,,,,
cs_pdt-ud-train,68491,0,23809,5.0,1.0,1.0,4.0,,,,,,,15.0,1.0,,,,,1.0,,,,,,,13.0,,,,,,6.0,,3693.0,,107.0,,,,,,3822.0,,13400.0,,,,,,8.0,126.0,,,,,,,,,,,797.0,,,,1162.0,,638.0,,,,,,,,,,,,,,3.0,6.0,
gn_oldtudet-ud-test,59,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,4.0,,
ota_dudu-ud-test,85,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ug_udt-ud-test,900,0,46,,,,,,,,,,,,2.0,,,,,,,,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,10.0,11.0,,,13.0,,,,1.0,,,,,,,,,,,,,,,,1.0,,
ug_udt-ud-dev,900,0,51,,,,,,,,,,,1.0,,,,,,,,1.0,1.0,,5.0,,,,,,,,,,12.0,,,,,,,,,,,,,,,,,2.0,,,,,,,6.0,8.0,,,13.0,,,,2.0,,,,,,,,,,,,,,,,,,
ug_udt-ud-train,1656,0,50,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,,,,,,10.0,15.0,,,12.0,,,,1.0,,,,,,,,,,,,,,,,,,
lzh_kyoto-ud-dev,6102,0,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,31.0,,,,36.0,,,,,,,,,,,,,,,,1.0,,
lzh_kyoto-ud-train,74609,0,890,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,286.0,,,282.0,,,,295.0,,,,,,,,,,,,,,,,3.0,,
lzh_kyoto-ud-test,5528,0,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,34.0,,,,9.0,,,,,,,,,,,,,,,,,,
lv_lvtb-ud-test,2412,0,942,10.0,98.0,,111.0,,,,,,,5.0,,,,,,83.0,,,,,,,169.0,,,15.0,,,7.0,,2.0,,1.0,,,,,,,,,,,,,,16.0,1.0,,,,,,,,,,,11.0,,,,4.0,,,,,,,,,,,,,3.0,4.0,,327.0,75.0,
lv_lvtb-ud-train,14358,0,6059,25.0,639.0,,755.0,,,,,,,22.0,,,,,,668.0,,3.0,,,,,1057.0,,,113.0,16.0,,42.0,,8.0,,15.0,,,,,,,,,,2.0,,,,91.0,12.0,,,,,,,,1.0,,,57.0,,,,60.0,,,,,,,,,,,,,7.0,26.0,,1912.0,528.0,
lv_lvtb-ud-dev,2080,0,931,15.0,70.0,,100.0,,,,,,,1.0,,,,,,103.0,,,,,,,185.0,,,15.0,,,4.0,,1.0,,2.0,,,,,,,,,,,,,,17.0,1.0,,,,,,,,,,,19.0,,,,8.0,,,,,,,,,,,,,1.0,8.0,,312.0,69.0,
ta_ttb-ud-train,400,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ta_ttb-ud-dev,80,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
ta_ttb-ud-test,120,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,
la_ittb-ud-dev,2101,0,445,,,1.0,1.0,,,,,,,,,,,,,1.0,,,,,,,4.0,,,1.0,,2.0,,,181.0,,,,,,,,,,,,,,,,,22.0,,,,,,,,3.0,,1.0,74.0,,,,128.0,9.0,16.0,,,,,,,,,,,,,,1.0,,
la_ittb-ud-test,2101,0,668,,1.0,4.0,3.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,18.0,,,,,,,,340.0,,,,,,,,,,,,,,,,,56.0,,,,,,,,11.0,,1.0,130.0,,,,69.0,1.0,28.0,,,,,,,,,,,2.0,,,1.0,,
la_ittb-ud-train,22775,0,3577,,1.0,15.0,32.0,1.0,2.0,,3.0,,,,,,,,,4.0,2.0,,,,,,36.0,1.0,,,,8.0,,,1643.0,,,,,,,,,,,,,,,,,222.0,,,,,,,,47.0,,3.0,598.0,,,,682.0,13.0,252.0,,,,,,,,,,,5.0,,,5.0,2.0,
nl_alpino-ud-train,12289,0,496,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,341.0,2.0,,,,,9.0,2.0,,,,,,,,,,,112.0,,,,24.0,,2.0,,,,,,,,,,,,,,,1.0,
nl_alpino-ud-test,596,0,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,5.0,,,,1.0,,,,,,,,,,,,,,,,,,
nl_alpino-ud-dev,718,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,1.0,1.0,,,,,,,,,,,6.0,,,,3.0,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-test,805,0,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-dev,801,0,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
qtd_sagt-ud-train,578,0,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ga_cadhan-ud-test,193,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
krl_kkpp-ud-test,228,0,9,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,,,,,,,,,,,,
pl_pud-ud-test,1000,0,347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,271.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,3.0,,6.0,,,,,,,,,,,,,,,,
orv_torot-ud-test,2955,0,934,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,313.0,,,,,,,,,,546.0,,,,,,,6.0,,,,,,,,,,,10.0,,,,44.0,,7.0,,,,,,,,,,,4.0,,,1.0,1.0,
orv_torot-ud-dev,3061,0,893,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,258.0,,,,,,,,,,543.0,,,,,,,3.0,,,,,,,,,,,14.0,,,,64.0,2.0,2.0,,,,,,,,,,,4.0,,,1.0,,
orv_torot-ud-train,20480,0,6157,,,,3.0,,,,,,,,7.0,,,,,1.0,,,,,,,8.0,,,,,,1.0,,1743.0,,,3.0,,,,,,,3860.0,,,,,,,28.0,,,,,,,,2.0,,1.0,46.0,,,,399.0,,27.0,,,,,,,,,,,23.0,,,2.0,3.0,
cs_cac-ud-dev,603,0,235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.0,,,,,,,,45.0,,124.0,,,,,,,1.0,,,,,,,,,,,1.0,,,,13.0,,,,,,,,,,,,,,,,,,
cs_cac-ud-train,23478,0,10007,,,1.0,1.0,,,,,,,5.0,,,,,,,,,,,,,9.0,,,,,,3.0,,1318.0,,5.0,,,,,,1999.0,,5817.0,,,,,,,41.0,,,,,,,,,,,96.0,,,,572.0,,135.0,,,,,,,,,,,3.0,,,,2.0,
cs_cac-ud-test,628,0,220,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,31.0,,,,,,,,49.0,,125.0,,,,,,,2.0,,,,,,,,,,,3.0,,,,8.0,,1.0,,,,,,,,,,,,,,,,
fi_ftb-ud-dev,1875,0,33,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,17.0,,,,,1.0,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,
fi_ftb-ud-train,14981,0,255,,,,3.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,19.0,,,,,,,,,,,,,,,,,134.0,,,,,9.0,,,8.0,,,78.0,,,,,,,,,,,,,,,,,,,,2.0,,
fi_ftb-ud-test,1867,0,36,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,15.0,,,,,1.0,,,,,,17.0,,,,,,,,,,,,,,,,,,,,,,
en_gentle-ud-test,1334,0,15,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,1.0,,,,,8.0,,,,1.0,,,,,,,,,,,,,,,,,,
eme_tudet-ud-test,913,0,37,,,,1.0,,,,,1.0,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,27.0,,
pl_lfg-ud-test,1727,0,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,14.0,,,319.0,,,,,,14.0,,,,,,,,,,,,10.0,,,,13.0,,,,,,,,,,,,,,,,,,
pl_lfg-ud-train,13774,0,3072,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,242.0,,,,,,,116.0,,,2406.0,,,,,,99.0,7.0,,,,,,,,1.0,,,69.0,,,,131.0,,,,,,,,,,,,,,,,,,
pl_lfg-ud-dev,1745,0,409,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,30.0,,,,,,,16.0,,,320.0,,,,,,14.0,1.0,,,,,,,,,,,6.0,,,,19.0,,,,,,,,,,,,,,,,1.0,,
tr_tourism-ud-train,15473,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,36.0,,,12.0,,,,19.0,,,,,,,,,,,,,,,,,,
tr_tourism-ud-dev,2166,0,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,9.0,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,
tr_tourism-ud-test,2191,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,
jv_csui-ud-test,1000,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
cs_poetry-ud-test,297,0,185,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,7.0,,99.0,,,,,,,,,,,,,,,,,,1.0,,,,14.0,,3.0,,,,,,,,,,,,,,,,
ru_gsd-ud-test,601,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,3.0,,,,2.0,,,,,,,,,,,,,,,,,,
ru_gsd-ud-dev,579,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,1.0,,,,,,,,,,,4.0,,,,4.0,,,,,,,,,,,,,,,,,,
ru_gsd-ud-train,3850,0,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,3.0,,,,,,,,,,,11.0,,,,27.0,,,,,,,,,,,,,,,,,,
aqz_tudet-ud-test,343,0,44,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,5.0,,,,1.0,,,,,,,,,,,,,,4.0,,23.0,,
en_pud-ud-test,1000,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,2.0,,,,,,,,,,,,,,,,,,
tr_imst-ud-train,3435,0,125,,,,,,,,,,,,,,,,,,,2.0,,,6.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,3.0,13.0,,,,,,,11.0,11.0,,,41.0,,,,27.0,,,,,,,,,,,,,,,,3.0,,
tr_imst-ud-dev,1100,0,29,,,,,,,,,,,1.0,,,,,,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,2.0,,,10.0,,,,6.0,,,,,,,,,,,,,,,,,,
tr_imst-ud-test,1100,0,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,4.0,,,,,,,4.0,6.0,,,2.0,,,,6.0,,,,,,,,,,,,,,,,,,
fr_sequoia-ud-test,456,0,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,41.0,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,
fr_sequoia-ud-train,2231,0,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,173.0,,,,,,3.0,2.0,,,,,,,,,,,23.0,,,,,,,,,,,,,10.0,,,,,,,,,
fr_sequoia-ud-dev,412,0,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,28.0,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,3.0,,,,,,,,,
lv_cairo-ud-test,20,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,
bg_btb-ud-train,8907,0,3165,,,,,,,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,578.0,,1.0,,,2549.0,,,,,,,,,,,7.0,7.0,,,,,,,,,,,12.0,,,,8.0,,,,,,,,,,,,,,,,,,
bg_btb-ud-test,1116,0,376,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,77.0,,,,,293.0,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,
bg_btb-ud-dev,1115,0,458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.0,,,,,368.0,,,,,,,,,,,2.0,1.0,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
bxr_bdt-ud-train,19,0,7,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,1.0,
