Treebank,Number of Sentences,Failures,Total,_,acl,acl:adv,acl:relcl,advcl,advcl:abs,advcl:cleft,advcl:cmp,advcl:cmpr,advcl:pred,advcl:relcl,advcl:svc,advmod,advmod:emph,amod,amod:flat,appos,aux,aux:caus,aux:clitic,aux:ex,aux:pass,aux:q,case,cc,ccomp,ccomp:cleft,ccomp:obj,ccomp:relcl,ccomp:reported,compound,compound:lvc,compound:redup,compound:svc,conj,conj:expl,cop,cop:locat,cop:outer,csubj,csubj:caus,csubj:cleft,csubj:cop,csubj:outer,csubj:pass,csubj:relcl,csubj:reported,dep,dep:comp,dep:conj,discourse,discourse:q,dislocated,dislocated:ccomp,dislocated:csubj,dislocated:mod,dislocated:nsubj,dislocated:obj,dislocated:obl,fixed,flat,flat:foreign,flat:name,flat:redup,flat:repeat,flat:sibl,flat:title,iobj,list,mark,nmod,nmod:arg,nmod:flat,nmod:poss,nmod:pred,nsubj,nsubj:pass,obj,obl,obl:agent,obl:arg,obl:cmpr,obl:depict,obl:lmod,obl:tmod,orphan,orphan:missing,parataxis,parataxis:conj,parataxis:discourse,parataxis:insert,parataxis:newsent,parataxis:obj,parataxis:rel,parataxis:reporting,parataxis:restart,parataxis:trans,reparandum,root,vocative,xcomp,xcomp:cleft,xcomp:obj,xcomp:pred,xcomp:relcl,xcomp:subj
pl_pud-ud-test,1000,0,1419,,143.0,,85.0,109.0,,,,,,2.0,,,6.0,,,,45.0,,26.0,,65.0,,,,48.0,2.0,17.0,,,,,,,131.0,,174.0,,,3.0,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,2.0,,,9.0,18.0,,,,6.0,1.0,6.0,10.0,,13.0,1.0,,,,1.0,,,,,4.0,,21.0,,,,,,403.0,,63.0,,,1.0,,1.0
orv_torot-ud-test,2955,0,369,,6.0,,,16.0,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,44.0,,59.0,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,206.0,,,,,,,
orv_torot-ud-dev,3061,0,292,,5.0,,,10.0,,,,,,,,,,,,,19.0,,,,,,,,1.0,,,,,,,,,53.0,,32.0,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,160.0,,,,,,,
orv_torot-ud-train,20480,0,2198,,54.0,,,95.0,,,,,,,,,,,,,204.0,,,,,,,,10.0,,,,,,,,,229.0,,372.0,,,,,,,,,,,,,,,,14.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,4.0,,3.0,,,,,,,,,,,1210.0,,,,,,,
cs_cac-ud-dev,603,0,427,7.0,15.0,,34.0,13.0,,,,,,,,,,39.0,,1.0,,,,,,,,,3.0,,,,,,,,,92.0,,3.0,,,12.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,191.0,,9.0,,,,,
cs_cac-ud-train,23478,0,19644,295.0,514.0,,2172.0,803.0,,,,,,,,,,1929.0,,22.0,2.0,,,,22.0,,10.0,9.0,480.0,,,,,,,,,3385.0,,58.0,,,741.0,,,,,64.0,,,40.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,24.0,,14.0,15.0,,12.0,,,,,24.0,,221.0,,,,,,,,,,,7571.0,,1212.0,,,,,
cs_cac-ud-test,628,0,504,10.0,14.0,,50.0,26.0,,,,,,,,,,43.0,,,,,,,,,,,15.0,,,,,,,,,73.0,,1.0,,,19.0,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,3.0,,2.0,1.0,,1.0,,,,,1.0,,3.0,,,,,,,,,,,211.0,,29.0,,,,,
eu_bdt-ud-train,5396,0,1062,,124.0,,,134.0,,,,,,,,,,,,10.0,,,,,,,,,60.0,,,,,41.0,,,,170.0,,14.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,10.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,485.0,,2.0,,,,,
eu_bdt-ud-test,1799,0,395,,43.0,,,56.0,,,,,,,,,,,,,1.0,,,,,,,,23.0,,,,,6.0,,,,58.0,,5.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,6.0,,2.0,2.0,,,,,,,,,,,,,,,,,,,,188.0,,1.0,,,,,
eu_bdt-ud-dev,1798,0,363,,47.0,,,47.0,,,,,,,,,,,,4.0,,,,,,,,,20.0,,,,,11.0,,,,47.0,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,1.0,,3.0,,,,,,,,,,1.0,,,,,,,,,,,173.0,,,,,,,
hbo_ptnk-ud-train,730,0,347,,24.0,,,35.0,,,,,,,,,,,,,,,,,,,,,68.0,,,,,,,,,104.0,,29.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,,,,,43.0,,,,,,,
hbo_ptnk-ud-test,410,0,168,,14.0,,,20.0,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,50.0,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,,,,,,14.0,,,,,,,
hbo_ptnk-ud-dev,439,0,185,,11.0,,,15.0,,,,,,,,,,,,,,,,,,,,,45.0,,,,,,,,,43.0,,15.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,,,,,,,,,32.0,,,,,,,
pl_lfg-ud-test,1727,0,1632,,33.0,,8.0,49.0,,,,,,,,,,,,,55.0,,172.0,,27.0,,,,48.0,,4.0,,,,,,,112.0,,91.0,23.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,4.0,,3.0,8.0,,,,,,,,,,,,,,,,,,,,896.0,,92.0,,,,,
pl_lfg-ud-train,13774,0,13076,,278.0,,58.0,381.0,,,,,,,,,,,,,437.0,,1360.0,,164.0,,,,303.0,,80.0,,,,,,,787.0,,762.0,164.0,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,20.0,,,19.0,,35.0,2.0,28.0,104.0,,,,,,,,,,,,,,,,,,,,7380.0,,650.0,,3.0,,,
pl_lfg-ud-dev,1745,0,1629,,25.0,,9.0,51.0,,,,,,,,,,,,,55.0,,165.0,,18.0,,,,52.0,,7.0,,,,,,,96.0,,89.0,21.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,3.0,,6.0,12.0,,,,,,,,,,,,,,,,,,,,939.0,,79.0,,,,,
cs_poetry-ud-test,297,0,642,,1.0,,55.0,42.0,,,,,,,,,,18.0,,3.0,59.0,,,,3.0,,,,18.0,,,,,,,,,150.0,,41.0,,,8.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,50.0,,,,,,,,,,,160.0,,31.0,,,,,
ru_gsd-ud-test,601,0,614,,55.0,,37.0,23.0,,,,,,,,,,,,4.0,7.0,,,,72.0,,,,6.0,,,,,,,,,63.0,,29.0,,,7.0,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,1.0,,,3.0,,,,,1.0,,,1.0,,,,,,,,,28.0,,,,,,,,,,,241.0,,34.0,,,,,
ru_gsd-ud-dev,579,0,593,,55.0,,29.0,39.0,,,,,,,,,,1.0,,2.0,3.0,,,,67.0,,,,12.0,,,,,,,,,51.0,,21.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,248.0,,39.0,,,,,
ru_gsd-ud-train,3850,0,3952,,386.0,,260.0,211.0,,,,,,,,,,8.0,,5.0,40.0,,,,399.0,,,,77.0,,,,,,,,,393.0,,164.0,,,1.0,,,,,,,,,,,,,,,,,,,,16.0,,,,,,,,,,,4.0,,,,,2.0,,2.0,1.0,,,,,,,2.0,,200.0,,,,,,,,,,,1550.0,,231.0,,,,,
bg_btb-ud-train,8907,0,10732,,196.0,,510.0,535.0,,,,,,,,,,267.0,,,795.0,,,,610.0,,,,671.0,,,,,,,,,813.0,,1794.0,,,133.0,,,,,24.0,,,,,,1.0,,,,,,,,,26.0,,,,,,,,2.0,,,16.0,,,,,18.0,,4.0,5.0,,,,,,,,,173.0,,,,,,,,,,,3899.0,,240.0,,,,,
bg_btb-ud-test,1116,0,1339,,26.0,,59.0,73.0,,,,,,,,,,30.0,,,129.0,,,,45.0,,,,110.0,,,,,,,,,95.0,,269.0,,,10.0,,,,,4.0,,,,,,,,,,,,,,,6.0,,,,,,,,,,,2.0,,,,,1.0,,,2.0,,,,,,,,,6.0,,,,,,,,,,,461.0,,11.0,,,,,
bg_btb-ud-dev,1115,0,1390,,27.0,,67.0,80.0,,,,,,,,,,33.0,,,152.0,,,,46.0,,,,132.0,,,,,,,,,98.0,,213.0,,,20.0,,,,,3.0,,,,,,,,,,,,,,,7.0,,,,,,,,,,,1.0,,,,,1.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,495.0,,12.0,,,,,
bxr_bdt-ud-test,908,0,49,,1.0,,,10.0,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,18.0,,3.0,,,,,
bej_nsc-ud-test,380,0,183,,,,9.0,1.0,,,,,,,,25.0,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,8.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,3.0,79.0,,,,,,,
tr_boun-ud-dev,979,0,146,,18.0,,,4.0,,,,,,,,,,1.0,,1.0,1.0,,,,,,,,17.0,,,,,8.0,10.0,4.0,,18.0,,3.0,,,4.0,,,,,,,,,,,,22.0,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,4.0,2.0,,,,,,,1.0,,1.0,,,,,,,,,,,25.0,,,,,,,
tr_boun-ud-test,979,0,157,,35.0,,,5.0,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,17.0,,,,,11.0,5.0,1.0,,15.0,,,,,1.0,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,1.0,,,4.0,,,,2.0,4.0,,,,,,,,,3.0,,,,,,,,,,,21.0,,,,,,,
tr_boun-ud-train,7803,0,1523,,72.0,,,48.0,,,,,,,,,,4.0,,1.0,2.0,,,,,,,,55.0,,,,,79.0,85.0,1.0,,218.0,,2.0,,,2.0,,,,,,,,,,,1.0,159.0,1.0,,,,,,,,,,,,,,,,,,5.0,,,3.0,,1.0,,12.0,5.0,,,,,,,,,20.0,,,,,,,,,,,747.0,,,,,,,
